,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-51,138,-84,34,-91,10,-99,2,-103,7,-102,3,-100,3,-97,4,-97,4,-132,20,-97,12,-97,3,-98,4,-99,2,-104,6,-101,9,-98,4,-99,3,-99,4,-97,4,-102,2,-97,4,-99,5
1,-55,173,-110,49,-114,13,-100,2,-108,7,-103,3,-104,3,-100,4,-97,4,-154,26,-108,14,-97,3,-98,4,-100,2,-114,7,-124,10,-103,4,-103,3,-115,4,-99,4,-104,2,-100,4,-100,5
2,-60,199,-134,62,-137,15,-102,2,-120,7,-104,3,-106,3,-102,4,-102,6,-165,29,-129,19,-97,3,-99,4,-101,2,-124,8,-148,13,-113,4,-107,3,-123,4,-99,4,-106,2,-101,4,-106,5
3,-68,230,-159,82,-168,18,-103,2,-136,11,-105,3,-106,3,-102,4,-111,6,-172,31,-146,22,-98,3,-107,4,-104,2,-132,10,-160,14,-118,4,-108,3,-125,4,-99,4,-111,2,-102,4,-109,5
4,-75,271,-204,105,-190,20,-103,2,-146,12,-109,3,-107,3,-104,4,-116,6,-187,34,-158,25,-98,3,-110,4,-106,2,-140,10,-167,16,-119,4,-111,3,-127,4,-100,4,-111,2,-103,4,-113,5
5,-81,333,-224,116,-199,22,-105,2,-167,14,-109,3,-108,3,-106,4,-135,6,-199,34,-172,27,-99,3,-110,4,-106,2,-142,11,-190,17,-124,4,-111,3,-130,4,-101,4,-112,2,-106,4,-117,5
6,-91,402,-255,125,-209,23,-105,2,-171,15,-118,3,-109,3,-109,4,-141,8,-208,35,-185,29,-99,3,-113,4,-106,2,-147,11,-199,18,-127,4,-114,3,-141,4,-106,4,-114,2,-108,4,-122,5
7,-95,440,-283,148,-222,24,-106,2,-180,16,-122,3,-110,3,-111,4,-157,8,-225,39,-192,29,-101,3,-116,4,-109,2,-154,12,-206,19,-142,4,-116,3,-146,4,-110,4,-117,2,-109,4,-129,5
8,-99,482,-324,173,-230,25,-109,2,-195,16,-124,3,-111,3,-111,4,-165,8,-235,42,-205,33,-101,3,-120,4,-111,2,-161,12,-212,19,-144,4,-120,3,-151,5,-119,4,-118,2,-114,4,-133,5
9,-104,504,-351,189,-248,31,-111,2,-204,17,-126,3,-117,3,-116,4,-169,8,-255,45,-219,34,-102,3,-128,4,-111,2,-175,12,-231,21,-147,4,-122,3,-160,6,-124,4,-119,2,-114,4,-137,5
10,-107,534,-373,194,-276,34,-112,2,-218,18,-127,3,-117,3,-117,4,-182,8,-266,48,-232,43,-104,3,-132,4,-113,2,-193,12,-245,23,-151,4,-125,3,-175,7,-126,4,-119,2,-117,4,-139,5
11,-113,569,-419,225,-290,39,-112,2,-230,18,-128,3,-118,3,-117,4,-191,9,-276,48,-240,44,-104,3,-140,4,-113,2,-204,14,-249,24,-157,4,-127,3,-179,7,-133,4,-120,2,-118,4,-142,5
12,-117,612,-435,233,-300,40,-114,2,-256,19,-131,3,-122,3,-122,4,-196,9,-294,51,-260,45,-104,3,-144,4,-115,2,-213,14,-265,24,-162,4,-131,3,-183,7,-137,4,-122,2,-120,5,-149,5
13,-122,635,-460,246,-310,42,-116,2,-269,19,-133,3,-127,3,-124,4,-206,10,-313,55,-275,52,-105,3,-148,4,-118,2,-216,14,-272,24,-171,5,-135,3,-193,8,-140,4,-123,2,-132,5,-162,5
14,-128,665,-476,256,-334,43,-117,2,-283,19,-141,3,-134,3,-127,4,-217,12,-321,59,-288,54,-105,3,-148,4,-118,2,-226,14,-297,24,-178,5,-140,3,-199,8,-141,4,-125,2,-141,5,-167,5
15,-133,710,-494,265,-355,47,-118,2,-296,19,-147,4,-142,3,-132,4,-221,12,-342,62,-306,55,-108,3,-148,4,-120,2,-232,14,-303,25,-180,5,-143,3,-202,8,-146,4,-125,2,-151,5,-173,5
16,-136,737,-525,280,-366,51,-119,2,-313,20,-151,4,-142,3,-135,4,-231,12,-357,64,-322,58,-110,3,-151,4,-121,2,-241,16,-311,26,-186,5,-147,3,-216,8,-148,4,-128,2,-157,5,-179,5
17,-139,756,-557,294,-388,53,-120,2,-332,20,-152,4,-144,3,-138,4,-236,12,-370,65,-340,60,-112,3,-157,4,-123,2,-255,17,-317,26,-200,6,-155,3,-218,8,-151,4,-129,2,-166,5,-183,5
18,-142,784,-590,306,-402,57,-121,2,-346,22,-156,4,-153,3,-138,4,-242,13,-390,70,-351,62,-115,3,-159,4,-126,2,-261,17,-329,26,-206,6,-159,3,-221,8,-155,4,-130,2,-174,5,-192,5
19,-145,819,-601,310,-419,58,-121,2,-357,23,-161,4,-155,4,-143,4,-246,14,-418,76,-373,64,-118,3,-167,4,-128,2,-272,18,-337,27,-211,6,-161,3,-229,8,-162,4,-133,2,-180,5,-198,5
20,-148,838,-620,331,-446,61,-121,2,-370,25,-164,4,-159,4,-149,4,-258,16,-438,78,-390,65,-125,3,-172,4,-132,2,-277,18,-339,28,-219,6,-163,3,-231,9,-167,4,-134,2,-185,5,-206,5
21,-150,872,-640,341,-460,61,-126,2,-400,30,-164,5,-164,4,-152,4,-261,18,-448,78,-402,65,-129,3,-180,4,-134,2,-287,18,-358,28,-222,6,-165,3,-238,9,-174,4,-134,2,-192,5,-211,5
22,-152,889,-654,346,-483,63,-126,2,-414,31,-167,5,-170,4,-162,4,-279,18,-464,79,-421,67,-135,3,-185,4,-136,2,-301,18,-368,29,-225,6,-165,3,-252,9,-180,4,-136,2,-195,5,-222,5
23,-156,905,-665,351,-495,64,-127,2,-441,32,-173,5,-179,4,-172,4,-290,19,-475,79,-439,72,-141,3,-191,4,-136,2,-311,19,-381,29,-234,7,-167,3,-260,9,-185,4,-138,2,-201,5,-234,5
24,-157,923,-683,355,-520,65,-127,2,-459,35,-178,5,-186,4,-178,4,-305,19,-494,81,-457,72,-151,3,-196,4,-137,2,-318,19,-387,31,-238,7,-171,4,-264,10,-196,4,-138,2,-210,5,-239,5
25,-158,945,-697,359,-539,66,-134,2,-477,38,-185,5,-190,4,-186,4,-311,20,-507,83,-466,72,-160,4,-204,4,-142,2,-321,19,-395,31,-243,7,-179,4,-271,10,-215,4,-139,2,-216,5,-250,5
26,-159,959,-726,364,-556,69,-137,2,-493,38,-191,5,-196,4,-198,4,-320,20,-529,88,-477,72,-165,4,-211,4,-143,2,-330,19,-398,33,-254,7,-182,4,-284,10,-223,4,-139,2,-222,5,-253,5
27,-162,987,-740,372,-568,69,-137,2,-506,38,-197,5,-201,4,-200,4,-329,20,-566,91,-484,72,-175,4,-217,4,-146,2,-340,19,-407,33,-260,7,-190,4,-289,10,-237,4,-142,2,-228,5,-256,5
28,-167,1018,-748,376,-581,71,-141,2,-519,38,-204,5,-204,4,-207,4,-335,20,-589,93,-493,72,-177,4,-226,4,-149,2,-344,19,-412,33,-273,8,-196,4,-294,10,-251,4,-146,2,-238,5,-273,5
