,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-71,2,-66,18,-87,16,-70,2,-69,3,-69,3,-64,8,-63,9,-70,19,-76,11,-61,11,-69,5,-72,5,-72,4,-72,8,-69,3,-70,2,-70,2,-67,5
1,-71,2,-86,30,-90,20,-70,2,-69,3,-69,3,-64,8,-63,9,-110,30,-77,11,-61,12,-69,6,-72,5,-72,4,-73,8,-69,3,-70,2,-70,3,-67,5
2,-71,2,-113,45,-99,23,-70,2,-69,3,-69,3,-64,8,-63,9,-124,34,-78,13,-66,18,-70,7,-74,5,-74,4,-73,9,-69,3,-70,2,-70,3,-68,6
3,-71,2,-135,47,-103,23,-70,2,-69,3,-69,3,-64,8,-63,9,-131,36,-78,19,-91,41,-70,7,-74,6,-74,4,-73,9,-69,3,-70,2,-71,4,-68,7
4,-71,2,-136,47,-103,23,-70,2,-69,3,-69,3,-64,8,-63,9,-133,37,-87,27,-148,58,-70,7,-74,6,-74,4,-73,9,-69,3,-70,2,-71,4,-68,7
5,-71,2,-146,48,-103,23,-70,2,-69,3,-69,3,-64,8,-63,9,-135,38,-104,29,-194,69,-70,7,-74,7,-74,4,-73,9,-69,3,-70,2,-71,4,-69,10
6,-71,2,-158,52,-103,23,-70,2,-69,3,-69,3,-64,8,-63,9,-135,38,-105,29,-264,74,-70,7,-74,8,-74,4,-73,9,-69,3,-70,2,-71,4,-71,10
7,-71,2,-191,55,-103,23,-70,2,-69,3,-69,3,-64,8,-63,9,-136,38,-111,30,-311,75,-70,7,-74,10,-74,4,-73,9,-69,3,-70,2,-71,4,-71,11
8,-71,2,-202,55,-104,23,-70,2,-69,3,-69,3,-64,8,-64,9,-142,38,-111,30,-375,76,-70,7,-79,11,-74,4,-73,9,-69,3,-70,2,-72,4,-75,11
9,-71,2,-209,56,-104,23,-70,2,-69,3,-69,3,-68,10,-64,9,-142,38,-111,30,-448,81,-70,7,-79,12,-74,5,-73,9,-69,3,-70,2,-72,4,-75,12
10,-71,2,-265,58,-105,23,-70,2,-69,3,-69,3,-70,14,-64,9,-142,38,-113,30,-465,81,-70,7,-83,16,-74,5,-74,10,-69,3,-70,2,-72,4,-75,13
11,-71,2,-297,61,-105,23,-70,2,-69,3,-69,3,-81,18,-64,9,-142,38,-113,30,-491,82,-70,7,-93,20,-74,5,-74,10,-69,3,-70,2,-72,4,-77,15
12,-71,2,-364,62,-106,23,-70,2,-69,3,-69,3,-94,23,-64,9,-142,38,-113,30,-491,82,-70,7,-97,20,-74,5,-74,10,-69,3,-70,2,-72,4,-81,15
13,-71,2,-412,63,-108,23,-70,2,-69,3,-70,3,-117,24,-64,9,-150,40,-114,30,-496,82,-71,7,-97,20,-74,5,-74,10,-69,3,-70,2,-72,4,-83,15
14,-71,2,-476,64,-111,23,-70,2,-69,3,-70,3,-120,24,-64,9,-158,41,-122,31,-497,82,-73,7,-97,20,-75,5,-74,10,-69,3,-70,2,-72,4,-85,15
15,-71,2,-507,72,-118,24,-70,2,-69,3,-70,3,-122,24,-66,9,-186,41,-130,32,-498,82,-74,7,-97,20,-75,5,-76,11,-69,3,-70,2,-72,4,-87,15
16,-71,2,-509,72,-121,24,-70,2,-69,3,-70,3,-122,24,-66,9,-186,41,-150,34,-499,82,-76,11,-105,22,-75,5,-79,13,-69,3,-70,2,-72,4,-127,21
17,-71,2,-509,72,-131,25,-70,2,-69,3,-70,3,-126,24,-72,9,-205,41,-173,36,-499,82,-79,11,-120,22,-75,5,-84,13,-69,3,-70,2,-72,4,-134,21
18,-71,2,-509,72,-157,28,-70,2,-69,3,-70,3,-126,24,-81,11,-255,41,-175,37,-499,82,-79,11,-120,22,-75,5,-84,14,-70,3,-70,2,-72,4,-134,21
19,-71,2,-509,72,-167,28,-72,2,-69,3,-70,3,-180,28,-81,11,-255,41,-190,39,-499,82,-79,11,-121,22,-75,5,-90,15,-70,3,-70,2,-72,4,-134,21
20,-71,2,-509,72,-170,29,-72,2,-69,3,-70,3,-187,28,-123,16,-255,41,-191,39,-499,82,-80,11,-134,22,-77,5,-100,15,-70,3,-70,2,-72,4,-144,21
21,-71,2,-509,72,-171,31,-72,2,-69,3,-70,3,-188,28,-150,23,-265,42,-233,41,-499,82,-81,12,-134,22,-77,5,-100,15,-70,3,-70,2,-72,4,-144,21
22,-71,2,-509,72,-173,31,-72,2,-69,3,-70,3,-188,28,-175,28,-266,42,-278,42,-499,82,-95,13,-134,22,-78,5,-100,15,-70,3,-70,2,-72,4,-144,21
23,-71,2,-509,72,-174,31,-72,2,-69,3,-70,3,-188,28,-179,29,-266,42,-357,43,-499,82,-97,13,-134,22,-78,5,-100,15,-70,3,-70,2,-72,4,-151,21
24,-71,2,-509,72,-187,32,-72,2,-69,3,-70,3,-219,32,-185,29,-286,42,-361,43,-499,82,-101,13,-137,22,-78,5,-108,16,-70,3,-70,2,-72,4,-151,21
25,-71,2,-509,72,-188,32,-72,2,-69,3,-70,3,-225,33,-185,29,-360,44,-367,43,-499,82,-101,13,-137,22,-78,5,-113,16,-70,3,-70,2,-72,4,-151,21
26,-71,2,-509,72,-188,32,-72,2,-69,4,-70,3,-232,33,-185,29,-398,45,-377,44,-499,82,-101,14,-137,22,-78,5,-145,20,-70,3,-70,2,-72,4,-151,21
27,-71,2,-509,72,-188,32,-72,2,-94,7,-70,3,-232,33,-185,29,-445,45,-385,45,-499,82,-109,14,-137,22,-78,5,-148,20,-70,3,-70,2,-72,4,-151,21
28,-71,2,-509,72,-188,32,-72,2,-95,7,-70,3,-232,33,-196,29,-520,47,-391,45,-499,82,-109,14,-137,22,-78,5,-148,20,-70,3,-70,2,-72,4,-151,21
29,-71,2,-509,72,-188,32,-72,2,-99,8,-70,3,-261,33,-196,29,-524,55,-415,45,-499,82,-133,15,-137,22,-78,5,-148,20,-70,3,-70,2,-72,4,-151,21
30,-71,2,-509,72,-200,32,-73,2,-104,9,-70,3,-270,34,-197,29,-526,55,-463,45,-499,82,-135,15,-137,22,-78,5,-148,20,-70,3,-70,2,-73,4,-163,21
31,-71,2,-509,72,-204,33,-73,2,-104,9,-70,3,-338,35,-197,29,-526,55,-463,45,-499,82,-135,15,-137,22,-79,5,-160,20,-70,3,-70,2,-81,4,-163,21
32,-71,2,-509,72,-223,34,-74,2,-104,9,-70,3,-343,36,-197,29,-526,55,-493,47,-499,82,-137,15,-137,22,-81,5,-189,22,-70,3,-71,2,-81,4,-163,21
33,-73,2,-509,72,-224,35,-74,2,-112,9,-70,3,-345,38,-231,31,-526,55,-526,47,-499,82,-137,15,-137,22,-81,5,-192,22,-77,3,-71,2,-81,4,-163,21
34,-73,2,-509,72,-225,36,-74,2,-112,9,-70,3,-437,39,-231,31,-526,55,-526,47,-499,82,-137,15,-137,22,-81,5,-192,22,-77,3,-71,2,-81,4,-163,21
35,-73,2,-509,72,-233,37,-74,2,-112,9,-70,3,-440,39,-245,31,-526,55,-529,47,-499,82,-141,15,-174,22,-81,5,-192,22,-77,3,-71,2,-81,4,-188,21
36,-73,2,-509,72,-253,37,-74,2,-119,9,-70,3,-441,39,-245,31,-526,55,-533,47,-499,82,-141,15,-174,22,-81,5,-192,22,-77,3,-71,2,-83,4,-248,22
37,-73,2,-509,72,-288,39,-74,2,-119,9,-72,3,-458,40,-271,31,-526,55,-534,47,-499,82,-142,15,-174,22,-90,5,-192,22,-77,3,-71,2,-83,4,-249,22
38,-73,2,-509,72,-338,40,-74,2,-119,9,-74,3,-499,41,-271,31,-526,55,-534,47,-499,82,-142,15,-174,22,-90,5,-192,22,-77,3,-71,2,-83,4,-249,22
39,-73,2,-509,72,-391,40,-74,2,-119,9,-74,3,-509,41,-286,31,-526,55,-534,47,-499,82,-154,19,-174,22,-90,5,-192,22,-77,3,-71,2,-84,4,-249,22
40,-73,2,-509,72,-399,40,-74,2,-119,9,-74,3,-510,41,-286,31,-526,55,-534,47,-499,82,-238,20,-174,22,-91,5,-192,22,-77,3,-71,2,-84,4,-249,22
41,-73,2,-509,72,-449,40,-74,2,-119,9,-77,3,-515,41,-297,31,-526,55,-534,47,-499,82,-239,20,-198,23,-91,5,-192,22,-77,3,-71,2,-84,4,-249,22
