,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-59,8,-61,8,-64,3,-60,9,-58,9,-88,8,-60,9,-62,5,-64,3,-85,24,-64,10,-59,11,-59,11,-61,6,-64,3,-65,2,-62,5,-64,3
1,-59,8,-83,16,-64,3,-85,13,-58,9,-88,8,-74,11,-62,5,-64,3,-100,24,-64,10,-59,11,-59,11,-61,6,-64,3,-65,2,-62,5,-64,3
2,-60,9,-85,51,-64,3,-93,13,-58,9,-88,8,-75,15,-62,5,-64,3,-100,24,-93,11,-59,11,-59,14,-61,6,-65,3,-65,2,-62,9,-64,3
3,-60,9,-162,51,-64,3,-93,13,-58,9,-88,8,-75,15,-62,5,-64,3,-105,24,-93,11,-59,11,-60,14,-61,6,-65,3,-65,2,-66,12,-64,3
4,-61,9,-177,51,-64,3,-93,13,-58,9,-88,8,-75,15,-62,5,-64,3,-128,24,-93,11,-59,11,-60,15,-61,6,-65,3,-65,2,-110,14,-68,3
5,-65,9,-205,53,-64,3,-103,13,-58,11,-89,8,-75,15,-62,5,-64,3,-167,24,-93,11,-59,11,-61,18,-61,6,-65,3,-65,2,-110,14,-68,3
6,-65,9,-232,53,-64,3,-105,13,-58,11,-89,8,-93,15,-62,5,-64,3,-173,24,-93,11,-67,11,-88,20,-61,6,-65,3,-65,2,-110,14,-68,3
7,-65,9,-248,53,-64,3,-106,13,-59,11,-89,8,-93,15,-62,5,-64,3,-245,24,-93,11,-67,11,-88,20,-61,6,-65,3,-65,2,-110,14,-68,3
8,-65,9,-265,53,-64,3,-106,13,-59,11,-89,8,-93,15,-62,5,-64,3,-317,25,-93,11,-67,11,-88,20,-61,6,-65,3,-65,2,-110,14,-68,3
9,-65,9,-283,55,-64,7,-106,13,-59,11,-89,8,-93,15,-62,5,-64,3,-377,29,-93,11,-67,11,-90,20,-61,6,-65,3,-65,2,-110,14,-68,3
10,-65,9,-283,55,-64,9,-107,13,-59,11,-89,8,-93,15,-62,5,-64,3,-464,29,-93,11,-67,11,-90,20,-61,6,-65,3,-65,2,-110,14,-68,3
11,-65,9,-352,58,-64,9,-111,13,-59,11,-90,8,-93,15,-62,5,-64,3,-467,36,-96,11,-67,11,-90,20,-61,6,-65,3,-65,2,-110,14,-68,3
12,-65,9,-354,58,-64,10,-120,13,-59,11,-90,8,-93,15,-62,5,-64,3,-513,52,-96,11,-82,12,-90,20,-61,6,-65,3,-65,2,-110,14,-68,3
13,-65,9,-414,58,-68,11,-120,13,-59,11,-90,8,-93,15,-62,5,-64,3,-532,57,-96,11,-82,12,-90,20,-61,6,-65,3,-65,2,-110,14,-69,3
14,-65,9,-489,60,-68,11,-120,13,-59,11,-90,8,-93,15,-62,5,-64,3,-538,57,-96,11,-82,12,-90,20,-61,7,-65,3,-71,2,-110,14,-69,3
