,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-23,14,-22,10,-20,17,-23,12,-23,7,-20,13
1,-27,16,-28,11,-24,17,-26,13,-23,8,-24,17
2,-30,20,-31,13,-24,22,-27,16,-25,9,-25,22
3,-31,24,-34,13,-24,22,-28,20,-26,11,-31,30
4,-33,29,-37,14,-26,27,-31,23,-26,14,-33,31
5,-36,31,-39,15,-28,32,-33,26,-28,16,-35,35
6,-37,33,-40,15,-32,33,-34,28,-31,19,-37,45
7,-41,36,-43,15,-34,39,-35,30,-31,19,-39,52
8,-44,41,-44,15,-34,45,-39,30,-33,19,-42,58
9,-45,47,-46,15,-36,48,-42,34,-37,21,-43,60
10,-46,47,-47,15,-36,53,-47,41,-39,22,-47,64
11,-49,50,-48,15,-40,56,-48,41,-42,25,-51,69
12,-55,51,-49,15,-42,59,-53,45,-42,25,-55,73
13,-58,57,-52,16,-45,61,-54,49,-44,25,-59,74
14,-63,60,-55,18,-46,63,-56,50,-46,25,-65,77
15,-67,63,-57,21,-49,70,-58,51,-48,26,-66,78
16,-68,65,-60,22,-54,71,-61,55,-49,26,-71,82
17,-72,67,-60,26,-55,73,-66,56,-50,27,-74,88
18,-77,69,-61,31,-58,76,-69,58,-50,29,-76,90
19,-80,69,-64,33,-61,77,-73,61,-52,31,-80,93
20,-82,71,-64,33,-65,85,-74,66,-55,31,-84,94
21,-84,71,-73,35,-67,86,-76,67,-56,35,-89,95
22,-87,72,-76,36,-71,89,-78,69,-61,36,-92,97
23,-94,75,-80,37,-74,91,-79,70,-63,38,-94,99
24,-97,78,-82,38,-79,94,-82,73,-64,39,-96,102
25,-101,80,-84,41,-80,98,-83,74,-71,43,-96,103
26,-103,82,-90,43,-82,104,-85,74,-72,44,-100,105
27,-105,85,-92,46,-84,109,-85,75,-80,45,-101,107
28,-106,87,-98,47,-88,110,-88,79,-81,47,-105,108
29,-111,88,-101,49,-93,113,-89,80,-82,47,-111,110
30,-112,89,-106,49,-96,117,-92,81,-87,49,-113,113
31,-115,93,-108,51,-98,117,-96,83,-92,50,-117,114
32,-118,95,-112,51,-98,121,-99,83,-98,52,-118,119
33,-120,98,-116,54,-101,127,-101,84,-101,53,-120,119
34,-122,100,-118,58,-106,132,-103,85,-103,54,-124,119
35,-126,103,-120,61,-110,134,-107,86,-108,56,-124,119
36,-126,106,-126,64,-112,143,-109,86,-109,59,-124,120
37,-128,107,-132,65,-113,149,-111,88,-110,61,-128,122
38,-128,110,-138,68,-118,150,-114,88,-112,64,-130,124
39,-131,111,-144,72,-118,151,-116,90,-114,66,-135,126
40,-133,112,-146,75,-121,154,-121,90,-120,67,-137,128
41,-136,112,-151,76,-124,156,-121,90,-128,68,-141,131
42,-138,117,-154,80,-124,158,-124,91,-130,72,-143,133
43,-144,119,-161,81,-126,160,-126,92,-132,74,-144,135
44,-150,120,-163,82,-128,164,-131,94,-134,76,-146,136
45,-155,121,-166,83,-134,166,-133,94,-139,79,-148,136
46,-157,121,-172,84,-136,169,-133,97,-145,81,-152,137
47,-161,122,-174,86,-137,171,-138,100,-150,82,-154,139
48,-163,122,-175,89,-140,178,-141,102,-156,84,-155,139
49,-165,123,-179,90,-142,180,-146,103,-161,87,-156,142
50,-166,125,-187,93,-146,182,-149,103,-165,87,-156,145
51,-169,125,-191,97,-151,186,-150,103,-170,89,-158,145
52,-171,126,-198,98,-155,188,-155,103,-172,91,-159,148
53,-172,127,-204,100,-157,192,-158,105,-175,96,-160,148
54,-179,129,-209,100,-158,192,-160,106,-179,97,-165,150
55,-183,129,-215,101,-163,193,-161,107,-183,100,-168,151
56,-185,130,-218,101,-168,194,-164,107,-188,105,-171,153
57,-190,132,-221,103,-170,197,-166,108,-195,105,-174,153
58,-195,133,-224,106,-171,200,-171,109,-201,105,-176,153
59,-199,133,-226,109,-175,204,-173,111,-207,106,-177,154
60,-203,133,-234,111,-176,204,-174,111,-213,107,-183,155
61,-204,133,-239,113,-178,206,-178,112,-222,109,-185,155
62,-206,133,-247,115,-179,210,-179,114,-226,112,-187,156
63,-212,134,-251,115,-183,211,-181,114,-236,112,-189,156
64,-215,134,-257,115,-186,212,-185,115,-241,114,-193,157
65,-217,135,-261,116,-190,212,-191,118,-245,116,-196,157
66,-222,136,-267,117,-194,212,-195,118,-248,118,-200,157
67,-224,138,-272,119,-195,213,-200,118,-253,120,-203,159
68,-224,138,-277,121,-197,216,-206,118,-257,122,-208,160
69,-229,139,-283,121,-199,218,-209,118,-260,125,-212,161
70,-238,139,-288,121,-201,222,-211,120,-262,126,-215,161
71,-242,140,-291,123,-202,224,-217,121,-267,126,-220,161
72,-248,141,-294,124,-205,224,-221,122,-272,126,-225,162
73,-251,142,-299,127,-208,226,-226,123,-274,128,-228,162
74,-255,142,-303,127,-210,226,-233,123,-281,129,-233,162
75,-258,142,-308,129,-215,228,-237,123,-285,131,-236,162
76,-262,143,-312,131,-216,228,-242,125,-292,133,-238,162
77,-268,144,-316,132,-219,228,-248,125,-297,133,-242,162
78,-274,146,-316,132,-221,229,-258,125,-299,133,-248,163
79,-278,147,-318,134,-225,229,-264,125,-307,133,-251,163
