,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-62,6,-62,9,-62,6,-68,11,-56,12,-61,9,-61,10,-64,4,-66,2,-60,14,-81,8,-62,7,-79,22,-66,2,-65,3,-64,14,-66,2,-64,4
1,-62,6,-62,11,-62,6,-95,13,-56,12,-61,9,-61,10,-64,4,-66,2,-108,21,-81,8,-62,7,-83,22,-66,2,-65,3,-64,14,-66,2,-64,4
2,-62,9,-67,22,-62,10,-98,13,-56,14,-62,9,-61,12,-64,4,-66,2,-126,21,-81,8,-79,7,-85,22,-66,5,-65,3,-81,14,-66,4,-64,4
3,-62,9,-106,46,-62,11,-98,13,-61,16,-62,11,-61,12,-64,4,-66,2,-126,21,-81,8,-79,7,-85,22,-66,5,-65,3,-81,14,-66,21,-64,4
4,-62,9,-131,46,-62,11,-98,13,-111,21,-62,11,-61,12,-64,4,-66,2,-126,21,-81,8,-79,7,-85,22,-66,5,-65,3,-81,14,-66,31,-64,4
5,-62,9,-175,46,-62,11,-98,13,-111,21,-62,11,-61,12,-64,4,-66,2,-167,21,-81,8,-79,7,-85,22,-67,7,-65,3,-81,14,-67,32,-64,4
6,-62,9,-231,46,-64,11,-98,13,-111,21,-62,11,-61,12,-66,5,-66,2,-194,21,-81,8,-79,7,-85,22,-67,7,-65,4,-81,14,-68,32,-64,4
7,-62,9,-246,46,-64,11,-98,13,-111,21,-62,11,-61,12,-66,5,-66,2,-265,21,-81,8,-79,7,-85,22,-69,7,-65,4,-81,14,-68,34,-64,4
8,-62,9,-254,46,-64,11,-100,13,-111,21,-62,12,-65,13,-66,5,-66,2,-339,21,-81,8,-79,7,-85,22,-69,7,-65,4,-81,14,-68,34,-64,4
9,-62,9,-271,47,-64,11,-100,13,-111,21,-62,12,-65,18,-66,5,-66,2,-404,23,-81,8,-79,7,-85,22,-69,7,-65,4,-81,14,-68,34,-64,4
10,-62,9,-312,47,-64,11,-102,13,-111,21,-62,12,-84,18,-66,5,-66,2,-428,26,-81,8,-79,7,-85,22,-70,7,-65,4,-81,14,-68,34,-64,4
11,-62,9,-341,47,-64,12,-102,13,-111,21,-62,12,-84,18,-66,5,-66,2,-484,29,-81,8,-79,7,-86,22,-70,7,-65,4,-81,14,-68,34,-64,4
12,-62,13,-393,48,-78,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-496,29,-81,8,-79,7,-86,22,-70,7,-65,4,-81,14,-71,34,-64,4
13,-68,64,-396,48,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
14,-153,69,-396,48,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
15,-243,69,-396,48,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
16,-333,69,-396,48,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
17,-423,69,-396,48,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
18,-513,69,-396,48,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
19,-527,69,-471,49,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-515,36,-81,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
20,-527,69,-529,67,-81,12,-105,13,-111,21,-62,13,-84,18,-66,5,-66,2,-528,36,-82,8,-79,7,-86,22,-70,7,-65,5,-81,14,-71,34,-64,4
21,-527,69,-529,67,-81,12,-114,13,-111,21,-62,13,-84,18,-66,5,-66,2,-539,53,-82,8,-79,7,-95,22,-70,7,-65,5,-81,14,-111,38,-64,4
22,-527,69,-529,67,-81,12,-144,13,-111,21,-65,13,-84,18,-66,5,-66,2,-539,57,-82,8,-79,7,-96,22,-70,7,-65,5,-81,14,-163,38,-64,4
23,-527,69,-529,67,-81,12,-227,13,-111,21,-65,13,-84,18,-66,5,-66,2,-539,57,-83,8,-79,7,-100,22,-70,7,-65,5,-81,14,-165,38,-64,4
24,-527,69,-529,67,-81,12,-286,13,-111,21,-87,13,-84,18,-66,5,-66,2,-539,57,-87,8,-79,7,-100,22,-70,7,-65,5,-81,14,-170,38,-64,4
25,-527,69,-529,67,-81,12,-286,13,-111,21,-87,13,-84,18,-66,5,-66,2,-539,57,-87,8,-79,7,-104,22,-70,7,-68,6,-81,14,-252,38,-64,4
26,-527,69,-529,67,-81,12,-366,13,-111,21,-87,13,-84,18,-66,5,-67,2,-539,57,-87,8,-82,7,-110,22,-70,7,-68,6,-81,14,-252,38,-64,4
27,-527,69,-529,67,-81,14,-423,13,-111,22,-87,13,-84,18,-66,5,-69,2,-539,57,-87,8,-82,7,-110,23,-70,7,-86,6,-81,14,-261,38,-64,4
28,-527,69,-529,67,-81,14,-492,13,-111,22,-87,13,-89,18,-66,5,-69,2,-539,57,-92,8,-82,7,-121,23,-70,7,-86,6,-81,14,-261,38,-64,4
29,-527,69,-529,67,-81,14,-552,13,-111,22,-87,13,-89,18,-66,5,-69,2,-539,57,-92,8,-82,7,-121,23,-70,7,-86,6,-81,14,-291,38,-64,4
