,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-36,29,-52,18,-50,18,-50,15,-34,33,-26,37,-47,18,-51,18,-19,41,-45,21,-40,29,-40,24,-43,22,-45,23
1,-44,33,-56,19,-56,24,-57,15,-42,42,-30,40,-54,20,-58,21,-22,51,-53,25,-47,32,-46,27,-49,23,-52,26
2,-48,41,-67,21,-64,25,-68,17,-45,45,-31,46,-60,20,-68,27,-25,57,-60,28,-54,36,-54,29,-57,26,-57,28
3,-54,48,-80,22,-73,27,-75,17,-55,49,-35,51,-70,22,-72,30,-29,58,-68,31,-61,42,-59,31,-64,28,-63,30
4,-64,54,-84,25,-79,29,-82,19,-61,56,-41,54,-81,24,-79,31,-31,63,-73,35,-67,49,-65,35,-73,29,-67,34
5,-69,57,-93,30,-85,33,-91,20,-70,58,-50,59,-86,26,-90,32,-42,67,-78,37,-72,53,-70,38,-76,30,-76,36
6,-73,58,-99,31,-95,37,-98,21,-76,61,-53,64,-95,30,-96,35,-45,75,-85,43,-74,56,-75,42,-85,33,-83,46
7,-77,59,-109,33,-102,43,-104,23,-81,70,-56,70,-104,35,-104,38,-47,81,-88,45,-79,60,-84,45,-93,38,-88,48
8,-80,65,-112,35,-108,44,-113,26,-90,74,-62,74,-107,40,-112,41,-52,87,-91,50,-86,65,-90,51,-104,42,-92,51
9,-85,70,-118,37,-112,47,-120,29,-97,81,-67,80,-118,42,-121,44,-58,94,-95,53,-91,68,-98,53,-109,42,-101,54
10,-93,74,-123,44,-117,47,-128,30,-101,87,-70,88,-127,43,-131,46,-66,95,-102,57,-96,73,-101,55,-116,48,-108,58
11,-97,78,-136,48,-121,52,-136,32,-105,90,-75,95,-141,45,-135,49,-74,99,-107,61,-98,79,-108,57,-123,53,-110,60
12,-104,82,-142,50,-129,59,-142,33,-107,95,-81,98,-150,47,-142,51,-77,105,-114,66,-109,84,-119,59,-129,53,-115,62
13,-111,87,-146,53,-137,60,-155,35,-111,95,-84,102,-160,52,-153,53,-80,115,-120,72,-111,86,-130,59,-132,56,-123,66
