Adaptive n,Adaptive p,CVIRS n,CVIRS p,Greedy_sample n,Greedy_sample p,MMC n,MMC p,MML n,MML p,Random n,Random p,Random_sample n,Random_sample p,STM_stable_validation n,STM_stable_validation p
-91.21428571428571,38.785714285714285,-91.35714285714286,38.642857142857146,-91.14285714285714,38.857142857142854,-91.14285714285714,38.857142857142854,-90.85714285714286,39.142857142857146,-91.5,38.5,-91.42857142857143,38.57142857142857,-88.85714285714286,41.214285714285715
-97.21428571428571,42.785714285714285,-98.5,41.5,-98.35714285714286,41.642857142857146,-98.07142857142857,41.92857142857143,-97.57142857142857,42.42857142857143,-98.07142857142857,41.92857142857143,-98.92857142857143,41.07142857142857,-92.64285714285714,47.5
-104.71428571428571,45.285714285714285,-105.78571428571429,44.214285714285715,-105.28571428571429,44.714285714285715,-105.28571428571429,44.714285714285715,-104.21428571428571,45.785714285714285,-105.07142857142857,44.92857142857143,-105.78571428571429,44.214285714285715,-97.71428571428571,52.5
-111.42857142857143,48.57142857142857,-112.71428571428571,47.285714285714285,-112.78571428571429,47.214285714285715,-112.42857142857143,47.57142857142857,-109.78571428571429,50.214285714285715,-111.85714285714286,48.142857142857146,-112.78571428571429,47.214285714285715,-102.5,57.785714285714285
-118.07142857142857,51.92857142857143,-119.78571428571429,50.214285714285715,-119.5,50.5,-118.92857142857143,51.07142857142857,-116.07142857142857,53.92857142857143,-119.28571428571429,50.714285714285715,-119.85714285714286,50.142857142857146,-107.07142857142857,63.285714285714285
-125.14285714285714,54.857142857142854,-126.92857142857143,53.07142857142857,-126.35714285714286,53.642857142857146,-125.85714285714286,54.142857142857146,-121.57142857142857,58.42857142857143,-125.71428571428571,54.285714285714285,-126.28571428571429,53.714285714285715,-111.92857142857143,68.5
-131.35714285714286,58.642857142857146,-134.0,56.0,-133.42857142857142,56.57142857142857,-132.5,57.5,-127.71428571428571,62.285714285714285,-132.28571428571428,57.714285714285715,-133.28571428571428,56.714285714285715,-118.14285714285714,72.35714285714286
-138.28571428571428,61.714285714285715,-141.14285714285714,58.857142857142854,-140.5,59.5,-139.71428571428572,60.285714285714285,-134.85714285714286,65.14285714285714,-139.42857142857142,60.57142857142857,-139.28571428571428,60.714285714285715,-123.64285714285714,76.92857142857143
-146.21428571428572,63.785714285714285,-148.21428571428572,61.785714285714285,-147.42857142857142,62.57142857142857,-146.35714285714286,63.642857142857146,-141.14285714285714,68.85714285714286,-147.07142857142858,62.92857142857143,-146.42857142857142,63.57142857142857,-128.21428571428572,82.42857142857143
-153.85714285714286,66.14285714285714,-155.28571428571428,64.71428571428571,-154.07142857142858,65.92857142857143,-152.92857142857142,67.07142857142857,-148.14285714285714,71.85714285714286,-153.71428571428572,66.28571428571429,-152.57142857142858,67.42857142857143,-133.85714285714286,86.85714285714286
-161.14285714285714,68.85714285714286,-162.64285714285714,67.35714285714286,-160.92857142857142,69.07142857142857,-160.21428571428572,69.78571428571429,-154.78571428571428,75.21428571428571,-160.64285714285714,69.35714285714286,-159.71428571428572,70.28571428571429,-138.92857142857142,91.85714285714286
-168.21428571428572,71.78571428571429,-169.64285714285714,70.35714285714286,-168.0,72.0,-166.35714285714286,73.64285714285714,-161.57142857142858,78.42857142857143,-168.42857142857142,71.57142857142857,-166.92857142857142,73.07142857142857,-144.07142857142858,96.78571428571429
-175.85714285714286,74.14285714285714,-176.64285714285714,73.35714285714286,-174.57142857142858,75.42857142857143,-172.64285714285714,77.35714285714286,-168.71428571428572,81.28571428571429,-174.78571428571428,75.21428571428571,-173.71428571428572,76.28571428571429,-149.42857142857142,101.5
-182.85714285714286,77.14285714285714,-183.64285714285714,76.35714285714286,-181.07142857142858,78.92857142857143,-179.5,80.5,-175.64285714285714,84.35714285714286,-181.57142857142858,78.42857142857143,-181.14285714285714,78.85714285714286,-154.71428571428572,106.28571428571429
-189.92857142857142,80.07142857142857,-190.78571428571428,79.21428571428571,-188.28571428571428,81.71428571428571,-186.35714285714286,83.64285714285714,-182.71428571428572,87.28571428571429,-188.85714285714286,81.14285714285714,-188.57142857142858,81.42857142857143,-160.28571428571428,110.78571428571429
-196.5,83.5,-197.78571428571428,82.21428571428571,-195.14285714285714,84.85714285714286,-194.0,86.0,-189.92857142857142,90.07142857142857,-196.5,83.5,-196.28571428571428,83.71428571428571,-165.64285714285714,115.5
-203.14285714285714,86.85714285714286,-204.78571428571428,85.21428571428571,-202.5,87.5,-200.85714285714286,89.14285714285714,-196.71428571428572,93.28571428571429,-203.21428571428572,86.78571428571429,-202.85714285714286,87.14285714285714,-171.64285714285714,119.57142857142857
-210.5,89.5,-211.85714285714286,88.14285714285714,-209.64285714285714,90.35714285714286,-208.14285714285714,91.85714285714286,-203.42857142857142,96.57142857142857,-210.71428571428572,89.28571428571429,-209.64285714285714,90.35714285714286,-176.71428571428572,124.57142857142857
-217.5,92.5,-219.21428571428572,90.78571428571429,-216.42857142857142,93.57142857142857,-215.07142857142858,94.92857142857143,-210.28571428571428,99.71428571428571,-218.5,91.5,-216.92857142857142,93.07142857142857,-181.78571428571428,129.57142857142858
-223.85714285714286,96.14285714285714,-226.42857142857142,93.57142857142857,-223.21428571428572,96.78571428571429,-221.85714285714286,98.14285714285714,-216.57142857142858,103.42857142857143,-225.42857142857142,94.57142857142857,-222.85714285714286,97.14285714285714,-187.57142857142858,133.85714285714286
-231.14285714285714,98.85714285714286,-233.92857142857142,96.07142857142857,-230.0,100.0,-229.85714285714286,100.14285714285714,-223.35714285714286,106.64285714285714,-232.57142857142858,97.42857142857143,-229.57142857142858,100.42857142857143,-192.85714285714286,138.64285714285714
-237.78571428571428,102.21428571428571,-241.85714285714286,98.14285714285714,-237.07142857142858,102.92857142857143,-237.07142857142858,102.92857142857143,-230.35714285714286,109.64285714285714,-239.42857142857142,100.57142857142857,-237.42857142857142,102.57142857142857,-197.42857142857142,144.14285714285714
-244.35714285714286,105.64285714285714,-249.85714285714286,100.14285714285714,-244.14285714285714,105.85714285714286,-244.14285714285714,105.85714285714286,-237.21428571428572,112.78571428571429,-246.92857142857142,103.07142857142857,-244.21428571428572,105.78571428571429,-202.5,149.14285714285714
-250.85714285714286,109.14285714285714,-256.7857142857143,103.21428571428571,-251.28571428571428,108.71428571428571,-251.28571428571428,108.71428571428571,-244.21428571428572,115.78571428571429,-254.0,106.0,-251.07142857142858,108.92857142857143,-207.71428571428572,154.0
-257.92857142857144,112.07142857142857,-264.14285714285717,105.85714285714286,-258.7142857142857,111.28571428571429,-258.57142857142856,111.42857142857143,-250.92857142857142,119.07142857142857,-260.92857142857144,109.07142857142857,-257.92857142857144,112.07142857142857,-213.21428571428572,158.57142857142858
-264.92857142857144,115.07142857142857,-271.0,109.0,-265.5,114.5,-265.0,115.0,-257.2857142857143,122.71428571428571,-268.35714285714283,111.64285714285714,-265.2857142857143,114.71428571428571,-218.35714285714286,163.5
-271.42857142857144,118.57142857142857,-278.07142857142856,111.92857142857143,-272.2142857142857,117.78571428571429,-272.2857142857143,117.71428571428571,-264.07142857142856,125.92857142857143,-275.2857142857143,114.71428571428571,-272.35714285714283,117.64285714285714,-223.42857142857142,168.5
-278.92857142857144,121.07142857142857,-285.2142857142857,114.78571428571429,-278.42857142857144,121.57142857142857,-279.5,120.5,-270.7857142857143,129.21428571428572,-282.85714285714283,117.14285714285714,-279.0,121.0,-228.85714285714286,173.14285714285714
-285.07142857142856,124.92857142857143,-292.5,117.5,-284.7142857142857,125.28571428571429,-286.5,123.5,-278.2142857142857,131.78571428571428,-290.2857142857143,119.71428571428571,-285.92857142857144,124.07142857142857,-233.92857142857142,178.14285714285714
-292.5,127.5,-299.35714285714283,120.64285714285714,-291.14285714285717,128.85714285714286,-293.42857142857144,126.57142857142857,-285.14285714285717,134.85714285714286,-297.5,122.5,-292.7857142857143,127.21428571428571,-239.85714285714286,182.28571428571428
-299.7142857142857,130.28571428571428,-306.2857142857143,123.71428571428571,-297.85714285714283,132.14285714285714,-300.2857142857143,129.71428571428572,-292.0,138.0,-304.35714285714283,125.64285714285714,-300.2142857142857,129.78571428571428,-245.64285714285714,186.57142857142858
-306.2142857142857,133.78571428571428,-313.0,127.0,-304.57142857142856,135.42857142857142,-307.2857142857143,132.71428571428572,-298.85714285714283,141.14285714285714,-310.85714285714283,129.14285714285714,-307.2857142857143,132.71428571428572,-251.57142857142858,190.71428571428572
-312.85714285714283,137.14285714285714,-320.35714285714283,129.64285714285714,-311.85714285714283,138.14285714285714,-314.42857142857144,135.57142857142858,-306.0,144.0,-317.2857142857143,132.71428571428572,-313.92857142857144,136.07142857142858,-257.7142857142857,194.64285714285714
-319.2857142857143,140.71428571428572,-327.57142857142856,132.42857142857142,-318.64285714285717,141.35714285714286,-321.2142857142857,138.78571428571428,-312.57142857142856,147.42857142857142,-324.42857142857144,135.57142857142858,-320.2857142857143,139.71428571428572,-263.2142857142857,199.21428571428572
-326.92857142857144,143.07142857142858,-335.42857142857144,134.57142857142858,-325.42857142857144,144.57142857142858,-328.2857142857143,141.71428571428572,-318.85714285714283,151.14285714285714,-331.2142857142857,138.78571428571428,-327.42857142857144,142.57142857142858,-269.2857142857143,203.21428571428572
-334.07142857142856,145.92857142857142,-342.35714285714283,137.64285714285714,-332.0,148.0,-334.64285714285717,145.35714285714286,-325.7857142857143,154.21428571428572,-338.5,141.5,-334.5,145.5,-273.85714285714283,208.71428571428572
-341.2142857142857,148.78571428571428,-349.7142857142857,140.28571428571428,-338.64285714285717,151.35714285714286,-342.2857142857143,147.71428571428572,-332.42857142857144,157.57142857142858,-345.35714285714283,144.64285714285714,-341.5,148.5,-279.64285714285717,213.0
-347.7142857142857,152.28571428571428,-356.85714285714283,143.14285714285714,-345.2857142857143,154.71428571428572,-349.35714285714283,150.64285714285714,-339.2142857142857,160.78571428571428,-351.57142857142856,148.42857142857142,-349.0,151.0,-285.2142857142857,217.5
-354.57142857142856,155.42857142857142,-364.2142857142857,145.78571428571428,-353.0,157.0,-356.2142857142857,153.78571428571428,-346.42857142857144,163.57142857142858,-358.42857142857144,151.57142857142858,-355.85714285714283,154.14285714285714,-291.2142857142857,221.57142857142858
-361.7857142857143,158.21428571428572,-371.35714285714283,148.64285714285714,-359.7857142857143,160.21428571428572,-363.2142857142857,156.78571428571428,-353.07142857142856,166.92857142857142,-365.7857142857143,154.21428571428572,-362.2857142857143,157.71428571428572,-297.2142857142857,225.64285714285714
