,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
31,-70,4,-512,69,-271,35,-77,3,-78,2,-105,11,-260,33,-253,30,-531,50,-478,47,-491,90,-189,22,-84,5,-78,4,-146,22,-96,8,-80,2,-71,2,-104,14
32,-70,4,-512,69,-271,35,-77,3,-78,2,-116,11,-318,35,-255,30,-531,50,-483,47,-491,90,-189,22,-84,5,-78,4,-150,22,-99,8,-80,2,-71,2,-112,16
33,-70,4,-512,69,-271,35,-77,3,-78,2,-116,11,-378,35,-255,30,-531,50,-491,48,-491,90,-189,22,-84,5,-78,4,-172,23,-99,8,-80,2,-71,2,-114,17
34,-96,6,-512,69,-271,35,-77,3,-78,2,-116,11,-378,35,-255,30,-531,50,-532,48,-491,90,-190,22,-84,5,-78,4,-172,23,-99,8,-80,2,-71,2,-137,19
35,-98,6,-512,69,-271,35,-77,3,-78,2,-132,11,-378,35,-256,30,-531,50,-532,48,-491,90,-215,22,-84,5,-78,4,-177,23,-99,8,-80,2,-71,2,-183,19
36,-193,6,-512,69,-271,35,-77,3,-78,2,-132,11,-378,35,-256,30,-531,50,-532,48,-491,90,-215,22,-84,5,-78,4,-177,23,-99,8,-80,2,-71,2,-183,19
37,-193,6,-512,69,-271,35,-84,3,-78,2,-132,11,-404,36,-316,30,-531,50,-532,48,-491,90,-215,22,-84,5,-78,4,-177,23,-100,8,-80,2,-71,2,-183,19
38,-193,6,-512,69,-296,36,-84,3,-78,2,-132,11,-458,39,-316,30,-531,50,-533,48,-491,90,-223,22,-84,5,-78,4,-178,23,-101,9,-80,2,-71,2,-183,19
39,-193,6,-512,69,-296,36,-84,3,-78,2,-132,11,-538,39,-316,30,-531,50,-533,48,-491,90,-223,22,-84,5,-78,4,-178,23,-116,9,-80,2,-71,2,-183,19
40,-193,6,-512,69,-321,36,-84,3,-78,2,-134,11,-540,39,-316,30,-531,50,-533,48,-491,90,-279,23,-85,5,-78,4,-178,23,-116,9,-80,2,-71,2,-191,19
41,-193,6,-512,69,-321,36,-84,3,-78,2,-134,11,-540,39,-346,30,-531,50,-533,48,-491,90,-285,23,-85,5,-79,5,-231,27,-116,9,-80,2,-71,2,-191,19
42,-193,6,-512,69,-321,36,-84,3,-78,2,-134,11,-540,39,-346,30,-531,50,-533,48,-491,90,-298,23,-86,5,-85,5,-304,29,-116,9,-80,2,-71,2,-191,19
43,-193,6,-512,69,-343,36,-84,3,-78,2,-139,11,-540,39,-353,30,-531,50,-533,48,-491,90,-352,23,-86,5,-87,5,-308,30,-116,9,-80,2,-71,2,-191,19
44,-193,6,-512,69,-385,37,-84,3,-81,2,-160,11,-542,39,-354,30,-531,50,-533,48,-491,90,-353,23,-86,5,-93,5,-311,31,-118,9,-80,2,-71,2,-203,19
45,-193,6,-512,69,-399,38,-86,3,-81,2,-160,11,-542,39,-354,30,-531,50,-533,48,-491,90,-377,23,-94,7,-97,5,-315,31,-119,9,-80,2,-86,2,-223,19
46,-193,6,-512,69,-435,38,-86,3,-81,2,-160,11,-542,39,-354,30,-531,50,-533,48,-491,90,-377,23,-100,10,-97,5,-363,31,-121,9,-80,2,-86,2,-223,19
47,-193,6,-512,69,-498,38,-92,3,-81,2,-160,11,-542,39,-354,30,-531,50,-533,48,-491,90,-380,23,-113,19,-97,5,-363,31,-121,10,-80,2,-86,2,-223,19
48,-193,6,-512,69,-498,38,-92,3,-81,2,-160,11,-542,39,-354,30,-531,50,-533,48,-491,90,-380,23,-204,23,-97,5,-363,31,-121,10,-80,2,-86,2,-223,19
49,-193,6,-512,69,-498,38,-92,3,-81,2,-196,11,-542,39,-354,30,-531,50,-533,48,-491,90,-380,23,-253,23,-97,5,-363,31,-131,10,-80,2,-86,2,-223,19
50,-193,6,-512,69,-504,38,-93,3,-81,2,-196,11,-542,39,-354,30,-531,50,-533,48,-491,90,-380,23,-329,24,-97,5,-363,31,-131,10,-91,2,-86,2,-223,19
51,-193,6,-512,69,-504,38,-93,3,-81,2,-196,11,-542,39,-381,30,-531,50,-533,48,-491,90,-438,23,-330,24,-106,5,-363,31,-131,10,-91,2,-86,2,-223,19
52,-197,8,-512,69,-541,39,-93,3,-81,2,-196,11,-542,39,-381,30,-531,50,-533,48,-491,90,-482,23,-330,24,-106,5,-363,31,-138,10,-91,2,-86,2,-223,19
53,-224,10,-512,69,-542,39,-93,3,-81,2,-196,11,-542,39,-431,30,-531,50,-533,48,-491,90,-482,23,-338,24,-106,5,-363,31,-138,10,-91,2,-86,2,-229,20
54,-231,11,-512,69,-542,39,-93,3,-81,2,-196,11,-542,39,-449,30,-531,50,-533,48,-491,90,-495,23,-338,24,-106,5,-363,31,-138,10,-93,2,-86,2,-283,20
55,-254,11,-512,69,-542,39,-93,3,-83,2,-196,11,-542,39,-449,30,-531,50,-533,48,-491,90,-495,23,-338,24,-106,5,-363,31,-138,10,-93,2,-86,2,-353,20
56,-256,11,-512,69,-542,39,-111,3,-84,2,-196,11,-542,39,-449,30,-531,50,-533,48,-491,90,-498,23,-402,25,-107,5,-366,31,-140,10,-93,2,-86,2,-353,20
57,-256,11,-512,69,-542,39,-112,3,-85,2,-197,11,-542,39,-464,30,-531,50,-533,48,-491,90,-498,23,-448,25,-107,5,-397,31,-140,10,-93,2,-86,2,-353,20
58,-272,11,-512,69,-542,39,-116,3,-92,2,-197,11,-542,39,-530,31,-531,50,-533,48,-491,90,-499,23,-448,25,-107,5,-397,31,-140,10,-93,2,-86,2,-353,20
59,-272,11,-512,69,-542,39,-116,3,-92,2,-223,11,-542,39,-547,33,-531,50,-533,48,-491,90,-499,23,-448,25,-107,5,-442,32,-140,10,-93,2,-86,2,-357,20
60,-272,11,-512,69,-542,39,-116,3,-92,2,-223,11,-542,39,-547,33,-531,50,-533,48,-491,90,-511,24,-448,25,-107,5,-521,33,-140,10,-93,2,-88,2,-357,20
61,-272,11,-512,69,-542,39,-116,3,-92,2,-223,11,-542,39,-548,33,-531,50,-533,48,-491,90,-526,24,-448,25,-165,5,-540,33,-142,10,-93,2,-88,2,-357,20
62,-277,11,-512,69,-542,39,-130,3,-92,2,-223,11,-542,39,-548,33,-531,50,-533,48,-491,90,-543,24,-448,25,-165,5,-545,33,-142,10,-93,2,-94,2,-405,20
63,-284,11,-512,69,-542,39,-130,3,-105,3,-223,11,-542,39,-548,33,-531,50,-533,48,-491,90,-545,24,-448,25,-165,5,-547,33,-142,10,-94,2,-108,2,-458,22
64,-284,11,-512,69,-542,39,-132,3,-126,3,-223,11,-542,39,-548,33,-531,50,-533,48,-491,90,-554,24,-448,25,-165,5,-548,33,-142,10,-96,2,-117,2,-509,22
65,-317,11,-512,69,-542,39,-145,3,-126,3,-223,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-448,25,-165,5,-548,33,-158,10,-97,2,-124,2,-533,22
66,-317,11,-512,69,-542,39,-145,3,-126,3,-223,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-452,25,-165,5,-548,33,-239,11,-97,2,-126,2,-540,22
67,-318,11,-512,69,-542,39,-145,3,-126,3,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-452,25,-165,5,-548,33,-260,13,-118,2,-152,2,-546,22
68,-318,11,-512,69,-542,39,-156,3,-138,5,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-479,25,-165,5,-548,33,-298,14,-118,2,-152,2,-550,22
69,-318,11,-512,69,-542,39,-156,3,-226,12,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-479,25,-165,5,-548,33,-298,14,-118,2,-152,2,-550,22
70,-318,11,-512,69,-542,39,-156,3,-320,13,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-479,25,-165,5,-548,33,-298,14,-118,2,-152,2,-550,22
71,-318,11,-512,69,-542,39,-156,3,-400,13,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-486,25,-165,5,-548,33,-305,15,-118,2,-152,2,-550,22
72,-318,11,-512,69,-542,39,-156,3,-400,13,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-531,27,-165,5,-548,33,-352,15,-118,2,-152,2,-551,22
73,-366,11,-512,69,-542,39,-174,3,-416,13,-241,11,-542,39,-548,33,-531,50,-533,48,-491,90,-555,24,-537,27,-165,5,-548,33,-352,15,-118,2,-153,2,-557,22
74,-366,11,-512,69,-542,39,-174,3,-430,14,-267,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-541,27,-184,5,-548,33,-352,15,-141,3,-159,2,-557,22
75,-366,11,-512,69,-542,39,-174,3,-434,14,-267,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-549,28,-184,5,-548,33,-352,15,-223,3,-159,2,-557,22
76,-366,11,-512,69,-542,39,-182,3,-467,15,-267,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-550,28,-184,5,-548,33,-400,15,-224,3,-161,3,-557,22
77,-366,11,-512,69,-542,39,-214,3,-473,16,-267,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-550,28,-184,5,-548,33,-400,15,-224,3,-217,3,-557,22
78,-367,11,-512,69,-542,39,-214,3,-540,17,-267,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-550,28,-209,5,-548,33,-400,15,-225,3,-217,3,-557,22
79,-418,11,-512,69,-542,39,-217,3,-557,17,-267,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-550,28,-209,5,-548,33,-423,15,-225,3,-217,3,-558,22
80,-418,11,-512,69,-542,39,-217,3,-557,17,-290,11,-542,39,-548,33,-531,50,-533,48,-491,90,-556,24,-551,28,-213,5,-548,33,-423,15,-229,3,-278,5,-558,22
81,-418,11,-512,69,-542,39,-231,3,-560,17,-353,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-551,28,-213,5,-548,33,-423,15,-237,4,-283,5,-558,22
82,-418,11,-512,69,-542,39,-231,3,-560,17,-353,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-551,28,-213,5,-548,33,-423,15,-332,4,-283,5,-558,22
83,-418,11,-512,69,-542,39,-242,4,-560,17,-353,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-552,28,-213,5,-548,33,-424,15,-344,4,-350,7,-558,22
84,-418,11,-512,69,-542,39,-289,5,-561,17,-359,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-213,5,-548,33,-424,15,-344,4,-389,7,-558,22
85,-418,11,-512,69,-542,39,-384,5,-561,17,-359,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-213,5,-548,33,-424,15,-344,4,-389,7,-558,22
86,-418,11,-512,69,-542,39,-404,6,-561,17,-359,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-221,5,-548,33,-424,15,-344,4,-455,7,-558,22
87,-496,11,-512,69,-542,39,-418,6,-561,17,-359,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-221,5,-548,33,-424,15,-347,4,-455,7,-558,22
88,-496,11,-512,69,-542,39,-418,6,-561,17,-359,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-313,5,-548,33,-427,15,-347,4,-455,7,-558,22
89,-496,11,-512,69,-542,39,-418,6,-561,17,-400,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-314,5,-548,33,-462,15,-363,4,-457,7,-558,22
90,-496,11,-512,69,-542,39,-427,6,-561,17,-400,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-314,5,-548,33,-488,15,-368,4,-512,7,-558,22
91,-496,11,-512,69,-542,39,-427,6,-562,17,-458,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-314,5,-548,33,-499,15,-385,4,-520,7,-558,22
92,-496,11,-512,69,-542,39,-483,6,-562,17,-458,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-314,5,-548,33,-499,15,-421,4,-522,7,-559,22
93,-499,11,-512,69,-542,39,-551,7,-563,17,-458,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-314,5,-548,33,-499,15,-443,4,-522,7,-559,22
94,-535,11,-512,69,-542,39,-554,7,-563,17,-458,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-351,5,-548,33,-499,15,-443,4,-541,7,-559,22
95,-535,11,-512,69,-542,39,-565,7,-563,17,-509,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-352,5,-548,33,-500,15,-465,4,-550,7,-559,22
96,-538,11,-512,69,-542,39,-565,7,-563,17,-509,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-442,5,-548,33,-500,15,-465,4,-552,7,-559,22
97,-546,11,-512,69,-542,39,-567,7,-563,17,-533,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-442,5,-548,33,-528,15,-495,4,-555,7,-559,22
98,-555,11,-512,69,-542,39,-569,7,-563,17,-564,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-443,5,-548,33,-556,15,-514,4,-559,8,-559,22
99,-557,11,-512,69,-542,39,-574,7,-563,17,-567,11,-542,39,-548,33,-531,50,-533,48,-491,90,-557,24,-553,28,-497,5,-548,33,-557,15,-539,4,-564,8,-559,22
