,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
45,-740,213,-706,775,-203,19,-213,3,-749,241,-565,55,-388,23,-625,226,-614,128,-623,48,-174,2,-177,2,-235,4,-325,3,-238,10,-675,341,-565,75,-433,33,-247,11,-554,85,-403,11
46,-747,214,-706,775,-214,19,-216,3,-756,241,-580,55,-400,23,-637,228,-635,131,-647,48,-178,2,-187,2,-242,4,-332,3,-243,10,-686,342,-575,75,-442,33,-248,11,-566,85,-418,11
47,-760,214,-720,784,-219,19,-223,3,-765,241,-588,55,-406,24,-653,228,-645,132,-656,48,-183,2,-192,3,-245,4,-341,3,-247,10,-706,348,-592,75,-445,33,-255,11,-577,85,-429,11
48,-775,215,-730,791,-220,19,-227,3,-780,242,-607,56,-416,24,-658,229,-657,132,-665,48,-187,2,-198,3,-253,4,-353,3,-250,10,-717,350,-612,75,-452,34,-260,11,-580,85,-446,11
49,-804,216,-731,795,-224,19,-233,3,-791,243,-612,57,-424,24,-678,230,-670,132,-671,48,-194,2,-203,3,-267,4,-357,3,-253,10,-725,353,-619,75,-461,34,-265,11,-600,85,-460,11
50,-814,218,-734,799,-227,19,-235,3,-801,244,-623,57,-430,24,-695,231,-683,132,-680,48,-206,2,-210,3,-274,4,-363,3,-258,10,-741,356,-636,76,-470,34,-265,11,-616,85,-478,12
51,-830,219,-739,801,-230,19,-236,3,-813,245,-634,57,-444,24,-706,232,-699,132,-685,49,-215,2,-213,3,-278,4,-371,3,-259,10,-767,360,-656,78,-475,34,-270,11,-628,85,-488,13
52,-858,223,-741,804,-230,19,-238,3,-835,246,-640,57,-459,24,-740,236,-704,132,-694,49,-220,2,-218,3,-281,4,-387,3,-261,10,-778,364,-668,78,-476,34,-273,11,-634,85,-495,13
53,-867,223,-744,809,-233,19,-241,3,-848,246,-651,57,-467,24,-752,237,-716,135,-712,50,-222,2,-225,4,-286,4,-400,3,-263,10,-783,365,-685,78,-488,35,-282,11,-659,86,-502,13
54,-892,227,-748,816,-234,19,-246,3,-866,250,-656,57,-475,24,-761,238,-726,137,-734,50,-226,2,-240,4,-291,4,-406,3,-266,10,-794,365,-701,78,-492,35,-283,11,-666,87,-514,13
55,-902,227,-753,821,-239,19,-254,3,-880,250,-663,57,-481,24,-769,239,-742,138,-746,51,-234,2,-248,4,-298,4,-424,3,-270,10,-802,370,-721,78,-505,35,-285,11,-673,87,-524,14
56,-926,229,-753,821,-240,19,-261,3,-895,251,-678,58,-497,24,-787,240,-754,138,-758,51,-245,2,-253,4,-308,4,-430,3,-271,10,-820,372,-729,78,-510,35,-286,11,-681,89,-532,14
57,-940,229,-758,825,-243,19,-270,3,-908,253,-699,59,-502,24,-803,241,-764,138,-773,52,-255,2,-261,4,-315,4,-441,3,-277,10,-822,373,-737,79,-514,35,-291,11,-694,89,-546,14
58,-967,231,-758,825,-245,19,-278,3,-918,253,-710,59,-509,24,-818,242,-772,139,-783,54,-258,2,-263,4,-323,4,-455,3,-283,10,-835,377,-756,79,-521,35,-295,11,-711,90,-554,14
59,-972,232,-761,828,-249,19,-296,3,-934,254,-718,59,-519,24,-830,244,-787,140,-792,55,-263,2,-267,4,-328,4,-463,3,-284,10,-845,378,-762,80,-537,35,-300,11,-722,90,-581,15
60,-979,232,-766,832,-255,19,-302,3,-941,254,-738,59,-527,24,-841,244,-804,141,-816,55,-273,2,-272,4,-333,4,-476,3,-291,10,-850,379,-772,82,-542,35,-307,11,-736,90,-591,15
61,-985,233,-770,836,-259,19,-306,3,-955,255,-757,61,-536,24,-855,246,-825,143,-816,55,-289,2,-282,4,-341,4,-483,3,-292,10,-869,380,-777,82,-547,35,-310,11,-756,90,-598,16
