,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
0,-99,12,-96,2,-103,54,-91,8,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-95,3,-95,3,-94,6,-95,3,-93,5,-105,12,-95,3,-95,3,-143,16,-97,5,-92,6,-94,4,-168,21,-95,3,-93,5
1,-99,12,-96,2,-208,179,-95,8,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-95,3,-95,3,-96,6,-95,3,-93,5,-106,13,-95,3,-95,3,-143,16,-97,5,-92,6,-94,4,-173,28,-95,3,-93,5
2,-99,12,-96,2,-425,197,-95,8,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-95,3,-95,3,-96,6,-95,3,-93,5,-106,13,-95,3,-95,3,-143,16,-97,5,-92,6,-94,4,-177,39,-95,3,-93,5
3,-136,17,-96,2,-484,205,-118,19,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-96,4,-93,5,-135,28,-95,3,-96,3,-154,24,-97,5,-93,7,-95,4,-190,60,-95,3,-93,6
4,-136,19,-96,2,-496,209,-162,33,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-99,4,-93,5,-169,42,-95,3,-96,3,-164,29,-103,5,-97,9,-95,4,-278,68,-95,3,-93,6
5,-141,36,-96,2,-503,211,-178,67,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-100,5,-93,6,-229,75,-95,3,-98,3,-169,32,-103,5,-138,16,-98,4,-282,68,-95,3,-97,10
6,-144,40,-96,2,-503,211,-358,99,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-100,5,-93,6,-247,88,-95,3,-98,3,-169,32,-103,5,-138,16,-98,4,-282,68,-95,3,-97,10
7,-144,42,-96,2,-541,221,-545,99,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-100,5,-93,6,-254,94,-95,3,-98,3,-169,32,-103,5,-138,16,-98,4,-282,68,-95,3,-97,10
8,-146,47,-96,2,-596,226,-713,100,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-100,5,-93,6,-256,106,-95,3,-98,3,-169,32,-103,5,-138,16,-98,4,-282,68,-95,3,-97,10
9,-166,58,-96,2,-634,247,-773,108,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-98,6,-100,5,-93,6,-335,119,-95,3,-98,3,-169,32,-103,5,-138,16,-98,4,-282,68,-95,3,-97,10
10,-281,77,-96,2,-634,247,-773,108,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-95,3,-101,6,-107,6,-93,6,-427,124,-95,3,-98,3,-170,32,-103,5,-140,21,-98,4,-282,68,-95,3,-97,10
11,-388,79,-98,2,-634,247,-773,108,-96,2,-96,2,-96,2,-96,2,-96,2,-96,2,-96,3,-102,4,-101,6,-108,7,-99,6,-480,125,-96,3,-98,3,-179,33,-118,6,-143,23,-100,5,-300,69,-95,3,-105,17
12,-417,79,-101,3,-634,247,-773,108,-98,3,-99,2,-96,2,-96,2,-98,2,-96,2,-102,7,-104,6,-103,6,-142,8,-99,6,-542,125,-100,4,-101,3,-180,33,-118,6,-158,24,-106,8,-343,69,-98,3,-115,23
13,-440,79,-101,3,-634,247,-773,108,-101,3,-101,2,-96,2,-96,2,-98,2,-96,2,-153,9,-129,11,-148,22,-144,8,-101,6,-563,125,-100,4,-101,3,-183,33,-118,6,-160,24,-115,10,-345,69,-99,3,-145,27
14,-440,79,-101,3,-634,247,-773,108,-101,4,-101,2,-98,2,-98,2,-98,2,-96,2,-153,9,-142,14,-157,43,-144,8,-103,6,-714,125,-105,5,-101,3,-183,33,-118,6,-160,24,-121,10,-345,69,-102,5,-172,29
15,-461,80,-101,3,-634,247,-773,108,-102,4,-101,2,-98,2,-99,2,-99,2,-96,2,-153,9,-145,14,-286,43,-144,8,-103,6,-755,126,-108,5,-102,3,-183,33,-125,6,-160,24,-121,10,-367,69,-111,14,-172,29
16,-649,85,-101,3,-634,247,-773,108,-103,5,-103,2,-99,2,-100,2,-99,2,-96,2,-153,9,-148,14,-286,43,-144,8,-103,6,-755,126,-109,5,-102,3,-186,33,-125,6,-161,24,-121,10,-399,69,-114,22,-172,29
17,-785,96,-106,3,-634,247,-773,108,-107,5,-103,2,-99,2,-100,2,-100,2,-99,2,-153,9,-149,14,-287,43,-144,8,-104,6,-755,126,-115,5,-104,3,-187,33,-125,6,-173,24,-126,10,-441,69,-128,26,-172,30
18,-785,96,-106,3,-634,247,-773,108,-107,5,-103,2,-101,2,-100,2,-101,2,-99,2,-153,9,-151,15,-289,43,-144,8,-106,6,-755,126,-116,5,-109,3,-188,33,-125,6,-173,24,-126,10,-628,70,-172,27,-172,30
19,-785,96,-106,3,-634,247,-773,108,-109,6,-121,2,-101,2,-101,2,-101,2,-100,2,-153,9,-176,18,-289,43,-144,8,-107,7,-755,126,-116,5,-109,3,-190,33,-125,6,-173,24,-128,10,-811,70,-172,27,-182,30
20,-785,96,-118,6,-634,247,-773,108,-147,6,-121,2,-104,2,-101,2,-107,2,-103,2,-153,10,-188,31,-333,43,-146,8,-127,10,-755,126,-131,5,-109,3,-206,34,-128,6,-185,24,-166,11,-811,70,-173,27,-185,30
21,-785,96,-128,7,-634,247,-773,108,-148,6,-121,2,-107,2,-104,2,-107,2,-107,2,-153,10,-247,32,-347,43,-146,8,-192,47,-755,126,-131,5,-112,3,-213,34,-167,7,-185,24,-168,11,-811,70,-173,27,-185,30
22,-785,96,-128,7,-634,247,-773,108,-148,6,-121,2,-107,2,-108,2,-107,2,-107,2,-153,10,-247,32,-347,43,-146,8,-421,63,-755,126,-131,5,-112,3,-213,34,-167,8,-185,24,-168,11,-811,70,-173,27,-185,30
23,-785,96,-134,7,-634,247,-773,108,-148,6,-124,2,-121,2,-126,2,-114,2,-114,2,-154,10,-247,32,-410,43,-146,8,-470,64,-755,126,-138,5,-123,4,-216,34,-175,8,-220,25,-168,11,-811,70,-174,27,-199,30
24,-785,96,-147,7,-634,247,-773,108,-149,7,-129,2,-126,2,-126,2,-114,2,-127,2,-154,10,-251,32,-545,44,-146,8,-505,64,-755,126,-138,5,-128,4,-242,35,-175,8,-220,25,-168,11,-811,70,-179,27,-199,30
25,-785,96,-147,7,-634,247,-773,108,-160,8,-129,2,-126,2,-126,2,-114,2,-127,2,-154,10,-251,32,-783,44,-146,8,-505,64,-755,126,-138,5,-128,4,-242,35,-175,8,-220,25,-168,11,-811,70,-179,27,-199,30
26,-785,96,-147,7,-634,247,-773,108,-197,9,-132,2,-127,2,-129,2,-122,2,-128,2,-156,10,-257,32,-836,45,-146,8,-506,64,-755,126,-138,5,-144,4,-277,35,-192,9,-222,25,-198,11,-811,70,-194,27,-216,30
27,-785,96,-164,7,-634,247,-773,108,-217,9,-137,2,-134,2,-134,2,-126,2,-134,2,-163,10,-261,32,-836,45,-149,8,-534,64,-755,126,-195,7,-160,4,-279,35,-216,10,-224,25,-199,11,-811,70,-225,27,-224,30
28,-785,96,-164,7,-634,247,-773,108,-217,9,-150,2,-146,2,-144,2,-130,2,-136,2,-163,10,-262,32,-836,45,-150,8,-589,65,-755,126,-202,8,-165,4,-297,36,-226,11,-279,25,-229,11,-811,70,-225,27,-247,30
29,-785,96,-167,7,-634,247,-773,108,-221,9,-155,2,-158,2,-153,2,-149,2,-165,3,-170,10,-300,32,-836,45,-158,8,-591,65,-755,126,-204,9,-200,5,-315,36,-232,11,-281,25,-272,11,-811,70,-227,27,-249,31
30,-785,96,-177,7,-634,247,-773,108,-259,10,-160,3,-160,2,-160,2,-151,2,-175,3,-173,10,-301,32,-836,45,-158,8,-703,65,-755,126,-208,11,-220,6,-315,36,-249,11,-285,25,-272,11,-811,70,-231,27,-255,31
31,-785,96,-180,7,-634,247,-773,108,-262,10,-182,4,-160,2,-160,2,-152,2,-177,3,-173,10,-301,32,-836,45,-158,8,-797,65,-755,126,-296,18,-228,6,-319,36,-249,11,-285,25,-272,11,-811,70,-248,27,-255,31
32,-785,96,-195,7,-634,247,-773,108,-262,10,-196,4,-174,2,-166,2,-162,2,-187,3,-208,10,-309,32,-836,45,-159,8,-808,65,-755,126,-300,18,-264,7,-386,37,-266,11,-285,25,-272,11,-811,70,-248,27,-255,31
33,-785,96,-208,7,-634,247,-773,108,-304,10,-197,4,-178,2,-174,2,-174,2,-192,3,-208,10,-318,32,-836,45,-169,8,-816,65,-755,126,-300,18,-285,7,-491,37,-266,11,-294,25,-272,11,-811,70,-248,27,-258,31
34,-785,96,-208,7,-634,247,-773,108,-304,10,-204,4,-184,2,-188,2,-180,3,-207,3,-208,10,-348,32,-836,45,-206,8,-816,65,-755,126,-300,18,-292,7,-566,37,-273,11,-298,25,-302,12,-811,70,-255,27,-261,31
35,-785,96,-217,7,-634,247,-773,108,-309,10,-213,4,-194,2,-189,2,-226,3,-219,3,-209,10,-373,32,-836,45,-206,8,-816,65,-755,126,-300,18,-323,7,-576,38,-310,11,-343,25,-302,12,-811,70,-263,27,-261,31
36,-785,96,-217,7,-634,247,-773,108,-309,10,-213,4,-194,2,-189,2,-226,3,-219,3,-209,10,-373,32,-836,45,-206,8,-816,65,-755,126,-300,18,-323,7,-809,38,-310,11,-343,25,-304,12,-811,70,-263,27,-276,31
37,-785,96,-240,7,-634,247,-773,108,-309,10,-226,4,-209,2,-200,3,-227,3,-231,3,-215,10,-424,32,-836,45,-206,8,-816,65,-755,126,-305,18,-359,7,-843,38,-310,11,-343,25,-309,12,-811,70,-284,27,-292,31
38,-785,96,-247,7,-634,247,-773,108,-369,11,-233,5,-221,2,-245,4,-238,3,-235,3,-230,10,-464,32,-836,45,-206,8,-816,65,-755,126,-305,18,-371,7,-843,38,-310,11,-345,25,-336,12,-811,70,-284,27,-297,31
39,-785,96,-253,7,-634,247,-773,108,-374,11,-303,6,-226,2,-261,6,-256,3,-250,3,-237,10,-466,32,-836,45,-206,8,-816,65,-755,126,-351,19,-389,7,-843,38,-310,11,-357,25,-336,12,-811,70,-288,27,-318,32
40,-785,96,-255,7,-634,247,-773,108,-388,12,-306,7,-231,2,-263,6,-257,3,-256,3,-244,10,-516,32,-836,45,-206,8,-816,65,-755,126,-351,19,-410,7,-843,38,-319,11,-382,25,-384,12,-811,70,-317,27,-344,32
41,-785,96,-258,7,-634,247,-773,108,-443,13,-312,8,-238,2,-276,6,-261,3,-267,3,-245,10,-516,32,-836,45,-207,8,-816,65,-755,126,-351,19,-414,8,-843,38,-319,11,-411,25,-384,12,-811,70,-429,27,-345,32
42,-785,96,-260,7,-634,247,-773,108,-446,13,-312,8,-245,2,-301,6,-273,4,-268,3,-252,10,-555,32,-836,45,-261,8,-816,65,-755,126,-351,19,-469,11,-843,38,-338,11,-411,25,-385,12,-811,70,-433,27,-360,34
