,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-37,27,-47,18,-46,18,-44,21,-35,32,-25,35,-43,18,-39,22,-21,40,-40,20,-32,32,-45,17,-38,27,-44,19
1,-45,30,-57,19,-53,20,-50,24,-35,36,-27,40,-54,19,-53,25,-24,45,-46,25,-39,38,-53,18,-41,33,-47,26
2,-50,33,-64,21,-61,22,-64,27,-42,38,-29,43,-64,21,-59,26,-29,52,-52,26,-43,43,-58,23,-50,38,-55,29
3,-53,37,-69,23,-66,24,-72,27,-44,45,-32,52,-66,26,-65,30,-34,56,-60,30,-51,50,-67,26,-54,46,-67,30
4,-59,41,-77,25,-72,24,-78,30,-45,48,-36,57,-74,29,-71,35,-39,61,-64,35,-59,53,-76,31,-62,50,-78,33
5,-61,47,-83,28,-80,27,-88,30,-49,51,-38,59,-83,32,-76,37,-47,66,-71,38,-69,56,-84,34,-75,53,-83,37
6,-66,49,-90,30,-91,29,-95,34,-52,53,-44,63,-91,36,-83,39,-53,69,-75,42,-74,63,-95,39,-80,56,-90,41
7,-72,56,-98,35,-95,29,-101,37,-57,58,-45,66,-98,39,-95,44,-56,80,-83,46,-78,65,-103,42,-85,56,-100,43
8,-77,60,-102,40,-104,30,-104,37,-63,65,-52,74,-103,42,-105,45,-60,89,-91,51,-82,66,-108,45,-95,57,-108,47
9,-85,61,-106,45,-106,33,-114,41,-69,69,-57,78,-107,43,-112,49,-64,96,-102,52,-87,70,-113,52,-106,59,-116,50
10,-93,68,-118,47,-118,35,-122,42,-75,72,-65,81,-112,44,-119,53,-66,97,-107,54,-90,77,-119,52,-115,62,-126,53
11,-98,75,-127,51,-122,37,-130,43,-77,77,-70,91,-119,46,-123,57,-73,104,-116,58,-93,82,-122,52,-121,68,-130,60
12,-103,80,-136,54,-133,41,-137,46,-83,81,-74,100,-126,46,-132,61,-76,111,-121,59,-98,86,-126,55,-129,69,-138,61
13,-109,87,-140,57,-136,46,-144,46,-90,89,-79,108,-137,49,-139,62,-80,116,-126,63,-103,88,-132,58,-136,72,-143,67
14,-114,92,-147,60,-144,49,-154,46,-94,90,-81,111,-145,51,-148,64,-84,124,-134,68,-113,91,-137,63,-143,75,-151,69
15,-119,97,-155,65,-152,51,-156,47,-100,96,-86,119,-152,54,-151,65,-91,129,-141,69,-121,96,-147,64,-148,80,-157,74
16,-122,101,-164,66,-160,54,-162,48,-105,103,-88,123,-163,57,-159,67,-97,138,-144,74,-126,100,-150,69,-158,81,-167,76
17,-128,108,-167,67,-164,57,-172,49,-109,106,-93,130,-176,57,-166,71,-100,145,-146,77,-138,103,-158,72,-164,86,-175,78
18,-132,111,-178,70,-166,63,-176,52,-114,110,-99,139,-182,59,-175,77,-104,151,-151,81,-143,107,-166,77,-171,87,-181,80
19,-136,112,-180,72,-174,64,-186,52,-124,116,-103,144,-187,63,-182,84,-107,156,-161,84,-145,113,-176,79,-179,91,-191,81
20,-145,115,-191,74,-186,70,-194,53,-131,121,-104,149,-197,65,-188,86,-111,160,-168,86,-149,117,-178,82,-187,93,-199,83
21,-152,117,-196,76,-195,73,-198,53,-144,126,-108,158,-203,68,-191,87,-115,163,-177,89,-155,123,-184,89,-194,94,-204,90
22,-154,118,-204,78,-205,74,-205,55,-151,129,-112,163,-212,71,-201,90,-119,169,-183,93,-159,127,-195,93,-197,101,-209,95
23,-162,121,-217,81,-208,76,-212,56,-156,133,-116,171,-216,76,-209,93,-122,175,-185,94,-164,130,-203,97,-206,103,-216,104
24,-168,128,-221,85,-211,77,-229,56,-162,139,-122,173,-221,78,-215,99,-125,179,-193,96,-167,132,-213,99,-213,106,-227,108
25,-174,133,-227,88,-217,83,-233,58,-165,144,-128,176,-232,78,-221,102,-133,185,-201,99,-174,135,-214,105,-219,109,-237,112
26,-182,138,-233,90,-222,87,-240,63,-172,148,-132,181,-241,80,-230,102,-136,191,-209,102,-179,139,-224,107,-223,112,-245,114
27,-186,142,-239,92,-229,91,-251,64,-175,151,-135,185,-247,83,-241,107,-140,195,-219,103,-185,145,-234,109,-228,116,-255,115
28,-193,146,-245,93,-235,96,-254,67,-179,154,-141,187,-252,86,-251,112,-145,202,-225,108,-189,150,-244,113,-232,122,-263,118
29,-195,150,-255,95,-239,100,-262,69,-188,156,-145,192,-260,87,-256,116,-148,210,-231,113,-196,159,-254,117,-238,124,-267,120
30,-201,154,-265,98,-245,104,-271,78,-194,157,-147,198,-266,90,-258,117,-154,213,-236,116,-200,170,-260,119,-245,125,-275,126
31,-210,157,-275,100,-252,109,-275,79,-201,161,-153,203,-276,93,-266,119,-160,219,-241,117,-203,172,-265,124,-253,129,-282,128
32,-215,162,-285,104,-260,110,-282,81,-205,165,-157,211,-282,95,-273,121,-163,227,-243,122,-208,174,-273,126,-261,135,-290,132
33,-223,167,-292,109,-268,113,-289,83,-214,169,-158,217,-287,99,-282,124,-169,229,-248,127,-215,179,-278,131,-264,139,-296,133
34,-227,171,-297,109,-278,117,-292,86,-217,176,-164,224,-292,103,-287,125,-174,238,-253,131,-219,182,-283,135,-279,142,-304,137
35,-231,177,-311,113,-284,119,-299,88,-221,179,-168,230,-303,108,-291,126,-175,240,-259,131,-227,186,-287,141,-283,147,-318,140
36,-236,181,-321,118,-291,121,-308,89,-229,183,-172,233,-310,108,-298,130,-180,246,-265,132,-236,188,-296,143,-292,150,-323,143
37,-244,187,-333,121,-298,124,-312,90,-235,184,-173,243,-313,111,-303,131,-185,250,-271,134,-245,196,-310,144,-300,153,-325,147
38,-253,193,-341,123,-305,126,-320,94,-239,186,-178,252,-315,113,-313,133,-188,254,-279,137,-248,201,-317,148,-309,158,-330,149
39,-255,195,-345,126,-313,130,-328,95,-252,192,-181,256,-322,114,-324,136,-193,261,-291,138,-254,205,-325,149,-311,160,-336,155
40,-261,201,-351,129,-321,134,-333,98,-256,195,-189,260,-330,119,-328,140,-198,266,-296,146,-256,211,-335,153,-313,163,-342,158
41,-264,206,-356,130,-328,135,-342,100,-262,199,-194,265,-341,122,-331,141,-205,271,-304,154,-263,213,-343,155,-320,168,-350,160
42,-269,209,-358,132,-335,140,-348,102,-266,203,-199,270,-348,125,-336,143,-211,279,-317,156,-273,216,-352,157,-329,172,-356,161
43,-276,216,-365,135,-344,141,-357,106,-271,205,-202,273,-354,126,-345,146,-214,284,-326,158,-282,223,-360,159,-333,176,-363,162
44,-284,220,-375,137,-349,146,-360,108,-276,210,-208,280,-357,129,-354,155,-218,293,-336,159,-284,225,-366,161,-341,178,-370,163
45,-290,225,-379,140,-357,149,-369,110,-279,215,-212,284,-362,133,-366,156,-219,297,-343,163,-291,229,-375,166,-345,180,-381,167
46,-292,228,-388,142,-365,153,-382,114,-280,221,-217,290,-369,137,-373,157,-225,301,-352,164,-300,231,-377,168,-351,184,-388,173
47,-295,231,-396,146,-373,154,-387,115,-283,228,-222,295,-380,139,-383,163,-228,309,-355,166,-307,235,-382,171,-360,187,-397,175
48,-302,236,-404,150,-379,155,-395,117,-287,237,-231,299,-391,140,-394,163,-231,310,-368,169,-312,238,-383,174,-365,190,-403,179
49,-303,240,-410,152,-384,159,-404,119,-294,244,-235,308,-397,144,-405,166,-235,319,-375,172,-317,242,-391,176,-372,195,-404,180
50,-308,243,-414,155,-388,162,-424,122,-306,248,-240,312,-408,146,-412,167,-238,322,-380,178,-320,246,-397,179,-377,201,-405,184
51,-313,247,-422,157,-395,164,-429,124,-312,254,-248,319,-418,150,-421,169,-241,324,-387,180,-325,249,-404,182,-382,204,-413,189
52,-320,253,-427,159,-401,166,-434,126,-317,262,-254,323,-427,152,-427,171,-245,332,-394,185,-337,252,-411,183,-384,206,-421,193
53,-326,256,-431,162,-406,171,-440,128,-325,264,-257,329,-441,154,-432,178,-248,335,-401,188,-339,257,-420,186,-392,207,-430,199
54,-330,258,-438,169,-415,177,-451,130,-333,273,-261,329,-449,155,-438,180,-252,343,-405,191,-346,262,-426,191,-396,209,-434,201
55,-334,267,-442,172,-420,182,-456,130,-338,277,-263,337,-461,157,-449,182,-253,348,-412,197,-356,269,-429,193,-406,209,-441,202
56,-337,268,-449,177,-430,184,-460,131,-347,289,-269,341,-470,161,-456,188,-257,350,-419,201,-356,273,-440,196,-410,214,-447,202
57,-343,276,-461,181,-436,186,-475,133,-350,292,-278,348,-480,162,-459,189,-259,354,-422,203,-362,276,-448,197,-415,219,-453,205
58,-348,280,-469,182,-446,189,-484,133,-357,295,-281,353,-492,164,-468,194,-263,358,-431,209,-365,279,-455,200,-420,222,-459,206
59,-353,284,-479,182,-453,191,-492,135,-361,303,-286,364,-497,166,-473,195,-271,365,-436,211,-375,280,-458,202,-430,225,-467,208
60,-358,290,-484,186,-457,194,-500,136,-367,308,-287,372,-503,167,-480,200,-274,368,-446,217,-381,283,-466,202,-441,229,-475,211
61,-366,292,-489,188,-464,197,-515,138,-372,311,-293,373,-509,170,-487,203,-279,374,-454,220,-385,285,-475,206,-447,233,-486,211
62,-375,295,-493,190,-475,197,-519,140,-375,314,-298,381,-512,174,-496,206,-286,383,-462,223,-386,290,-481,212,-456,239,-491,213
63,-388,296,-496,193,-482,202,-535,142,-378,317,-301,386,-517,175,-504,207,-292,393,-473,226,-387,296,-489,216,-460,239,-497,215
64,-397,298,-504,198,-487,206,-544,144,-382,320,-305,390,-524,179,-513,211,-295,402,-477,230,-394,299,-496,221,-466,241,-502,217
65,-402,302,-513,199,-498,209,-556,148,-387,325,-311,394,-530,180,-519,212,-302,410,-480,233,-398,305,-503,223,-470,242,-509,222
66,-404,306,-520,201,-505,216,-559,153,-392,329,-320,403,-540,182,-525,214,-304,415,-486,236,-407,306,-517,225,-473,246,-513,225
67,-412,313,-527,202,-513,218,-568,155,-396,335,-328,408,-546,184,-530,216,-309,422,-495,238,-409,310,-523,228,-475,251,-521,230
