,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
31,-87,4,-509,72,-246,34,-84,3,-68,3,-88,8,-218,27,-74,4,-533,48,-483,41,-492,89,-183,19,-200,21,-64,2,-135,20,-99,6,-90,3,-71,2,-145,19
32,-87,4,-509,72,-260,34,-84,3,-68,3,-88,8,-228,27,-74,4,-533,48,-526,42,-492,89,-193,19,-200,21,-78,2,-135,20,-99,6,-90,3,-71,2,-148,19
33,-87,4,-509,72,-262,34,-84,3,-68,3,-88,8,-266,31,-81,4,-533,48,-538,42,-492,89,-206,19,-200,21,-78,2,-142,20,-103,6,-90,3,-71,2,-156,19
34,-87,4,-509,72,-282,34,-84,3,-68,3,-98,8,-309,35,-81,4,-533,48,-538,42,-492,89,-209,19,-200,21,-78,2,-142,20,-103,6,-90,3,-71,2,-171,19
35,-87,4,-509,72,-282,34,-85,3,-68,3,-98,8,-341,36,-81,4,-533,48,-538,42,-492,89,-252,19,-200,21,-78,2,-142,20,-121,6,-90,3,-71,2,-171,19
36,-87,4,-509,72,-305,34,-85,3,-73,5,-106,8,-375,38,-81,4,-533,48,-539,42,-492,89,-252,19,-200,21,-78,2,-142,20,-121,6,-90,3,-71,2,-191,19
37,-90,4,-509,72,-307,34,-86,3,-99,7,-106,8,-397,39,-82,4,-533,48,-539,42,-492,89,-252,19,-200,21,-78,2,-176,23,-121,6,-90,3,-71,2,-191,19
38,-90,4,-509,72,-307,34,-86,3,-154,11,-106,8,-429,39,-82,4,-533,48,-539,42,-492,89,-252,19,-200,21,-78,2,-179,23,-122,6,-90,3,-71,2,-191,19
39,-90,4,-509,72,-326,34,-86,3,-162,11,-106,8,-489,40,-82,4,-533,48,-539,42,-492,89,-252,19,-200,21,-78,2,-186,23,-122,6,-90,3,-71,2,-191,19
40,-90,4,-509,72,-362,35,-86,3,-163,11,-106,8,-509,41,-85,4,-533,48,-539,42,-492,89,-272,19,-200,21,-78,2,-191,23,-122,6,-90,3,-71,2,-199,19
41,-90,4,-509,72,-366,35,-86,3,-163,11,-106,8,-537,41,-85,4,-533,48,-539,42,-492,89,-335,19,-200,21,-78,2,-191,23,-122,6,-90,3,-71,2,-199,19
42,-90,4,-509,72,-366,35,-86,3,-163,11,-106,8,-537,41,-85,4,-533,48,-539,42,-492,89,-335,19,-292,24,-78,2,-191,23,-122,6,-90,3,-71,2,-199,19
43,-90,4,-509,72,-401,37,-87,3,-164,11,-114,8,-539,42,-86,4,-533,48,-539,42,-492,89,-335,19,-320,24,-78,2,-199,23,-125,6,-92,3,-73,2,-200,19
44,-90,4,-509,72,-429,37,-87,3,-164,11,-114,8,-539,42,-87,4,-533,48,-539,42,-492,89,-335,19,-320,24,-78,2,-229,23,-149,6,-92,3,-73,2,-211,20
45,-90,4,-509,72,-484,37,-90,3,-164,11,-114,8,-539,42,-97,5,-533,48,-539,42,-492,89,-355,19,-320,24,-80,2,-229,23,-150,6,-92,3,-73,2,-213,21
46,-90,4,-509,72,-490,37,-103,3,-164,11,-114,8,-539,42,-117,9,-533,48,-539,42,-492,89,-355,19,-320,24,-80,2,-270,23,-152,7,-93,3,-73,2,-220,21
47,-90,4,-509,72,-490,37,-104,3,-164,11,-114,8,-539,42,-162,18,-533,48,-539,42,-492,89,-383,22,-320,24,-80,2,-270,23,-158,10,-93,3,-73,2,-220,21
48,-90,4,-509,72,-490,37,-104,3,-164,11,-114,8,-539,42,-238,22,-533,48,-539,42,-492,89,-383,22,-320,24,-80,2,-270,23,-173,10,-93,3,-73,2,-220,21
49,-90,4,-509,72,-524,37,-104,3,-178,11,-114,8,-539,42,-250,24,-533,48,-539,42,-492,89,-389,22,-320,24,-80,2,-270,23,-199,11,-93,3,-73,2,-220,21
50,-93,4,-509,72,-538,37,-104,3,-178,11,-114,8,-539,42,-258,25,-533,48,-539,42,-492,89,-389,22,-320,24,-80,2,-270,23,-206,11,-93,3,-74,2,-281,21
51,-94,4,-509,72,-544,37,-104,3,-178,11,-131,9,-539,42,-276,25,-533,48,-539,42,-492,89,-437,22,-320,24,-81,2,-270,23,-209,11,-93,3,-74,2,-281,21
52,-111,6,-509,72,-544,37,-104,3,-178,11,-138,9,-539,42,-318,26,-533,48,-539,42,-492,89,-437,22,-320,24,-81,2,-270,23,-228,11,-97,3,-74,2,-284,21
53,-113,8,-509,72,-544,37,-104,3,-178,11,-138,9,-539,42,-320,26,-533,48,-539,42,-492,89,-437,22,-332,25,-81,2,-270,23,-228,11,-97,3,-74,2,-360,21
54,-206,10,-509,72,-544,37,-104,3,-178,11,-138,9,-539,42,-320,26,-533,48,-539,42,-492,89,-437,22,-332,25,-81,2,-270,23,-228,11,-97,3,-74,2,-360,21
55,-211,10,-509,72,-544,37,-104,3,-178,11,-138,9,-539,42,-320,26,-533,48,-539,42,-492,89,-455,22,-403,26,-81,2,-270,23,-228,11,-97,3,-74,2,-360,21
56,-213,10,-509,72,-544,37,-104,3,-178,11,-138,9,-539,42,-325,27,-533,48,-539,42,-492,89,-507,23,-406,26,-88,2,-270,23,-229,11,-97,3,-77,2,-380,21
57,-213,10,-509,72,-544,37,-104,3,-202,12,-138,9,-539,42,-352,29,-533,48,-539,42,-492,89,-507,23,-430,26,-98,5,-270,23,-229,11,-97,3,-81,2,-380,21
58,-213,10,-509,72,-544,37,-104,3,-204,12,-138,9,-539,42,-411,30,-533,48,-539,42,-492,89,-507,23,-430,26,-119,7,-270,23,-229,11,-107,3,-81,2,-380,21
59,-213,10,-509,72,-544,37,-104,3,-204,12,-138,9,-539,42,-470,30,-533,48,-539,42,-492,89,-507,23,-430,26,-138,7,-270,23,-229,11,-108,3,-97,2,-380,21
60,-236,11,-509,72,-544,37,-127,3,-204,12,-138,9,-539,42,-495,30,-533,48,-539,42,-492,89,-519,23,-437,26,-138,7,-270,23,-229,11,-112,3,-97,2,-380,21
61,-237,11,-509,72,-544,37,-127,3,-205,12,-139,9,-539,42,-513,31,-533,48,-539,42,-492,89,-519,23,-459,26,-138,7,-279,23,-230,11,-112,3,-97,2,-421,21
62,-237,11,-509,72,-544,37,-127,3,-251,12,-139,9,-539,42,-526,31,-533,48,-539,42,-492,89,-537,24,-459,26,-139,7,-279,23,-230,11,-112,3,-97,2,-437,21
63,-237,11,-509,72,-544,37,-127,3,-345,12,-139,9,-539,42,-526,31,-533,48,-539,42,-492,89,-538,24,-459,26,-139,7,-279,23,-230,11,-112,3,-97,2,-437,21
64,-237,11,-509,72,-544,37,-127,3,-345,12,-172,10,-539,42,-526,31,-533,48,-539,42,-492,89,-539,24,-498,26,-139,7,-291,23,-230,11,-118,3,-100,2,-437,21
65,-260,11,-509,72,-544,37,-127,3,-345,12,-173,10,-539,42,-526,31,-533,48,-539,42,-492,89,-541,24,-498,26,-139,7,-291,23,-238,13,-123,3,-116,3,-473,22
66,-260,11,-509,72,-544,37,-127,3,-345,12,-173,10,-539,42,-526,31,-533,48,-539,42,-492,89,-541,24,-498,26,-139,7,-350,25,-252,14,-123,3,-129,4,-478,22
67,-260,11,-509,72,-544,37,-127,3,-345,12,-200,10,-539,42,-526,31,-533,48,-539,42,-492,89,-541,24,-498,26,-141,7,-378,28,-272,14,-123,3,-137,4,-485,22
68,-260,11,-509,72,-544,37,-127,3,-345,12,-200,10,-539,42,-535,31,-533,48,-539,42,-492,89,-542,24,-498,26,-209,7,-382,29,-284,14,-123,3,-137,4,-485,22
69,-260,11,-509,72,-544,37,-127,3,-345,12,-200,10,-539,42,-541,32,-533,48,-539,42,-492,89,-544,24,-498,26,-209,7,-406,29,-284,14,-123,3,-139,4,-545,22
70,-260,11,-509,72,-544,37,-128,3,-345,12,-200,10,-539,42,-549,32,-533,48,-539,42,-492,89,-544,24,-498,26,-209,7,-472,29,-286,14,-141,3,-139,4,-545,22
71,-260,11,-509,72,-544,37,-152,3,-345,12,-200,10,-539,42,-549,32,-533,48,-539,42,-492,89,-549,24,-529,27,-209,7,-501,29,-286,14,-142,3,-139,4,-549,22
72,-260,11,-509,72,-544,37,-152,3,-362,12,-200,10,-539,42,-549,32,-533,48,-539,42,-492,89,-550,24,-529,27,-209,7,-507,29,-332,14,-164,3,-139,4,-552,22
73,-268,11,-509,72,-544,37,-160,3,-362,12,-200,10,-539,42,-549,32,-533,48,-539,42,-492,89,-551,24,-535,27,-210,7,-529,29,-332,14,-164,3,-186,4,-554,22
74,-363,11,-509,72,-544,37,-160,3,-362,12,-200,10,-539,42,-549,32,-533,48,-539,42,-492,89,-551,24,-535,27,-210,7,-529,29,-332,14,-164,3,-186,4,-554,22
75,-363,11,-509,72,-544,37,-161,3,-411,13,-208,10,-539,42,-549,32,-533,48,-539,42,-492,89,-551,25,-535,27,-225,7,-544,29,-332,14,-167,3,-186,4,-556,22
76,-363,11,-509,72,-544,37,-161,3,-411,13,-208,10,-539,42,-549,32,-533,48,-539,42,-492,89,-553,25,-539,27,-225,7,-547,29,-418,14,-167,3,-186,4,-556,22
77,-384,11,-509,72,-544,37,-171,3,-412,13,-208,10,-539,42,-549,32,-533,48,-539,42,-492,89,-554,25,-539,27,-276,7,-548,29,-418,14,-175,3,-186,4,-558,22
78,-384,11,-509,72,-544,37,-223,3,-423,13,-231,10,-539,42,-549,32,-533,48,-539,42,-492,89,-554,25,-541,27,-276,7,-548,29,-418,14,-180,3,-188,4,-558,22
79,-384,11,-509,72,-544,37,-223,3,-431,13,-231,10,-539,42,-549,32,-533,48,-539,42,-492,89,-555,25,-541,27,-278,7,-548,29,-437,14,-234,3,-199,4,-558,22
80,-387,11,-509,72,-544,37,-248,3,-453,14,-251,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-543,27,-296,7,-549,29,-437,14,-235,3,-199,4,-558,22
81,-387,11,-509,72,-544,37,-248,3,-507,16,-290,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-543,27,-296,7,-549,29,-437,14,-235,3,-199,4,-558,22
82,-419,11,-509,72,-544,37,-248,3,-546,16,-290,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-543,27,-296,7,-549,29,-437,14,-259,3,-199,4,-558,22
83,-449,11,-509,72,-544,37,-248,3,-558,16,-318,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-546,27,-318,7,-549,29,-437,14,-259,3,-199,4,-558,22
84,-529,11,-509,72,-544,37,-248,3,-558,16,-318,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-547,28,-318,7,-549,29,-438,14,-259,3,-210,5,-558,22
85,-529,11,-509,72,-544,37,-248,3,-558,16,-349,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-548,28,-318,7,-549,29,-438,14,-259,3,-273,5,-558,22
86,-529,11,-509,72,-544,37,-248,3,-558,16,-359,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-318,7,-549,29,-438,14,-259,3,-353,5,-558,22
87,-529,11,-509,72,-544,37,-255,3,-558,16,-387,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-318,7,-549,29,-486,14,-259,3,-365,5,-558,22
88,-529,11,-509,72,-544,37,-281,3,-559,16,-387,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-320,7,-549,29,-486,14,-277,3,-412,5,-559,22
89,-530,11,-509,72,-544,37,-349,3,-559,16,-401,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-320,7,-552,29,-494,14,-278,3,-412,5,-559,22
90,-532,11,-509,72,-544,37,-349,3,-559,16,-422,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-392,7,-552,29,-494,14,-278,3,-412,5,-559,22
91,-533,11,-509,72,-544,37,-397,5,-559,16,-422,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-392,7,-552,29,-494,14,-294,3,-440,5,-559,22
92,-533,11,-509,72,-544,37,-433,5,-559,16,-422,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-451,7,-552,29,-494,14,-294,3,-440,5,-559,22
93,-533,11,-509,72,-544,37,-478,6,-560,16,-435,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-451,7,-552,29,-525,14,-297,3,-441,5,-559,22
94,-541,11,-509,72,-544,37,-514,7,-560,16,-435,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-451,7,-552,29,-534,14,-309,3,-470,5,-559,22
95,-541,11,-509,72,-544,37,-545,7,-560,16,-435,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-451,7,-552,29,-534,14,-373,3,-470,5,-559,22
96,-543,11,-509,72,-544,37,-562,7,-562,16,-493,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-451,7,-552,29,-534,14,-377,3,-482,5,-559,22
97,-552,11,-509,72,-544,37,-563,7,-562,16,-537,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-451,7,-552,29,-548,14,-395,3,-491,5,-559,22
98,-552,11,-509,72,-544,37,-563,7,-562,16,-553,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-510,7,-552,29,-548,14,-415,3,-491,5,-559,22
99,-554,11,-509,72,-544,37,-563,7,-563,16,-561,11,-539,42,-549,32,-533,48,-539,42,-492,89,-556,25,-553,28,-510,7,-552,29,-556,14,-458,3,-524,5,-559,22
