,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16
35,-527,69,-530,66,-95,11,-551,45,-433,147,-97,13,-96,13,-88,8,-538,58,-101,16,-95,15,-127,19,-63,2,-67,7,-75,4,-92,11,-66,3
36,-527,69,-530,66,-96,11,-551,45,-433,163,-97,13,-96,13,-88,8,-538,58,-114,16,-114,15,-161,19,-63,3,-67,7,-75,4,-93,11,-66,3
37,-527,69,-530,66,-96,11,-551,45,-433,163,-97,13,-96,13,-88,8,-538,58,-115,16,-114,15,-231,19,-63,8,-67,7,-75,4,-99,13,-67,3
38,-527,69,-530,66,-96,11,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-115,16,-115,15,-266,19,-64,10,-67,7,-75,4,-133,13,-67,3
39,-527,69,-530,66,-96,11,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-116,16,-115,15,-297,19,-64,10,-96,7,-75,4,-133,13,-91,3
40,-527,69,-530,66,-96,11,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-120,16,-125,15,-312,19,-90,11,-96,7,-102,6,-133,13,-91,3
41,-527,69,-530,66,-96,52,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-326,23,-91,11,-96,7,-104,6,-133,13,-91,3
42,-527,69,-530,66,-180,53,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-326,23,-91,11,-96,7,-104,6,-133,13,-91,3
43,-527,69,-530,66,-265,53,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-326,23,-91,11,-96,7,-104,6,-133,13,-91,3
44,-527,69,-530,66,-348,55,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-326,23,-91,11,-96,7,-104,6,-133,13,-91,3
45,-527,69,-530,66,-433,55,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-326,23,-91,11,-96,7,-104,6,-133,13,-91,3
46,-527,69,-530,66,-518,55,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-326,23,-91,11,-96,7,-104,6,-133,13,-91,3
47,-527,69,-530,66,-541,55,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-130,15,-388,23,-91,11,-96,7,-104,6,-133,13,-91,3
48,-527,69,-530,66,-541,55,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-138,16,-132,15,-471,23,-91,11,-96,7,-104,6,-133,13,-91,3
49,-527,69,-530,66,-541,55,-551,45,-433,163,-97,13,-108,13,-88,8,-538,58,-182,16,-132,15,-511,23,-91,11,-96,7,-105,6,-133,13,-91,3
50,-527,69,-530,66,-541,55,-551,45,-433,163,-104,13,-108,13,-88,8,-538,58,-182,16,-149,15,-565,23,-91,11,-96,7,-112,6,-133,13,-91,3
51,-527,69,-530,66,-541,55,-551,45,-433,163,-104,13,-108,13,-88,8,-538,58,-216,16,-190,15,-566,27,-91,11,-96,7,-112,6,-134,13,-95,3
52,-527,69,-530,66,-541,55,-551,45,-433,163,-105,13,-108,13,-88,10,-538,58,-220,17,-254,24,-566,30,-91,11,-96,7,-113,6,-134,13,-95,3
