,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
0,-93,15,-81,79,-97,6,-103,2,-106,23,-94,7,-98,6,-96,20,-103,13,-96,5,-103,3,-98,4,-101,3,-99,2,-99,4,-92,42,-100,6,-102,8,-97,3,-91,9,-97,4
1,-107,19,-104,116,-97,9,-107,2,-123,36,-95,8,-99,6,-105,27,-126,20,-97,5,-103,3,-99,4,-104,3,-100,2,-100,5,-107,50,-100,7,-108,8,-97,3,-96,9,-100,4
2,-111,26,-125,135,-99,10,-108,2,-134,47,-97,8,-100,7,-124,41,-133,28,-99,5,-108,3,-100,4,-106,3,-101,2,-100,6,-128,65,-104,7,-123,9,-99,3,-104,9,-103,4
3,-120,30,-149,159,-100,10,-118,2,-144,55,-102,9,-106,10,-126,49,-146,39,-101,5,-110,3,-108,4,-109,3,-102,2,-107,6,-146,76,-107,8,-126,9,-100,3,-113,9,-104,5
4,-139,39,-166,180,-100,12,-120,2,-150,65,-105,9,-107,13,-138,57,-156,47,-105,5,-110,3,-109,4,-112,3,-103,2,-112,6,-167,96,-117,12,-128,9,-100,3,-115,11,-108,5
5,-148,42,-187,202,-103,13,-125,2,-156,79,-107,9,-110,13,-156,62,-163,52,-110,5,-113,3,-112,4,-120,3,-103,2,-114,6,-191,110,-119,15,-134,9,-101,3,-123,14,-112,5
6,-163,47,-218,227,-109,13,-129,2,-161,86,-111,9,-114,13,-163,69,-183,60,-113,6,-118,3,-123,4,-123,3,-103,2,-114,6,-192,116,-121,16,-140,10,-103,3,-136,15,-117,6
7,-178,69,-226,245,-110,13,-130,2,-169,97,-115,9,-119,14,-180,78,-190,66,-116,6,-118,3,-124,4,-126,3,-104,2,-114,6,-217,127,-126,17,-145,11,-104,3,-149,18,-121,6
8,-198,78,-253,266,-110,14,-131,2,-180,99,-117,9,-123,14,-210,88,-194,68,-120,6,-121,3,-126,4,-130,3,-104,2,-116,6,-231,143,-131,18,-148,11,-105,3,-156,20,-122,7
9,-203,85,-270,289,-111,14,-132,2,-187,110,-128,9,-123,15,-222,92,-205,72,-124,7,-122,3,-131,4,-133,4,-105,2,-117,7,-257,158,-142,22,-149,11,-105,3,-164,25,-129,7
10,-212,91,-302,323,-111,14,-133,2,-195,123,-133,9,-134,15,-232,99,-214,78,-130,7,-125,3,-132,4,-133,4,-106,2,-117,7,-270,165,-148,25,-155,11,-106,3,-172,27,-131,7
11,-229,103,-317,345,-118,14,-135,2,-217,127,-135,9,-140,15,-260,107,-218,79,-135,7,-126,3,-137,4,-138,4,-106,2,-122,7,-286,173,-151,26,-158,11,-106,3,-177,28,-133,7
12,-241,109,-329,355,-121,15,-137,2,-226,130,-137,10,-140,16,-283,117,-221,81,-139,10,-133,3,-141,4,-144,4,-108,2,-123,7,-309,185,-163,28,-170,13,-108,3,-184,32,-140,7
13,-252,114,-342,380,-125,16,-140,2,-244,140,-139,10,-142,17,-307,122,-229,83,-148,11,-137,3,-142,4,-146,4,-110,2,-125,7,-333,195,-172,31,-171,14,-109,3,-186,34,-142,7
