,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-34,28,-49,18,-43,23,-51,13,-37,33,-32,35,-50,17,-48,17,-31,30,-46,25,-39,24,-48,16,-52,20,-48,17
1,-44,30,-54,21,-49,24,-55,15,-51,38,-39,40,-59,18,-51,20,-35,34,-57,28,-47,28,-53,20,-56,25,-54,19
2,-51,34,-59,23,-56,28,-65,16,-57,43,-44,46,-67,22,-60,23,-39,38,-62,31,-51,30,-62,23,-59,30,-63,22
3,-55,38,-66,26,-59,32,-69,19,-65,46,-49,49,-70,23,-71,24,-45,44,-66,35,-61,36,-68,31,-67,32,-72,26
4,-59,42,-71,30,-63,37,-77,21,-70,50,-56,52,-80,27,-75,25,-51,47,-75,36,-70,47,-72,33,-75,32,-82,29
5,-66,45,-75,39,-74,37,-78,26,-77,56,-60,56,-87,31,-78,26,-58,53,-83,39,-78,50,-79,37,-79,35,-90,32
6,-70,46,-83,42,-86,38,-91,26,-82,61,-67,64,-94,32,-82,28,-59,59,-88,45,-82,58,-80,41,-91,36,-98,35
7,-74,51,-89,47,-94,42,-91,28,-91,65,-76,71,-103,35,-87,29,-69,63,-95,50,-85,62,-87,47,-94,37,-104,38
8,-80,57,-95,49,-105,42,-100,31,-95,69,-76,80,-105,36,-94,30,-70,72,-101,55,-92,65,-96,52,-99,42,-113,43
9,-85,63,-103,51,-111,45,-112,34,-101,72,-77,83,-115,37,-102,34,-79,78,-109,58,-100,68,-100,54,-107,45,-115,46
10,-90,67,-110,53,-120,50,-115,35,-109,79,-81,90,-125,39,-112,40,-84,86,-113,60,-105,68,-108,58,-113,45,-120,49
11,-97,69,-116,56,-128,55,-119,37,-114,83,-89,93,-128,43,-122,44,-90,97,-120,64,-109,71,-117,61,-116,46,-127,53
12,-108,73,-123,59,-130,58,-128,38,-117,93,-92,98,-138,50,-125,46,-95,104,-124,65,-114,74,-126,63,-121,53,-134,55
13,-111,76,-132,61,-137,58,-136,38,-127,96,-94,107,-145,52,-138,49,-100,107,-132,66,-122,81,-134,64,-124,56,-142,59
14,-116,81,-138,65,-145,61,-142,38,-130,101,-97,114,-152,59,-145,52,-106,114,-138,69,-127,84,-141,66,-128,59,-151,65
15,-123,87,-142,66,-155,62,-149,39,-138,105,-100,121,-157,63,-151,54,-109,122,-145,71,-137,88,-152,70,-131,64,-157,66
16,-132,88,-143,68,-162,67,-161,40,-143,105,-104,128,-167,64,-162,59,-111,129,-150,73,-142,95,-159,71,-137,70,-167,67
17,-138,89,-150,73,-170,69,-169,41,-151,112,-108,132,-176,66,-169,62,-115,134,-156,76,-148,98,-170,73,-147,73,-170,69
18,-143,94,-154,73,-179,71,-175,43,-157,116,-114,138,-184,69,-173,64,-117,136,-162,80,-152,107,-178,79,-160,74,-180,72
19,-148,96,-161,76,-183,74,-184,43,-161,123,-122,142,-189,74,-181,66,-121,143,-169,86,-157,112,-183,80,-164,78,-190,78
20,-160,98,-164,79,-189,77,-196,44,-168,129,-127,147,-198,74,-183,68,-128,151,-177,91,-162,115,-190,82,-166,86,-193,82
21,-163,102,-173,83,-196,81,-204,44,-175,133,-132,150,-202,76,-190,70,-135,157,-182,92,-171,121,-204,85,-172,89,-198,84
22,-169,107,-178,85,-202,83,-211,46,-176,142,-136,154,-208,78,-196,73,-141,164,-191,95,-177,130,-210,89,-176,91,-208,88
23,-172,110,-185,85,-204,88,-220,48,-185,145,-141,161,-212,81,-206,77,-145,167,-198,98,-183,133,-216,95,-183,99,-217,90
24,-172,113,-199,89,-212,89,-230,51,-189,151,-143,168,-220,83,-215,82,-148,174,-202,99,-185,138,-224,97,-193,105,-223,90
