,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
0,-98,14,-110,19,-115,59,-98,3,-99,18,-98,2,-99,2,-102,2,-99,2,-98,3,-93,7,-98,2,-100,2,-111,23,-92,11,-108,23,-102,2,-97,3,-94,12,-100,2,-99,2,-99,3,-101,5,-106,3
1,-110,15,-122,19,-164,86,-98,3,-113,25,-100,2,-103,2,-106,2,-99,2,-98,3,-94,7,-98,2,-100,2,-134,28,-101,12,-121,28,-105,2,-99,3,-105,15,-102,2,-106,2,-105,3,-107,5,-117,3
2,-120,20,-131,21,-185,103,-100,3,-144,41,-101,2,-106,2,-109,2,-99,2,-100,3,-97,9,-99,2,-100,2,-166,37,-104,13,-138,33,-106,2,-99,3,-119,21,-104,3,-110,2,-108,3,-114,6,-123,3
3,-128,22,-137,23,-215,125,-100,3,-165,51,-101,2,-109,2,-115,2,-103,2,-101,3,-115,15,-101,2,-101,2,-184,44,-109,13,-153,41,-110,2,-100,3,-127,30,-108,3,-118,2,-110,3,-119,6,-127,3
4,-146,24,-147,25,-248,146,-101,3,-175,60,-102,2,-111,2,-118,2,-103,2,-104,3,-124,21,-101,2,-101,2,-193,51,-115,13,-172,49,-111,2,-100,3,-146,43,-111,3,-120,2,-121,3,-127,6,-131,3
5,-183,26,-157,27,-273,172,-101,3,-195,69,-105,2,-113,2,-123,2,-105,2,-104,3,-132,25,-101,2,-101,2,-211,58,-122,13,-178,56,-111,2,-103,3,-160,45,-117,3,-122,2,-122,3,-134,7,-135,3
6,-201,29,-168,30,-297,194,-103,3,-218,76,-105,2,-116,2,-124,2,-109,2,-105,3,-137,30,-101,2,-103,2,-230,70,-131,15,-192,67,-113,2,-104,3,-168,49,-123,3,-123,2,-127,3,-141,7,-140,3
7,-209,32,-185,35,-312,213,-104,3,-247,87,-108,2,-116,2,-129,2,-109,2,-106,3,-144,34,-102,2,-104,2,-252,81,-135,16,-204,80,-114,2,-105,3,-188,58,-127,3,-124,2,-133,3,-145,8,-140,3
8,-221,35,-219,42,-338,232,-107,3,-267,93,-109,2,-117,2,-133,2,-109,2,-107,3,-150,37,-104,2,-104,2,-262,88,-144,16,-213,88,-119,2,-109,3,-196,67,-128,3,-127,2,-137,3,-158,9,-141,3
9,-230,38,-234,46,-356,252,-107,3,-295,99,-110,2,-122,2,-139,2,-110,2,-109,3,-167,39,-106,2,-105,2,-280,98,-151,20,-229,97,-121,2,-109,3,-203,69,-135,3,-127,2,-138,3,-174,9,-142,3
10,-241,39,-244,49,-379,275,-108,3,-310,110,-111,2,-125,2,-139,2,-113,2,-109,3,-183,42,-107,2,-106,2,-309,104,-173,22,-241,105,-122,2,-111,3,-210,71,-137,3,-130,2,-140,3,-182,9,-150,3
11,-257,41,-269,54,-408,280,-111,3,-321,113,-113,2,-130,2,-153,2,-114,2,-111,3,-199,45,-108,2,-107,2,-315,107,-190,27,-248,110,-123,2,-111,3,-225,74,-139,3,-133,2,-146,3,-201,9,-154,3
12,-272,45,-282,60,-421,288,-111,3,-332,121,-114,2,-131,2,-156,3,-115,2,-112,4,-217,48,-109,2,-107,2,-349,121,-206,32,-256,114,-125,2,-111,3,-242,79,-148,3,-134,3,-153,3,-205,10,-157,3
13,-285,47,-296,64,-460,314,-112,3,-350,129,-116,2,-135,2,-160,3,-115,2,-116,4,-224,49,-109,2,-107,2,-360,126,-225,34,-259,118,-128,2,-112,3,-253,80,-160,3,-138,4,-160,3,-211,10,-160,3
14,-291,47,-320,69,-484,320,-113,3,-388,134,-116,2,-137,2,-167,3,-118,2,-121,4,-235,54,-110,2,-109,2,-372,133,-233,35,-268,124,-129,2,-114,3,-268,83,-168,3,-142,4,-165,5,-220,10,-163,3
15,-310,50,-334,72,-512,340,-114,3,-410,139,-117,2,-137,2,-171,3,-124,2,-125,4,-253,56,-112,2,-110,2,-385,141,-242,35,-278,129,-131,2,-116,3,-292,86,-171,3,-144,4,-166,5,-223,10,-165,3
