,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-22,11,-26,10,-18,16,-24,9,-21,11,-25,11
1,-27,12,-30,11,-22,18,-28,9,-23,12,-30,12
2,-31,13,-32,12,-25,20,-35,9,-29,13,-32,13
3,-34,14,-37,13,-29,22,-39,9,-34,14,-36,13
4,-37,16,-42,13,-33,24,-44,13,-35,14,-40,13
5,-39,17,-45,15,-38,26,-49,13,-39,14,-44,15
6,-41,18,-49,17,-39,30,-50,15,-46,16,-46,17
7,-45,19,-51,17,-43,33,-55,15,-49,18,-51,18
8,-50,21,-54,18,-45,35,-57,16,-52,19,-56,21
9,-51,22,-58,20,-50,37,-63,16,-55,21,-60,21
10,-55,24,-63,23,-51,39,-64,16,-57,22,-66,24
11,-59,26,-67,24,-53,44,-67,17,-58,26,-67,26
12,-65,29,-71,25,-55,45,-69,18,-62,27,-71,27
13,-71,29,-72,25,-59,47,-72,19,-68,28,-73,31
14,-78,30,-74,26,-60,47,-77,22,-72,28,-78,32
15,-81,33,-77,31,-62,50,-82,23,-74,28,-80,33
16,-84,37,-80,32,-64,51,-87,25,-75,29,-84,36
17,-85,37,-84,35,-67,54,-92,26,-80,30,-87,37
18,-87,37,-86,39,-69,56,-96,27,-86,34,-90,37
19,-88,38,-91,39,-72,57,-100,27,-90,37,-97,38
20,-91,40,-96,40,-75,60,-102,31,-92,39,-99,39
21,-96,42,-101,44,-76,63,-105,33,-93,39,-101,41
22,-100,43,-108,48,-79,64,-109,33,-96,39,-102,43
23,-103,44,-110,50,-83,67,-112,35,-101,41,-104,44
24,-105,44,-113,52,-86,68,-116,38,-105,42,-108,47
25,-108,48,-117,53,-87,72,-118,39,-109,43,-113,47
26,-111,49,-122,55,-88,72,-121,39,-113,46,-115,53
27,-117,50,-125,57,-92,75,-124,40,-115,48,-118,53
28,-122,51,-128,57,-95,78,-127,42,-119,48,-121,56
29,-129,53,-129,57,-96,82,-130,42,-123,50,-126,57
30,-133,57,-131,58,-97,86,-134,43,-128,50,-130,57
31,-134,59,-135,59,-101,89,-137,44,-133,52,-133,58
32,-135,60,-139,61,-105,93,-139,46,-134,55,-136,61
33,-139,61,-146,62,-109,96,-142,47,-137,56,-137,62
34,-141,61,-148,62,-111,100,-149,48,-139,60,-142,63
35,-145,65,-149,62,-115,100,-154,49,-144,60,-147,64
36,-146,67,-153,62,-117,105,-156,50,-151,60,-151,66
37,-147,68,-156,62,-118,110,-159,50,-154,61,-160,69
38,-150,70,-162,65,-118,111,-163,53,-157,62,-164,69
39,-153,71,-170,65,-121,112,-165,55,-160,65,-166,71
40,-158,71,-173,67,-125,114,-169,55,-165,66,-168,73
41,-164,73,-176,70,-126,114,-171,57,-167,68,-173,75
42,-168,75,-179,72,-131,116,-175,59,-170,69,-175,75
43,-174,77,-180,72,-133,121,-180,61,-173,71,-177,75
44,-178,79,-182,73,-133,121,-185,61,-180,72,-181,79
45,-182,81,-185,74,-134,122,-191,62,-183,73,-186,81
46,-185,83,-191,74,-135,124,-195,64,-186,74,-191,82
47,-189,88,-194,76,-137,127,-198,66,-187,75,-194,83
48,-192,89,-198,77,-137,128,-202,67,-195,78,-196,85
49,-197,90,-202,80,-138,129,-205,68,-199,79,-201,86
50,-200,91,-207,80,-142,132,-211,70,-200,79,-203,89
51,-202,92,-208,82,-149,132,-213,73,-203,82,-207,91
52,-204,93,-209,82,-153,133,-218,75,-209,83,-212,93
53,-207,95,-212,83,-157,134,-225,76,-212,84,-216,93
54,-210,96,-213,83,-162,139,-228,77,-215,85,-220,96
55,-212,98,-218,84,-164,142,-230,80,-218,88,-222,98
56,-217,101,-223,88,-165,144,-236,82,-219,88,-223,98
57,-219,102,-228,90,-169,146,-238,85,-224,88,-224,101
58,-224,104,-232,90,-170,149,-243,86,-226,90,-227,103
59,-230,104,-237,91,-174,154,-245,87,-229,91,-229,103
60,-235,105,-239,92,-177,157,-248,87,-233,93,-232,106
61,-235,106,-244,93,-179,159,-254,88,-237,94,-236,109
62,-238,107,-250,97,-182,160,-255,89,-240,96,-239,111
63,-242,107,-251,98,-185,161,-258,91,-246,97,-245,113
64,-243,111,-254,99,-192,161,-261,95,-249,97,-248,114
65,-249,111,-258,101,-196,165,-265,95,-253,98,-249,114
66,-254,112,-262,103,-200,167,-268,95,-255,100,-252,116
67,-257,112,-265,104,-201,169,-274,96,-259,103,-256,118
68,-259,117,-267,106,-206,169,-279,97,-262,105,-259,118
69,-262,118,-270,108,-208,172,-284,99,-263,108,-262,120
70,-266,121,-273,108,-214,172,-289,101,-267,108,-265,120
71,-270,122,-276,110,-220,174,-293,102,-269,109,-267,122
72,-273,122,-281,112,-223,178,-295,103,-272,111,-270,124
73,-281,123,-287,113,-226,179,-297,103,-275,112,-270,128
74,-285,124,-290,114,-228,182,-302,104,-278,113,-274,130
75,-288,125,-293,116,-231,183,-304,104,-286,114,-278,132
76,-292,125,-297,119,-232,186,-307,105,-288,117,-283,133
77,-297,125,-302,122,-234,187,-310,105,-290,117,-289,136
78,-302,128,-303,122,-237,189,-316,107,-292,118,-293,137
79,-305,129,-306,123,-240,190,-321,107,-298,118,-298,139
