,hamming_loss,f_beta,coverage,ranking_loss,average_precision,macro_averaging,micro_averaging,one_error
0,0.08190476190476191,0.2724066390041494,4.7,5.33,0.08607386234180493,0.028659611992945328,0.2742616033755274,0.16
1,0.08476190476190476,0.3095854776831665,4.865,5.32,0.08460646649736925,0.0286488579171506,0.29365079365079366,0.16
2,0.08452380952380953,0.27440965255042776,5.245,5.73,0.08954760543798929,0.0366750208855472,0.27104722792607805,0.16
3,0.08333333333333333,0.2701434228834422,5.115,5.58,0.09015713887894339,0.037104072398190045,0.2708333333333333,0.16
4,0.08333333333333333,0.26670717153086687,4.685,5.065,0.09014467171513012,0.036921069797782126,0.2677824267782427,0.16
5,0.08119047619047619,0.2489245305027412,4.705,5.065,0.09691298476799966,0.04758745952775804,0.2603036876355748,0.16
6,0.08166666666666667,0.27352816378487327,4.85,5.22,0.09668615984405457,0.048455764734834504,0.2778947368421053,0.16
7,0.08023809523809523,0.24491639985770192,4.32,4.59,0.09752910052910052,0.04794464794464794,0.2593406593406593,0.16
8,0.07904761904761905,0.2334433785972344,4.13,4.36,0.09838075213001292,0.048056130664826315,0.25225225225225223,0.16
9,0.07928571428571428,0.24491639985770192,4.06,4.275,0.09820767195767195,0.04852766004598465,0.2616407982261641,0.16
10,0.07833333333333334,0.23662790697674424,3.9000000000000004,4.115,0.09953337019078223,0.05034740391883249,0.25733634311512416,0.16
11,0.07833333333333334,0.21576923076923077,3.795,3.98,0.09955981561468683,0.04898070339246809,0.23665893271461716,0.16
12,0.07809523809523809,0.19004854368932042,3.9000000000000004,4.12,0.10041628360713044,0.04902361432973677,0.21531100478468898,0.16
13,0.07833333333333334,0.19205976520811097,3.8449999999999998,4.0,0.0990582358674464,0.04586203454127982,0.21479713603818615,0.16
14,0.07761904761904762,0.1984963954685891,4.025,4.235,0.10027660759463669,0.048445143256464,0.2238095238095238,0.16
15,0.07714285714285714,0.20961463414634146,3.705,3.835,0.10236856006172915,0.05376595082477435,0.23584905660377356,0.16
16,0.07595238095238095,0.22621951219512196,3.535,3.685,0.10402610916692245,0.05689413467191245,0.2529274004683841,0.16
17,0.07714285714285714,0.20613207547169812,3.835,3.985,0.1023884051567622,0.05349470308517218,0.23222748815165878,0.16
18,0.0769047619047619,0.20157868020304567,3.37,3.48,0.10320975636992868,0.05461892604749747,0.2291169451073986,0.16
19,0.07666666666666666,0.20613207547169812,3.365,3.43,0.10287074553803022,0.053827000885824414,0.23333333333333334,0.16
20,0.07642857142857143,0.21818650421743205,3.4699999999999998,3.575,0.10303321704217559,0.05478635898803966,0.24470588235294116,0.16
21,0.0769047619047619,0.2211218836565097,3.4299999999999997,3.55,0.10254275929607874,0.054703901762725285,0.2470862470862471,0.16
22,0.07642857142857143,0.22404458598726115,3.7649999999999997,3.9,0.10443867403115661,0.058532322664316926,0.2517482517482518,0.16
23,0.07595238095238095,0.24056079854809437,3.67,3.795,0.10449473629764781,0.05906444251872408,0.26666666666666666,0.16
24,0.0769047619047619,0.22349589790337285,3.465,3.625,0.09963038942091702,0.05026121002507157,0.2470862470862471,0.16
25,0.07642857142857143,0.23184907325684026,3.365,3.485,0.10555131919633597,0.06126361920195329,0.2552204176334107,0.16
26,0.07642857142857143,0.2343930131004367,3.4400000000000004,3.585,0.10813500739352602,0.06698733365400032,0.2620689655172414,0.16
27,0.07547619047619047,0.23880667236954664,3.4349999999999996,3.585,0.10845192044010381,0.066549088771311,0.26450116009280744,0.16
28,0.075,0.24836630942566645,3.4800000000000004,3.59,0.11491993036347677,0.07888916262900002,0.27586206896551724,0.16
29,0.07404761904761904,0.25153783563873067,3.4000000000000004,3.54,0.11694735910789084,0.08237393405612867,0.28175519630484985,0.16
30,0.07428571428571429,0.25313360323886636,3.615,3.68,0.11722900008217392,0.08348610859931338,0.28440366972477066,0.16
31,0.07357142857142857,0.26359193173002327,3.4850000000000003,3.58,0.11583315965952579,0.0809125027868417,0.2929061784897026,0.16
32,0.07404761904761904,0.258498023715415,3.4400000000000004,3.515,0.1153709747855762,0.08032821999396995,0.28832951945080093,0.16
33,0.07404761904761904,0.25594972067039107,3.4000000000000004,3.495,0.11593141189351427,0.08136315325696826,0.28832951945080093,0.16
34,0.07452380952380952,0.2473781998348472,3.465,3.565,0.1149431672989452,0.07948627211852743,0.2804597701149425,0.16
35,0.07333333333333333,0.26799314546839303,3.41,3.52,0.11657948730592589,0.08260306560799172,0.3,0.16
36,0.07357142857142857,0.2797988295537674,3.4400000000000004,3.54,0.12177932901546291,0.09330659210099189,0.3087248322147651,0.16
37,0.07333333333333333,0.2808643326039387,3.42,3.55,0.12251187961177587,0.09487320739738307,0.31249999999999994,0.16
38,0.07238095238095238,0.28206783369803057,3.4699999999999998,3.575,0.1277640110631477,0.10415352414514777,0.3244444444444444,0.16
39,0.07214285714285715,0.2891696364932288,3.3899999999999997,3.555,0.12797514701112575,0.10454800146270202,0.32815964523281593,0.16
40,0.07214285714285715,0.2921881606765328,3.4299999999999997,3.56,0.1289964172920913,0.10726691997109418,0.33112582781456956,0.155
41,0.0719047619047619,0.2949372384937239,3.59,3.71,0.12920604080404963,0.10765548829111905,0.33480176211453744,0.155
42,0.07214285714285715,0.29767080745341623,3.37,3.49,0.12882670409532562,0.10853687255412912,0.33698030634573306,0.155
43,0.07095238095238095,0.31482387475538165,3.33,3.435,0.13415059785276368,0.11898600240569406,0.3521739130434783,0.15
44,0.07238095238095238,0.31560546875,3.4000000000000004,3.525,0.13299284488091076,0.11716227794252469,0.3476394849785408,0.15
45,0.07214285714285715,0.32847091932457795,3.3049999999999997,3.46,0.13375949067364892,0.11892136238328552,0.35668789808917195,0.15
46,0.0719047619047619,0.3265122873345936,3.4450000000000003,3.585,0.1328194428794978,0.11664354431026958,0.351931330472103,0.15
47,0.07142857142857142,0.3305794392523365,3.3949999999999996,3.525,0.13428216119566438,0.11936755951534278,0.35622317596566516,0.145
48,0.0719047619047619,0.32577749683944374,3.41,3.525,0.13386920351410414,0.11884427327777083,0.351931330472103,0.145
49,0.07119047619047619,0.3290431519699813,3.42,3.545,0.1400086223790488,0.12763548206897962,0.3569892473118279,0.145
50,0.07119047619047619,0.3439294258373206,3.5700000000000003,3.685,0.1428484593934767,0.13445150270988504,0.36786469344608874,0.14
51,0.07071428571428572,0.3469750889679715,3.3150000000000004,3.45,0.14509268550988325,0.13837049596049486,0.36942675159235666,0.14
