,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-21,9,-24,13,-22,12,-27,9,-25,7,-29,6
1,-25,11,-26,13,-23,15,-30,9,-29,11,-34,8
2,-30,12,-29,14,-24,18,-33,11,-32,14,-38,9
3,-32,15,-32,16,-24,21,-37,13,-35,15,-42,12
4,-35,16,-34,16,-25,22,-39,15,-43,17,-49,13
5,-35,19,-38,18,-29,22,-42,16,-47,19,-54,15
6,-39,21,-39,19,-31,25,-45,17,-53,20,-58,17
7,-41,22,-43,21,-34,27,-52,17,-56,21,-61,19
8,-49,24,-47,23,-37,29,-54,17,-60,21,-62,21
9,-52,25,-50,23,-42,32,-57,21,-62,23,-65,22
10,-55,26,-52,26,-46,35,-63,23,-63,23,-68,24
11,-60,26,-55,30,-48,36,-69,23,-68,25,-68,26
12,-67,26,-61,30,-48,39,-71,25,-69,29,-72,27
13,-70,30,-64,30,-52,41,-74,27,-71,31,-75,29
14,-72,30,-65,32,-54,43,-77,28,-75,33,-83,32
15,-77,30,-72,33,-56,45,-79,28,-79,33,-88,34
16,-79,33,-73,35,-59,46,-85,28,-87,35,-89,35
17,-82,34,-74,35,-62,49,-91,30,-93,36,-93,35
18,-84,35,-77,37,-68,53,-93,30,-95,36,-99,37
19,-88,35,-83,37,-72,56,-97,31,-100,36,-102,37
20,-92,35,-89,37,-74,59,-100,33,-103,37,-105,40
21,-93,35,-93,39,-77,60,-106,33,-110,39,-108,41
22,-95,36,-98,41,-81,64,-108,34,-113,41,-111,42
23,-98,38,-102,43,-83,67,-111,35,-114,44,-115,44
24,-101,41,-107,44,-85,68,-116,37,-117,46,-117,45
25,-107,44,-109,44,-89,69,-121,38,-120,48,-117,48
26,-109,44,-111,44,-92,71,-126,40,-125,51,-120,51
27,-114,45,-116,47,-93,72,-130,41,-129,53,-122,52
28,-120,45,-119,47,-94,75,-136,41,-133,53,-125,56
29,-121,50,-121,49,-97,76,-139,42,-136,57,-129,57
30,-124,51,-125,51,-99,77,-144,43,-142,59,-131,58
31,-127,52,-129,51,-102,79,-146,45,-146,62,-136,59
32,-130,52,-131,52,-103,82,-154,46,-149,65,-138,62
33,-132,53,-140,55,-109,85,-156,47,-151,65,-139,62
34,-133,54,-144,56,-115,87,-159,49,-156,66,-143,62
35,-138,55,-147,57,-118,88,-162,49,-159,66,-151,64
36,-138,55,-152,59,-119,89,-166,49,-167,68,-158,64
37,-139,58,-153,60,-122,91,-172,50,-172,68,-163,66
38,-142,60,-155,61,-126,94,-175,51,-177,70,-167,66
39,-145,63,-157,61,-130,96,-179,53,-181,70,-173,66
40,-148,67,-161,62,-131,97,-184,55,-185,71,-176,67
41,-152,68,-164,63,-136,101,-187,55,-187,73,-180,68
42,-157,70,-168,64,-142,102,-192,55,-188,73,-182,71
43,-163,70,-171,64,-147,104,-196,57,-188,73,-187,74
44,-168,73,-173,64,-150,110,-198,58,-190,73,-193,74
45,-169,77,-176,64,-153,113,-203,60,-194,74,-197,74
46,-170,79,-179,68,-155,118,-207,61,-195,75,-202,75
47,-172,79,-181,70,-159,120,-214,62,-199,76,-207,75
48,-175,80,-184,76,-161,121,-218,63,-205,76,-209,76
49,-181,80,-189,78,-163,124,-222,65,-209,76,-210,77
50,-187,81,-192,79,-167,127,-223,67,-212,79,-212,78
51,-191,82,-196,81,-171,129,-230,68,-215,79,-214,78
52,-197,85,-200,82,-173,132,-232,69,-217,80,-217,80
53,-203,85,-205,82,-178,135,-232,71,-220,81,-221,81
54,-208,87,-207,83,-182,136,-234,74,-224,84,-221,84
55,-212,87,-210,86,-184,139,-243,74,-227,85,-221,86
56,-217,88,-218,87,-187,140,-244,75,-230,86,-224,88
57,-219,88,-223,89,-190,141,-247,78,-235,88,-226,90
58,-220,90,-227,90,-192,145,-249,79,-240,89,-230,93
59,-228,91,-230,91,-196,148,-252,79,-245,89,-231,94
60,-232,92,-231,92,-200,148,-258,79,-251,91,-235,95
61,-237,94,-236,92,-205,150,-260,80,-252,91,-237,100
62,-239,94,-240,93,-209,150,-263,82,-259,94,-239,102
63,-244,96,-240,96,-210,152,-268,85,-262,96,-241,104
64,-249,98,-244,97,-212,154,-270,87,-265,97,-244,107
65,-252,100,-247,99,-212,159,-276,90,-267,99,-245,108
66,-253,102,-255,101,-214,160,-280,92,-269,102,-246,110
67,-256,103,-258,102,-216,160,-286,93,-276,105,-247,112
68,-259,104,-260,102,-217,161,-293,94,-281,108,-252,113
69,-263,104,-264,104,-221,164,-296,96,-282,111,-253,116
70,-267,106,-265,106,-223,166,-297,98,-288,113,-255,120
71,-272,109,-268,106,-223,169,-302,98,-294,115,-257,121
72,-273,109,-274,109,-224,171,-306,100,-297,116,-261,124
73,-277,110,-275,112,-226,174,-311,101,-300,119,-263,126
74,-286,111,-275,114,-226,176,-313,102,-304,121,-269,127
75,-290,112,-277,117,-228,178,-316,103,-307,123,-273,130
76,-292,114,-284,119,-230,181,-319,103,-308,124,-276,134
77,-294,114,-291,119,-234,183,-323,105,-310,125,-281,135
78,-298,114,-294,122,-240,186,-327,107,-311,125,-284,136
79,-300,118,-299,122,-242,188,-333,108,-313,125,-290,136
