,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23,n24,p24
26,-783,98,-133,3,-636,245,-773,108,-197,10,-157,3,-143,2,-136,2,-146,2,-150,2,-170,12,-368,32,-219,28,-186,10,-447,60,-752,129,-224,16,-232,12,-318,38,-206,7,-338,31,-171,4,-811,70,-200,16,-255,34
27,-783,98,-133,3,-636,245,-773,108,-212,11,-157,3,-143,2,-136,2,-146,2,-150,2,-170,12,-368,32,-219,28,-186,10,-674,63,-752,129,-224,16,-232,12,-318,38,-206,7,-341,31,-172,4,-811,70,-200,16,-255,34
28,-783,98,-139,3,-636,245,-773,108,-241,11,-173,3,-153,2,-136,2,-152,2,-158,2,-189,12,-373,32,-225,28,-187,10,-718,63,-752,129,-240,16,-246,13,-340,38,-206,7,-361,31,-185,5,-811,70,-200,16,-268,34
29,-783,98,-155,4,-636,245,-773,108,-241,11,-175,3,-161,2,-162,2,-157,2,-162,2,-189,12,-381,32,-226,28,-192,10,-802,64,-752,129,-240,16,-253,13,-368,38,-206,7,-364,31,-234,6,-811,70,-200,16,-269,34
30,-783,98,-166,5,-636,245,-773,108,-241,11,-183,3,-169,2,-164,2,-175,2,-177,3,-198,12,-400,32,-254,28,-194,10,-817,64,-752,129,-245,16,-253,13,-370,38,-217,7,-378,31,-249,11,-811,70,-200,16,-330,34
31,-783,98,-181,5,-636,245,-773,108,-274,11,-189,3,-171,2,-168,2,-175,2,-200,3,-203,12,-411,32,-254,28,-215,10,-817,64,-752,129,-246,16,-253,13,-434,38,-217,7,-378,31,-309,12,-811,70,-203,16,-330,35
32,-783,98,-181,5,-636,245,-773,108,-276,11,-195,3,-176,2,-172,2,-184,2,-200,3,-208,12,-411,32,-254,28,-215,10,-817,64,-752,129,-255,16,-261,14,-470,38,-360,8,-398,31,-309,13,-811,70,-203,16,-330,35
33,-783,98,-181,5,-636,245,-773,108,-319,11,-195,3,-176,2,-174,2,-184,2,-203,3,-208,12,-411,32,-254,28,-215,10,-817,64,-752,129,-255,16,-363,14,-569,38,-361,8,-398,31,-309,13,-811,70,-203,16,-330,35
34,-783,98,-181,5,-636,245,-773,108,-319,11,-195,3,-176,2,-174,2,-184,2,-203,3,-208,12,-411,32,-254,28,-215,10,-817,64,-752,129,-255,16,-363,14,-818,38,-361,9,-398,31,-309,13,-811,70,-203,16,-330,35
35,-783,98,-205,5,-636,245,-773,108,-319,11,-215,4,-198,2,-188,2,-197,3,-224,3,-217,12,-431,32,-270,28,-218,10,-817,64,-752,129,-275,17,-363,14,-843,38,-365,10,-416,31,-309,13,-811,70,-212,16,-338,35
36,-783,98,-224,5,-636,245,-773,108,-321,11,-246,8,-199,2,-205,2,-253,4,-229,3,-245,12,-475,32,-275,28,-233,10,-817,64,-752,129,-278,17,-363,14,-843,38,-367,10,-418,31,-309,13,-811,70,-227,16,-338,35
37,-783,98,-224,5,-636,245,-773,108,-321,11,-294,8,-211,2,-216,2,-259,6,-235,3,-249,12,-542,32,-292,28,-253,10,-817,64,-752,129,-279,17,-363,14,-843,38,-367,10,-433,31,-330,13,-811,70,-227,16,-358,35
38,-783,98,-224,5,-636,245,-773,108,-341,12,-294,8,-217,2,-219,2,-272,6,-247,3,-277,12,-561,32,-295,28,-266,10,-817,64,-752,129,-297,17,-363,14,-843,38,-367,10,-456,31,-330,13,-811,70,-229,16,-447,35
39,-783,98,-245,5,-636,245,-773,108,-348,12,-310,8,-218,2,-223,3,-280,6,-248,3,-277,12,-617,32,-308,28,-266,10,-817,64,-752,129,-298,17,-363,14,-843,38,-367,10,-457,31,-425,13,-811,70,-254,16,-447,35
40,-783,98,-245,5,-636,245,-773,108,-348,12,-310,8,-234,2,-271,6,-307,6,-259,4,-288,12,-681,32,-308,28,-279,10,-817,64,-752,129,-301,17,-363,14,-843,38,-368,10,-505,31,-425,13,-811,70,-254,16,-451,35
41,-783,98,-259,5,-636,245,-773,108,-354,12,-310,8,-236,2,-338,6,-307,6,-299,4,-305,12,-759,32,-320,28,-279,10,-817,64,-752,129,-306,17,-363,14,-843,38,-372,10,-507,31,-425,13,-811,70,-256,16,-452,35
