STM,STM_stable,STM_stable_validation,STM_validation
5.5205,5.4695,5.506,5.543000000000001
5.4045000000000005,5.484999999999999,5.225,5.4565
5.478500000000001,5.4375,5.1125,5.386
5.318,5.335500000000001,5.053,5.357
5.214,5.376499999999999,4.9795,5.321
5.1305000000000005,5.2589999999999995,4.881500000000001,5.287000000000001
5.07,5.2335,4.843500000000001,5.2145
5.1185,5.259000000000001,4.8195,5.1815
5.1899999999999995,5.159000000000001,4.8134999999999994,5.1995000000000005
5.1105,5.141499999999999,4.747,5.200000000000001
4.9595,5.128,4.726000000000001,4.9705
4.888,5.125000000000001,4.662999999999999,4.9845
4.8865,5.187500000000001,4.651,4.9825
4.788500000000001,5.009,4.637,4.9135
4.784999999999999,5.017,4.66,4.978
4.7379999999999995,4.933,4.555999999999999,4.891500000000001
4.803999999999999,4.969,4.5920000000000005,4.9415000000000004
4.656999999999999,4.963,4.611000000000001,4.8774999999999995
4.712999999999999,4.8575,4.558999999999999,4.836
4.7355,4.836499999999999,4.552,4.848999999999999
4.6485,4.878500000000001,4.529,4.795
4.567500000000001,4.9030000000000005,4.4879999999999995,4.833
4.483,4.746499999999999,4.4715,4.7625
4.5515,4.866,4.490499999999999,4.8
4.4815000000000005,4.8115000000000006,4.3774999999999995,4.7695
4.4415,4.793,4.3725000000000005,4.8035
4.548500000000001,4.812,4.4155,4.7325
4.484,4.702,4.379,4.7085
4.5125,4.684,4.348,4.757499999999999
4.471500000000001,4.6899999999999995,4.304499999999999,4.6705
4.407500000000001,4.656000000000001,4.362,4.7524999999999995
4.4375,4.6065000000000005,4.3294999999999995,4.649499999999999
4.364,4.579999999999999,4.2625,4.653499999999999
4.303,4.5895,4.4155,4.708
4.2940000000000005,4.602500000000001,4.276999999999999,4.64
4.306,4.561,4.297499999999999,4.659000000000001
4.312500000000001,4.585,4.3115000000000006,4.658499999999999
4.3085,4.4995,4.248,4.6979999999999995
4.220000000000001,4.494000000000001,4.2524999999999995,4.625500000000001
4.282,4.472499999999999,4.2245,4.593500000000001
4.319000000000001,4.4735,4.276999999999999,4.563
4.301,4.435,4.233,4.6175
4.249999999999999,4.476,4.276999999999999,4.547
4.281,4.4375,4.153499999999999,4.618499999999999
4.237,4.448500000000001,4.26,4.611
4.2985,4.4045,4.221500000000001,4.545
4.2620000000000005,4.406000000000001,4.1765,4.468500000000001
4.3105,4.4079999999999995,4.1339999999999995,4.4795
4.219,4.3855,4.1884999999999994,4.529
4.2509999999999994,4.399,4.127,4.492999999999999
4.190499999999999,4.3395,4.202,4.5295000000000005
4.228,4.345,4.1455,4.5085
4.205,4.376999999999999,4.08,4.5695
4.2145,4.3465,4.033,4.43
4.1375,4.367,4.0825000000000005,4.4145
4.1645,4.332000000000001,4.113,4.458499999999999
4.162999999999999,4.281000000000001,4.029999999999999,4.433999999999999
4.204500000000001,4.3025,4.1015,4.415500000000001
4.1665,4.2705,4.0135000000000005,4.401000000000001
4.1795,4.3035,4.0225,4.4005
4.199,4.291500000000001,3.9885000000000006,4.39
4.2090000000000005,4.212,3.997,4.389
4.166,4.2495,3.9915,4.435
4.1155,4.214499999999999,4.012499999999999,4.346
4.167,4.1899999999999995,3.968,4.348000000000001
4.1105,4.2780000000000005,3.9155000000000006,4.288500000000001
4.180000000000001,4.216500000000001,3.9440000000000004,4.2844999999999995
4.116,4.1455,3.9595000000000007,4.196
4.078,4.1265,3.9265,4.2924999999999995
4.105500000000001,4.180000000000001,3.9564999999999997,4.2345
4.1080000000000005,4.199999999999999,3.9025,4.214
4.115,4.133,3.9324999999999997,4.212000000000001
4.1015,4.175,3.9854999999999996,4.195500000000001
4.0915,4.1775,3.911,4.193499999999999
4.105,4.147,3.9059999999999997,4.2165
4.0985,4.128,3.8910000000000005,4.2095
4.1465000000000005,4.0415,3.8785,4.155500000000001
4.0625,4.1195,3.853,4.1925
4.093999999999999,4.1235,3.8195,4.2285
4.0409999999999995,4.0745,3.8230000000000004,4.2829999999999995
4.074,4.148499999999999,3.8255000000000003,4.1275
