STM,STM_stable,STM_stable_validation,STM_validation
4.5445,4.5649999999999995,4.5645,4.6335
4.502,4.586,4.394,4.523999999999999
4.576,4.516,4.325500000000001,4.5465
4.45,4.452,4.289499999999999,4.5075
4.398999999999999,4.516500000000001,4.236,4.486
4.2905,4.464,4.164500000000001,4.4445
4.307,4.4295,4.103000000000001,4.4215
4.329000000000001,4.4415000000000004,4.1065,4.354000000000001
4.408,4.368499999999999,4.0954999999999995,4.3915
4.3115000000000006,4.3534999999999995,4.0625,4.4319999999999995
4.177,4.38,4.0375,4.237
4.1775,4.391500000000001,3.9715,4.2415
4.211,4.4145,3.9859999999999998,4.1825
4.119,4.3035000000000005,3.973,4.1755
4.135,4.288,4.0055,4.226000000000001
4.0595,4.2509999999999994,3.9004999999999996,4.1425
4.1525,4.257999999999999,3.9605000000000006,4.174
4.0425,4.24,3.9799999999999995,4.1659999999999995
4.054499999999999,4.1975,3.9189999999999996,4.0969999999999995
4.086499999999999,4.1365,3.905,4.073499999999999
4.004500000000001,4.182500000000001,3.8885000000000005,4.060999999999999
3.979,4.193,3.87,4.098000000000001
3.905500000000001,4.095999999999999,3.8145000000000002,4.007
3.9560000000000004,4.205,3.846,4.0745
3.8619999999999997,4.1365,3.7689999999999997,4.037000000000001
3.874,4.150499999999999,3.7550000000000003,4.038500000000001
3.911,4.129,3.8085,4.0335
3.873499999999999,4.050999999999999,3.7650000000000006,4.029
3.8754999999999997,4.013999999999999,3.7335000000000003,4.0305
3.8624999999999994,4.047,3.7120000000000006,3.978
3.8160000000000003,4.0295000000000005,3.739,4.0435
3.8165,3.9909999999999997,3.7375,3.9569999999999994
3.780000000000001,3.9624999999999995,3.6784999999999997,3.9464999999999995
3.7285000000000004,3.969500000000001,3.7555,4.0175
3.714,3.9539999999999997,3.6940000000000004,3.9514999999999993
3.724,3.9230000000000005,3.696,3.9755000000000003
3.7415,3.9395,3.714,3.967
3.7239999999999993,3.8899999999999997,3.6480000000000006,4.0045
3.6754999999999995,3.8660000000000005,3.6644999999999994,3.961500000000001
3.7144999999999997,3.8319999999999994,3.6355000000000004,3.9385
3.7275000000000005,3.8409999999999997,3.6769999999999996,3.912
3.7485,3.8085,3.6574999999999998,3.9270000000000005
3.6925000000000012,3.8309999999999995,3.6805,3.8625000000000007
3.7085,3.8259999999999996,3.5935,3.938
3.6919999999999993,3.8165,3.6650000000000005,3.9465000000000003
3.6830000000000007,3.7755,3.6359999999999992,3.857
3.6845000000000008,3.7795,3.6045000000000007,3.8475
3.707,3.7925000000000004,3.5925,3.8564999999999996
3.6670000000000003,3.778,3.6165,3.8674999999999997
3.688,3.8019999999999996,3.5790000000000006,3.847
3.6340000000000003,3.7424999999999997,3.617,3.843000000000001
3.6424999999999996,3.7535000000000003,3.5799999999999996,3.8594999999999997
3.6325000000000003,3.7934999999999994,3.4965,3.9284999999999997
3.6454999999999997,3.7495,3.4894999999999996,3.809
3.617,3.7735000000000007,3.528,3.8015
3.6185,3.7270000000000003,3.5255,3.8365
3.6125,3.6819999999999995,3.5055,3.7990000000000004
3.6265,3.6830000000000007,3.5204999999999997,3.8034999999999997
3.614,3.6774999999999998,3.463,3.782
3.6084999999999994,3.6915,3.466500000000001,3.8120000000000003
3.623500000000001,3.6985,3.4490000000000003,3.8025000000000007
3.647,3.6155,3.4385000000000003,3.785000000000001
3.6025,3.6814999999999998,3.4445,3.7920000000000003
3.557,3.643,3.4675000000000002,3.7545
3.607,3.6124999999999994,3.4265,3.729
3.5854999999999997,3.682,3.4034999999999997,3.697
3.5955000000000004,3.6435000000000004,3.4144999999999994,3.7225
3.575999999999999,3.5915,3.457,3.6485
3.5385000000000004,3.5585,3.3880000000000003,3.6990000000000003
3.5620000000000003,3.6095000000000006,3.4274999999999998,3.664
3.5614999999999997,3.6305,3.4,3.6424999999999996
3.5955000000000004,3.5735,3.3954999999999997,3.6459999999999995
3.5555,3.5980000000000003,3.432,3.6270000000000002
3.5285,3.6159999999999997,3.404,3.6245
3.564,3.599,3.3965000000000005,3.6275
3.5230000000000006,3.5814999999999997,3.3579999999999997,3.6350000000000007
3.5875,3.5035000000000003,3.374,3.5690000000000004
3.5215000000000005,3.5565000000000007,3.3190000000000004,3.621000000000001
3.5255,3.5740000000000003,3.2999999999999994,3.6295
3.499,3.5385000000000004,3.3095,3.686
3.5464999999999995,3.5829999999999997,3.311,3.5365
