,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
0,-105,30,-81,94,-100,6,-99,2,-98,17,-91,13,-93,7,-89,21,-90,11,-95,6,-101,2,-99,3,-99,2,-100,2,-106,6,-82,42,-96,10,-103,6,-98,3,-91,10,-96,5
1,-125,47,-101,110,-102,6,-100,2,-108,26,-97,14,-95,7,-95,26,-95,11,-114,11,-101,3,-102,3,-101,2,-101,2,-108,6,-108,55,-102,10,-105,6,-101,3,-93,15,-96,5
2,-141,56,-115,127,-102,6,-100,2,-110,41,-105,14,-105,7,-102,33,-108,12,-128,14,-117,3,-106,3,-101,2,-101,2,-119,8,-115,61,-111,13,-108,6,-103,3,-100,19,-96,5
3,-150,66,-135,148,-103,8,-100,2,-122,57,-112,21,-107,8,-116,45,-113,15,-138,16,-121,3,-112,3,-101,2,-101,2,-121,8,-124,70,-113,14,-116,7,-103,3,-104,28,-97,5
4,-160,71,-152,165,-103,9,-100,2,-131,66,-132,27,-109,8,-126,52,-122,20,-143,18,-125,3,-115,3,-101,2,-102,2,-124,8,-135,80,-121,19,-126,8,-104,4,-115,35,-97,5
5,-172,82,-166,170,-103,9,-101,2,-142,78,-149,29,-113,9,-133,59,-135,24,-155,22,-127,3,-117,3,-102,2,-103,2,-130,8,-144,96,-124,24,-130,8,-109,4,-131,37,-98,5
6,-188,92,-190,194,-107,11,-104,2,-149,84,-166,33,-118,10,-143,65,-149,30,-161,24,-129,3,-118,3,-103,3,-103,2,-130,8,-152,101,-136,28,-130,8,-109,4,-134,39,-102,5
7,-199,98,-216,225,-109,14,-105,2,-163,92,-171,33,-120,11,-155,77,-155,36,-164,25,-133,3,-120,3,-104,3,-103,2,-134,8,-157,114,-142,29,-132,8,-111,5,-146,41,-107,5
8,-205,104,-239,254,-110,14,-107,2,-166,100,-177,34,-123,13,-163,84,-160,38,-169,27,-136,3,-123,3,-106,3,-105,2,-138,8,-183,132,-147,35,-138,9,-113,6,-154,43,-109,5
9,-217,109,-253,264,-113,14,-109,2,-181,111,-183,35,-123,14,-180,91,-175,44,-170,27,-137,3,-127,4,-108,4,-109,2,-141,8,-193,148,-155,38,-143,11,-117,7,-167,49,-109,5
10,-224,114,-266,279,-116,16,-109,2,-193,123,-187,35,-130,15,-187,99,-181,50,-178,28,-140,3,-132,4,-113,4,-111,2,-148,8,-215,166,-160,40,-152,11,-127,8,-168,50,-111,5
11,-230,120,-286,296,-118,16,-110,2,-200,125,-199,37,-134,15,-208,103,-191,53,-187,30,-141,3,-141,4,-115,4,-111,2,-152,8,-244,173,-168,43,-161,11,-128,8,-174,53,-111,5
12,-248,125,-296,311,-123,16,-112,2,-207,132,-211,39,-138,15,-215,104,-198,57,-200,31,-142,3,-153,4,-119,4,-112,2,-158,8,-265,193,-174,43,-165,12,-131,9,-181,53,-114,5
13,-262,132,-307,332,-126,16,-112,2,-213,140,-215,40,-143,16,-230,109,-206,62,-202,32,-144,3,-162,4,-121,4,-113,2,-160,8,-295,207,-180,46,-171,12,-136,9,-188,56,-117,5
14,-280,140,-325,353,-128,18,-112,2,-222,143,-220,40,-144,17,-250,116,-218,66,-207,32,-150,3,-167,4,-125,4,-114,2,-162,8,-319,217,-188,51,-173,12,-136,9,-194,56,-118,5
