,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
33,-528,68,-527,69,-95,11,-551,20,-434,162,-90,10,-89,16,-151,6,-63,2,-538,58,-88,11,-90,9,-109,13,-66,9,-69,7,-62,11,-116,16,-62,4
34,-528,68,-527,69,-95,11,-551,45,-434,162,-90,10,-93,16,-151,6,-63,2,-538,58,-95,11,-99,9,-124,13,-66,9,-69,7,-62,11,-143,16,-65,4
35,-528,68,-527,69,-95,11,-551,45,-434,162,-92,10,-93,16,-151,6,-69,3,-538,58,-95,11,-99,9,-124,13,-66,9,-69,7,-62,11,-224,16,-65,4
36,-528,68,-527,69,-95,11,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-95,11,-99,9,-124,13,-66,9,-69,7,-62,11,-294,16,-65,4
37,-528,68,-527,69,-95,11,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-95,11,-99,9,-124,13,-93,9,-69,7,-62,11,-356,17,-65,4
38,-528,68,-527,69,-95,34,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
39,-528,68,-527,69,-185,34,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
40,-528,68,-527,69,-273,36,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
41,-528,68,-527,69,-363,36,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
42,-528,68,-527,69,-453,36,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
43,-528,68,-527,69,-540,39,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-124,13,-93,9,-69,7,-62,11,-411,18,-65,4
44,-528,68,-527,69,-540,56,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-147,13,-93,9,-69,7,-62,11,-461,18,-65,4
45,-528,68,-527,69,-540,56,-551,45,-434,162,-92,10,-93,16,-151,6,-89,3,-538,58,-106,11,-99,9,-147,13,-93,9,-69,7,-62,11,-551,18,-65,4
46,-528,68,-527,69,-540,56,-551,45,-434,162,-92,10,-99,16,-151,6,-89,3,-538,58,-106,11,-103,9,-218,13,-93,9,-69,7,-62,11,-559,19,-65,4
47,-528,68,-527,69,-540,56,-551,45,-434,162,-92,12,-109,16,-151,6,-89,3,-538,58,-114,11,-114,9,-258,14,-93,9,-69,7,-62,11,-559,37,-65,4
48,-528,68,-527,69,-540,56,-551,45,-434,162,-93,12,-110,16,-151,6,-89,3,-538,58,-114,11,-114,9,-346,14,-93,9,-69,7,-62,11,-559,37,-65,4
49,-528,68,-527,69,-540,56,-551,45,-434,162,-96,12,-112,16,-151,6,-91,3,-538,58,-115,11,-119,9,-414,16,-93,9,-69,7,-62,11,-559,37,-72,4
50,-528,68,-527,69,-540,56,-551,45,-434,162,-96,12,-112,16,-151,6,-91,3,-538,58,-124,11,-122,9,-492,16,-93,9,-69,7,-62,11,-559,37,-72,4
