,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
0,-94,14,-91,13,-101,42,-99,3,-112,31,-98,3,-98,2,-98,2,-99,2,-99,3,-95,8,-97,3,-117,6,-107,21,-92,13,-117,35,-99,2,-98,3,-97,16,-103,2,-98,2,-98,3,-96,5,-101,2
1,-104,14,-98,13,-121,64,-104,4,-136,43,-115,3,-101,2,-98,2,-101,2,-102,3,-100,8,-99,3,-122,6,-119,28,-97,13,-147,46,-100,2,-98,3,-115,19,-105,2,-99,2,-101,3,-100,5,-106,2
2,-109,14,-105,16,-163,90,-106,4,-152,52,-117,3,-102,2,-98,2,-104,2,-111,4,-104,8,-99,3,-130,6,-135,35,-105,13,-180,58,-102,2,-98,3,-124,21,-109,2,-102,2,-102,3,-104,5,-107,2
3,-115,14,-126,19,-193,111,-110,4,-200,63,-128,3,-104,2,-98,2,-106,2,-115,4,-105,8,-99,3,-130,6,-142,41,-111,13,-197,67,-104,2,-98,3,-134,29,-118,2,-103,2,-102,3,-104,5,-108,2
4,-121,15,-136,20,-214,131,-112,4,-235,73,-129,3,-104,2,-98,2,-107,2,-121,4,-108,8,-99,3,-131,6,-157,48,-134,17,-221,80,-106,2,-100,3,-151,37,-120,2,-103,2,-104,3,-106,5,-109,2
5,-124,16,-165,29,-237,156,-113,4,-248,82,-131,3,-106,2,-98,2,-110,2,-124,4,-113,8,-100,3,-133,6,-180,57,-140,19,-251,91,-108,2,-101,3,-165,43,-120,2,-103,2,-106,3,-108,5,-110,2
6,-132,18,-183,31,-268,178,-118,4,-257,89,-134,3,-106,2,-98,2,-111,2,-132,4,-133,10,-100,3,-136,6,-199,69,-152,22,-264,97,-108,2,-103,3,-183,49,-122,2,-104,2,-108,3,-108,5,-113,2
7,-155,18,-190,37,-296,193,-119,4,-272,96,-135,4,-108,2,-98,2,-117,2,-143,4,-141,11,-100,3,-137,6,-216,76,-163,24,-290,106,-108,2,-103,3,-195,54,-130,2,-105,2,-112,4,-111,5,-114,2
8,-180,21,-202,44,-321,213,-123,4,-289,98,-138,5,-108,2,-98,2,-122,2,-150,5,-150,11,-101,3,-141,6,-235,79,-175,27,-310,113,-109,2,-103,3,-200,61,-140,2,-107,2,-114,4,-113,5,-115,2
9,-192,25,-228,52,-342,228,-132,4,-317,104,-142,5,-108,2,-98,2,-124,2,-154,5,-154,12,-102,3,-149,6,-253,83,-186,28,-327,119,-110,2,-103,3,-209,62,-150,2,-107,2,-119,4,-115,5,-117,2
10,-204,27,-238,54,-374,253,-137,6,-332,111,-144,6,-109,2,-98,2,-126,2,-160,6,-161,13,-104,3,-150,7,-264,85,-221,38,-340,126,-112,2,-103,3,-217,67,-151,2,-109,2,-122,4,-116,5,-120,2
11,-212,28,-253,55,-402,271,-139,6,-344,115,-152,8,-110,2,-99,2,-131,2,-176,6,-170,15,-104,3,-155,7,-282,88,-244,41,-363,138,-116,2,-104,3,-221,69,-154,2,-110,2,-126,4,-117,5,-120,2
12,-223,28,-259,56,-431,281,-144,6,-368,122,-162,8,-111,2,-100,2,-132,2,-183,6,-180,17,-107,3,-157,7,-287,96,-276,45,-380,145,-120,2,-104,3,-234,73,-159,2,-112,2,-130,5,-119,5,-122,2
13,-237,30,-291,62,-465,298,-147,6,-386,127,-164,8,-112,2,-101,2,-132,2,-189,7,-191,20,-110,3,-161,7,-299,107,-283,48,-390,152,-121,2,-106,3,-236,77,-164,2,-113,2,-135,6,-122,5,-125,2
14,-245,30,-320,66,-486,311,-149,6,-407,135,-171,8,-115,2,-102,2,-136,2,-195,7,-206,22,-110,3,-166,7,-312,109,-301,50,-408,161,-122,2,-106,3,-246,84,-166,2,-115,2,-139,6,-124,5,-126,2
15,-248,32,-335,68,-499,325,-155,7,-434,139,-173,8,-116,2,-102,2,-139,2,-200,7,-226,27,-110,3,-170,7,-333,118,-312,52,-441,169,-124,2,-106,3,-252,86,-170,2,-116,2,-145,7,-129,6,-127,2
16,-255,37,-352,73,-531,346,-159,7,-460,144,-175,8,-116,2,-103,2,-143,2,-210,7,-233,28,-111,3,-176,7,-342,120,-317,56,-463,176,-124,2,-108,3,-265,89,-174,2,-118,2,-146,7,-136,7,-131,2
17,-267,41,-368,79,-567,361,-167,7,-471,148,-181,8,-118,2,-104,2,-149,2,-218,7,-239,29,-111,3,-180,7,-355,124,-321,59,-493,185,-127,2,-110,3,-275,89,-177,2,-119,2,-150,7,-141,7,-134,2
18,-286,43,-403,83,-590,370,-172,7,-487,153,-183,8,-118,3,-104,2,-151,2,-221,7,-253,32,-114,3,-181,7,-371,131,-334,61,-506,190,-129,2,-111,3,-283,90,-180,2,-123,2,-155,7,-150,7,-138,2
19,-302,44,-416,85,-609,382,-177,7,-502,156,-193,8,-118,3,-104,2,-152,2,-226,9,-260,34,-115,3,-184,7,-388,137,-348,65,-533,202,-132,2,-115,3,-300,92,-183,2,-125,2,-158,7,-153,8,-143,2
20,-333,49,-431,90,-632,387,-179,7,-525,160,-197,8,-119,3,-104,2,-155,2,-231,9,-278,37,-119,3,-187,8,-406,142,-365,67,-545,205,-136,2,-117,3,-307,93,-185,2,-126,2,-159,7,-162,8,-144,2
21,-351,55,-453,94,-648,393,-183,8,-550,164,-201,8,-120,3,-106,2,-158,2,-240,9,-297,43,-120,3,-195,8,-423,145,-375,70,-560,210,-138,2,-117,3,-317,93,-187,2,-126,2,-160,7,-173,8,-146,2
