,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22,n23,p23
37,-427,55,-390,64,-336,147,-455,3,-413,68,-475,8,-521,3,-497,7,-477,2,-430,14,-429,37,-457,5,-483,3,-390,73,-454,41,-379,106,-493,3,-468,3,-435,51,-502,3,-472,3,-476,6,-459,18,-477,2
38,-436,57,-397,65,-342,154,-461,3,-422,70,-483,8,-524,3,-508,7,-491,2,-437,14,-438,38,-461,5,-494,3,-398,74,-463,41,-387,107,-504,3,-486,3,-440,52,-513,3,-489,3,-487,6,-472,18,-486,2
39,-442,57,-409,67,-347,159,-472,3,-431,70,-491,9,-531,3,-516,7,-500,2,-445,15,-448,38,-474,5,-508,3,-411,78,-471,44,-391,108,-516,3,-494,3,-450,52,-522,3,-501,3,-494,6,-484,18,-494,2
40,-451,60,-417,67,-361,160,-487,3,-442,73,-498,9,-539,3,-521,7,-506,2,-458,15,-453,38,-485,5,-520,3,-418,82,-482,44,-401,110,-523,3,-502,3,-454,54,-532,3,-514,3,-503,6,-493,18,-507,2
41,-459,62,-423,67,-369,165,-495,3,-459,75,-506,9,-551,3,-533,7,-520,2,-469,16,-461,38,-496,5,-530,3,-425,85,-493,45,-409,111,-533,3,-510,3,-461,55,-541,3,-525,3,-509,6,-500,18,-514,2
42,-465,62,-436,68,-378,169,-506,3,-467,76,-516,9,-560,3,-543,7,-531,3,-480,16,-467,38,-508,5,-547,3,-431,89,-497,46,-413,113,-542,3,-520,3,-470,55,-551,3,-536,3,-522,6,-509,18,-522,2
43,-478,64,-445,68,-384,172,-514,3,-473,76,-534,9,-568,3,-554,7,-544,3,-489,16,-476,39,-521,5,-559,3,-438,89,-506,46,-421,114,-552,3,-529,3,-476,56,-559,3,-545,3,-536,6,-520,18,-528,2
44,-484,64,-452,69,-386,177,-522,3,-485,77,-543,9,-583,3,-563,7,-552,3,-501,16,-491,40,-527,5,-562,3,-444,94,-520,46,-430,116,-562,3,-540,3,-486,59,-568,3,-555,3,-545,6,-530,19,-539,2
45,-495,65,-458,70,-393,179,-531,3,-497,77,-556,9,-591,3,-572,7,-563,3,-508,16,-501,40,-541,5,-576,3,-454,97,-531,48,-434,118,-567,3,-548,3,-497,60,-573,3,-564,3,-554,6,-540,20,-553,2
46,-505,65,-468,70,-397,181,-544,4,-506,78,-562,10,-606,3,-583,7,-574,3,-517,16,-510,41,-554,5,-590,3,-463,99,-548,48,-439,121,-581,3,-558,3,-506,62,-584,3,-569,3,-558,6,-544,20,-558,2
