,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
38,-133,4,-172,63,-307,39,-232,3,-340,7,-175,8,-308,35,-332,25,-220,48,-301,36,-378,81,-236,20,-262,24,-197,4,-335,27,-170,5,-153,3,-178,4,-187,21
39,-134,4,-175,64,-312,39,-232,3,-342,7,-181,8,-310,35,-337,26,-228,48,-305,36,-380,83,-244,20,-264,25,-204,4,-340,27,-175,5,-163,3,-183,4,-196,22
40,-142,4,-175,65,-315,39,-234,3,-351,7,-184,8,-313,35,-350,26,-234,48,-310,36,-383,83,-251,22,-268,25,-209,4,-342,27,-177,5,-172,3,-187,4,-200,22
41,-144,4,-175,66,-318,39,-235,3,-353,7,-187,8,-318,36,-352,26,-241,48,-317,36,-392,84,-258,22,-274,25,-215,4,-347,27,-181,5,-181,3,-193,4,-208,22
42,-149,4,-178,66,-322,39,-238,3,-360,7,-192,9,-321,36,-358,26,-243,48,-323,37,-394,84,-268,22,-281,25,-222,4,-356,28,-184,5,-185,3,-197,4,-210,22
43,-154,4,-178,66,-325,39,-244,3,-371,7,-198,9,-322,37,-364,26,-249,48,-329,37,-403,84,-274,22,-289,25,-223,4,-365,28,-185,5,-191,3,-199,4,-212,22
44,-156,4,-178,67,-329,39,-246,3,-379,7,-202,9,-329,37,-368,27,-251,49,-337,38,-407,85,-284,22,-293,25,-232,4,-368,28,-196,6,-192,3,-201,4,-216,22
45,-157,4,-182,67,-329,39,-247,3,-383,8,-203,10,-338,37,-372,27,-255,49,-345,38,-413,85,-290,22,-297,25,-238,4,-370,28,-204,6,-198,3,-213,4,-223,22
46,-163,4,-184,67,-335,39,-247,3,-391,8,-206,10,-343,38,-377,27,-259,49,-348,39,-418,86,-299,23,-301,25,-241,4,-375,28,-210,6,-203,3,-221,4,-227,22
47,-167,4,-188,67,-338,39,-248,3,-398,10,-208,10,-346,38,-382,28,-263,49,-353,39,-423,86,-303,23,-306,25,-247,4,-382,29,-219,6,-209,3,-226,4,-233,22
48,-175,4,-189,67,-342,39,-250,3,-403,10,-213,10,-350,38,-388,28,-269,49,-355,39,-427,86,-311,23,-312,25,-250,4,-388,29,-226,7,-218,3,-233,5,-233,22
49,-178,4,-191,67,-345,39,-252,3,-407,11,-219,10,-353,38,-388,28,-273,49,-367,39,-427,87,-316,23,-318,25,-257,4,-391,29,-230,7,-227,3,-251,5,-235,22
50,-185,5,-194,67,-347,39,-259,3,-410,11,-224,10,-359,38,-395,28,-279,50,-367,39,-430,87,-319,23,-326,25,-265,4,-397,29,-237,7,-236,3,-253,5,-236,22
51,-189,6,-197,67,-359,39,-261,3,-415,11,-229,10,-364,38,-401,28,-284,50,-370,39,-430,87,-324,23,-332,25,-273,4,-403,29,-241,7,-239,3,-261,5,-240,22
52,-194,6,-197,67,-363,39,-262,3,-417,11,-233,10,-371,38,-408,28,-292,50,-373,39,-435,87,-328,23,-338,25,-281,5,-410,29,-244,8,-243,4,-268,6,-245,23
53,-196,7,-198,67,-367,39,-264,3,-424,11,-235,10,-377,38,-411,29,-295,50,-377,39,-437,87,-336,23,-345,25,-286,5,-413,29,-260,8,-249,4,-278,6,-247,23
54,-203,7,-201,67,-371,39,-269,3,-427,12,-239,10,-381,38,-414,29,-297,50,-382,39,-441,87,-344,23,-350,25,-292,5,-414,29,-266,8,-254,4,-289,6,-255,23
55,-208,7,-204,67,-373,39,-269,3,-434,12,-243,10,-384,39,-421,29,-301,50,-386,40,-441,87,-351,23,-354,25,-301,5,-422,29,-270,9,-264,4,-293,6,-262,23
56,-212,7,-205,67,-379,40,-274,3,-439,12,-250,10,-390,40,-428,29,-306,50,-391,40,-442,87,-355,23,-360,25,-308,5,-425,29,-277,9,-269,4,-298,6,-266,23
57,-224,7,-207,67,-384,40,-274,3,-446,14,-253,10,-397,40,-428,29,-308,50,-401,40,-444,87,-361,23,-365,25,-312,5,-427,29,-288,9,-274,4,-302,6,-272,23
58,-226,7,-210,67,-389,40,-279,3,-450,14,-258,10,-399,40,-431,29,-312,50,-402,40,-447,87,-373,23,-375,25,-318,6,-431,29,-292,9,-276,4,-310,6,-283,23
59,-234,7,-210,67,-393,40,-280,3,-456,14,-266,10,-402,40,-434,29,-314,50,-407,40,-451,87,-378,23,-376,25,-328,6,-435,29,-302,9,-282,4,-316,6,-292,23
60,-238,8,-211,67,-397,40,-281,3,-467,14,-272,10,-404,40,-434,29,-321,50,-411,40,-454,87,-385,23,-380,26,-337,6,-438,29,-312,9,-288,4,-326,6,-293,23
61,-246,8,-212,67,-400,40,-282,3,-472,14,-277,10,-405,40,-444,30,-325,50,-411,40,-455,87,-391,23,-383,26,-350,6,-439,29,-318,9,-300,4,-333,6,-300,23
62,-249,8,-213,67,-405,40,-282,3,-479,14,-282,10,-412,40,-449,30,-330,50,-416,40,-458,87,-398,23,-383,26,-359,6,-441,29,-327,9,-309,4,-345,6,-301,23
63,-256,10,-219,67,-407,40,-288,3,-479,14,-285,10,-415,40,-458,31,-340,50,-421,40,-460,87,-401,23,-388,26,-366,6,-443,29,-336,9,-314,4,-350,6,-304,23
64,-263,10,-222,67,-411,40,-290,3,-481,14,-292,10,-417,40,-463,31,-348,50,-425,41,-463,87,-408,23,-394,26,-373,6,-447,29,-345,9,-317,4,-356,6,-309,23
65,-265,10,-224,67,-412,40,-293,3,-485,15,-297,10,-424,40,-468,32,-351,50,-433,41,-463,87,-415,23,-401,26,-381,6,-451,29,-354,9,-321,4,-364,6,-315,23
66,-271,10,-224,67,-414,40,-295,3,-491,15,-302,10,-427,40,-475,32,-353,51,-435,41,-463,87,-415,23,-404,26,-395,6,-456,30,-364,9,-328,4,-373,6,-325,23
