,hamming_loss,f_beta,coverage,ranking_loss,average_precision,macro_averaging,micro_averaging,one_error
0,0.05239130434782609,0.6706631636165971,5.175,6.325,0.07891304347826088,0.038781163434903045,0.5719360568383659,0.32
1,0.05239130434782609,0.6706631636165971,4.715,5.675,0.07891304347826088,0.038781163434903045,0.5719360568383659,0.32
2,0.05217391304347826,0.6717964649816011,4.76,5.85,0.08352657004830918,0.047476815608816086,0.5744680851063829,0.32
3,0.05217391304347826,0.6717964649816011,4.88,5.86,0.08352657004830918,0.047476815608816086,0.5744680851063829,0.32
4,0.05173913043478261,0.6776096714345562,4.7,5.855,0.09287590579710144,0.06183781692633914,0.5809859154929576,0.315
5,0.051304347826086956,0.6798171387594121,4.855,5.9,0.09793780193236712,0.06931773461419634,0.5874125874125874,0.305
6,0.050869565217391305,0.6866115849324803,4.915,5.92,0.10958031400966181,0.0860401426409522,0.5923344947735192,0.305
7,0.050434782608695654,0.6908342170378226,4.78,5.755,0.11034894755003447,0.08838312301849152,0.5972222222222222,0.295
8,0.050217391304347825,0.6919395080616688,4.805,5.795,0.11076237922705312,0.08950580111606246,0.5996533795493935,0.29
9,0.049782608695652174,0.6939444965970428,4.705,5.635,0.1164164941338854,0.09926969851008845,0.6031195840554593,0.29
10,0.04934782608695652,0.696748214912794,4.85,5.77,0.12205314009661834,0.10905143370517331,0.6092943201376936,0.28
11,0.049130434782608694,0.6975682708613531,4.865,5.67,0.12727053140096614,0.11537554437711008,0.6116838487972509,0.28
12,0.04891304347826087,0.6989318385301102,5.04,5.91,0.12770778436539304,0.11640962193292674,0.6140651801029159,0.275
13,0.04891304347826087,0.6989318385301102,4.655,5.47,0.12770778436539304,0.11640962193292674,0.6140651801029159,0.275
14,0.04847826086956522,0.6990869337064893,4.74,5.545,0.1281971834736726,0.11660056908138748,0.614853195164076,0.27
15,0.04826086956521739,0.7001828664608934,4.615,5.565,0.1286385536976515,0.11760743406994584,0.6172413793103448,0.265
16,0.04739130434782609,0.7064739845391629,4.785,5.78,0.1399648994533451,0.12927311392784538,0.6267123287671231,0.255
17,0.04673913043478261,0.7079402996557229,4.48,5.415,0.14114151135831188,0.1304974133503689,0.6312178387650086,0.25
18,0.04630434782608696,0.7108699481170908,4.775,5.755,0.14178297974553306,0.13152476520355783,0.6346483704974272,0.245
19,0.04673913043478261,0.708632412055469,4.12,5.04,0.141834973855369,0.13206474766074178,0.6324786324786325,0.245
20,0.04673913043478261,0.7076991696048398,4.2,5.15,0.14145348299545618,0.13197286032558536,0.6324786324786325,0.245
21,0.04673913043478261,0.7095624291995468,4.615,5.585,0.14145348299545618,0.13197286032558536,0.6324786324786325,0.245
22,0.04652173913043478,0.708632412055469,4.135,4.99,0.14132054152789025,0.13199714287496936,0.6335616438356165,0.245
23,0.04630434782608696,0.7097078938773942,4.31,5.175,0.14176462047525867,0.13285316505488734,0.6358974358974359,0.24
24,0.04695652173913043,0.7064739845391629,4.36,5.25,0.14083392517661197,0.13098421975233568,0.6288659793814433,0.255
25,0.04652173913043478,0.7086324120554691,4.185,5.15,0.1417199798273052,0.13271740046229308,0.6335616438356165,0.245
26,0.04652173913043478,0.7086324120554691,4.375,5.395,0.14347396851278701,0.1364380373212767,0.6335616438356165,0.25
27,0.04652173913043478,0.7086324120554691,4.035,4.93,0.14347396851278701,0.1364380373212767,0.6335616438356165,0.25
28,0.04673913043478261,0.7086324120554691,4.465,5.515,0.14329013450055508,0.13632746615823602,0.6324786324786325,0.25
29,0.04608695652173913,0.7118514365668066,4.255,5.125,0.14813034871362396,0.1450291895476996,0.6394557823129252,0.245
30,0.04608695652173913,0.7109097018220918,3.99,4.79,0.14650258852295736,0.14457510797217452,0.6394557823129252,0.245
31,0.04586956521739131,0.7125066605332261,4.025,5.0,0.14694845522776287,0.14541074867161824,0.6417657045840408,0.24
32,0.04608695652173913,0.7105128795731122,3.9800000000000004,4.94,0.14450472397791292,0.13810429082740294,0.636986301369863,0.245
33,0.04586956521739131,0.711447842415881,3.9699999999999998,4.85,0.14502138587722643,0.13831631906457523,0.6380789022298456,0.245
34,0.04630434782608696,0.7087520657980708,4.08,5.005,0.14411429878609705,0.1366090067234232,0.6333907056798623,0.255
35,0.04630434782608696,0.7089015151515151,3.9850000000000003,4.86,0.1440588572731074,0.13726865012795922,0.6346483704974272,0.25
36,0.04652173913043478,0.7089015151515151,4.115,4.91,0.1438734912264909,0.13715752132117823,0.6335616438356165,0.25
37,0.04652173913043478,0.7089015151515151,3.91,4.72,0.1438734912264909,0.13715752132117823,0.6335616438356165,0.25
38,0.04652173913043478,0.7089015151515151,3.8600000000000003,4.795,0.1438734912264909,0.13715752132117823,0.6335616438356165,0.25
39,0.04652173913043478,0.7089015151515151,3.84,4.66,0.1438734912264909,0.13715752132117823,0.6335616438356165,0.25
40,0.04630434782608696,0.7089015151515151,3.9699999999999998,4.765,0.14438200889747996,0.13736194452832282,0.6346483704974272,0.25
41,0.04630434782608696,0.7089015151515151,3.825,4.69,0.14612700037233076,0.14061687105165366,0.6346483704974272,0.255
42,0.04630434782608696,0.7089015151515151,3.83,4.605,0.14612700037233076,0.14061687105165366,0.6346483704974272,0.255
43,0.04608695652173913,0.7099763770454021,3.965,4.89,0.1465800765303302,0.14148093766333428,0.636986301369863,0.25
44,0.04586956521739131,0.712918291657108,3.835,4.575,0.14662463276399473,0.14161747584335072,0.6393162393162392,0.245
45,0.04586956521739131,0.712918291657108,3.825,4.64,0.14662463276399473,0.14161747584335072,0.6393162393162392,0.245
46,0.04543478260869565,0.7156025772999353,3.7350000000000003,4.605,0.14927671132997491,0.1461874296473563,0.6439522998296423,0.24
47,0.04565217391304348,0.7156025772999353,3.825,4.615,0.14876004943066143,0.145975401410184,0.6428571428571428,0.24
48,0.04543478260869565,0.7156025772999353,3.8550000000000004,4.605,0.14927671132997491,0.1461874296473563,0.6439522998296423,0.24
49,0.04565217391304348,0.7156025772999353,3.9800000000000004,4.695,0.14909287731774298,0.14607685848431562,0.6428571428571428,0.24
50,0.04565217391304348,0.7156025772999353,3.7800000000000002,4.59,0.14909287731774298,0.14607685848431562,0.6428571428571428,0.24
51,0.04586956521739131,0.7145307072789038,4.035,4.845,0.1468948096848927,0.14235015040978147,0.6405451448040886,0.24
52,0.04608695652173913,0.713456379685888,3.9450000000000003,4.695,0.14469674205204247,0.13823115727477003,0.6382252559726962,0.24
53,0.04608695652173913,0.713456379685888,3.88,4.63,0.14469674205204247,0.13823115727477003,0.6382252559726962,0.24
54,0.04586956521739131,0.7150669489585719,3.965,4.665,0.14515154754403334,0.13905432572496834,0.6405451448040886,0.235
55,0.04608695652173913,0.7150669489585719,3.925,4.685,0.14462747922105196,0.1388351076029369,0.6394557823129252,0.235
56,0.04608695652173913,0.713456379685888,3.8899999999999997,4.7,0.14469674205204247,0.13823115727477003,0.6382252559726962,0.24
57,0.04630434782608696,0.713456379685888,3.665,4.525,0.14418008015272898,0.13801912903759775,0.637137989778535,0.24
58,0.04652173913043478,0.713456379685888,3.79,4.505,0.14399815115616785,0.13790918257039345,0.6360544217687075,0.24
59,0.04630434782608696,0.713456379685888,3.885,4.635,0.14418008015272898,0.13801912903759775,0.637137989778535,0.24
60,0.04608695652173913,0.713456379685888,3.76,4.46,0.14469674205204247,0.13823115727477003,0.6382252559726962,0.24
61,0.04630434782608696,0.711840261828204,3.5949999999999998,4.32,0.14424273111891256,0.13738791154529859,0.6358974358974359,0.245
62,0.04630434782608696,0.711840261828204,3.8,4.53,0.14424273111891256,0.13738791154529859,0.6358974358974359,0.245
63,0.04652173913043478,0.711840261828204,3.7800000000000002,4.44,0.14406080212235137,0.13727796507809428,0.6348122866894198,0.245
64,0.04652173913043478,0.711840261828204,3.7300000000000004,4.395,0.14406080212235137,0.13727796507809428,0.6348122866894198,0.245
65,0.04673913043478261,0.7107597531999693,3.715,4.41,0.14360772596435195,0.13641389846641366,0.6324786324786325,0.25
66,0.04652173913043478,0.711840261828204,3.8449999999999998,4.48,0.14406080212235137,0.13727796507809428,0.6348122866894198,0.245
67,0.04652173913043478,0.711840261828204,3.675,4.32,0.14406080212235137,0.13727796507809428,0.6348122866894198,0.245
68,0.04673913043478261,0.7107597531999693,3.67,4.32,0.14360772596435195,0.13641389846641366,0.6324786324786325,0.25
69,0.04652173913043478,0.711840261828204,3.665,4.32,0.14406080212235137,0.13727796507809428,0.6348122866894198,0.245
70,0.04673913043478261,0.7107597531999693,3.6550000000000002,4.305,0.14360772596435195,0.13641389846641366,0.6324786324786325,0.25
71,0.04673913043478261,0.7107597531999693,3.665,4.37,0.14360772596435195,0.13641389846641366,0.6324786324786325,0.25
72,0.04673913043478261,0.7107597531999693,3.6100000000000003,4.24,0.14360772596435195,0.13641389846641366,0.6324786324786325,0.25
