,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-32,32,-37,22,-43,18,-49,12,-28,32,-28,35,-46,20,-42,21,-26,37,-50,16,-40,28,-44,19,-34,26,-49,16
1,-38,38,-43,26,-49,21,-52,14,-32,37,-29,41,-57,22,-48,26,-34,46,-57,17,-47,34,-47,22,-40,30,-56,19
2,-42,43,-54,29,-54,22,-60,16,-34,43,-35,47,-62,24,-52,27,-36,53,-63,18,-52,40,-59,24,-53,33,-62,25
3,-48,46,-60,33,-60,25,-66,19,-39,45,-40,52,-74,25,-63,28,-39,55,-71,21,-56,45,-67,26,-61,37,-74,27
4,-58,52,-69,33,-70,28,-77,22,-47,51,-46,52,-83,27,-69,30,-41,59,-77,23,-59,50,-71,29,-67,39,-81,32
5,-61,57,-77,36,-78,32,-84,26,-50,57,-53,55,-86,30,-75,34,-46,67,-82,24,-64,56,-86,34,-72,42,-85,33
6,-63,62,-85,43,-83,33,-94,28,-62,64,-58,60,-89,33,-82,36,-51,72,-90,27,-69,60,-94,37,-77,46,-89,35
7,-70,66,-89,45,-90,36,-102,33,-67,71,-61,64,-97,37,-87,38,-57,76,-99,28,-76,64,-100,42,-85,50,-94,38
8,-78,68,-95,46,-98,38,-111,36,-69,75,-65,69,-106,40,-91,42,-61,80,-107,32,-81,66,-108,47,-89,54,-105,45
9,-85,71,-101,47,-103,39,-127,40,-77,79,-69,75,-118,43,-96,47,-65,84,-116,34,-84,70,-113,50,-97,57,-109,46
10,-90,74,-110,48,-107,40,-136,44,-79,88,-73,78,-125,45,-103,51,-71,95,-123,38,-88,78,-120,52,-103,60,-115,48
11,-94,78,-119,50,-114,42,-143,48,-83,94,-81,80,-135,46,-111,55,-76,99,-127,42,-91,83,-130,56,-112,63,-121,49
12,-101,81,-125,54,-117,48,-150,50,-87,98,-86,84,-141,50,-115,56,-78,108,-135,49,-93,90,-138,59,-121,67,-126,55
13,-107,89,-133,56,-122,50,-158,52,-96,100,-89,95,-150,54,-116,60,-80,112,-147,53,-97,96,-142,61,-126,70,-134,57
14,-111,92,-143,57,-133,53,-167,53,-101,109,-92,98,-156,56,-127,62,-87,115,-151,54,-105,100,-147,65,-134,74,-140,60
15,-125,96,-148,62,-145,56,-173,57,-105,112,-95,102,-162,57,-135,63,-88,117,-153,57,-113,103,-156,66,-138,81,-154,63
16,-134,103,-156,66,-152,56,-178,59,-107,112,-99,107,-175,60,-141,66,-93,121,-163,62,-119,104,-167,69,-146,84,-159,64
17,-135,109,-163,69,-160,62,-185,62,-116,115,-104,111,-182,61,-149,68,-96,130,-172,63,-123,107,-171,71,-156,89,-168,65
18,-139,110,-168,73,-165,65,-194,64,-121,117,-110,117,-186,65,-160,69,-98,139,-181,65,-134,109,-179,75,-162,92,-175,70
19,-142,117,-180,74,-172,69,-202,67,-127,122,-118,120,-192,71,-167,71,-102,144,-188,69,-136,115,-186,80,-166,93,-179,73
