,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-35,30,-41,22,-43,21,-53,14,-31,32,-24,40,-49,18,-48,18,-21,43,-43,17,-38,26,-41,23,-41,29,-46,23
1,-38,33,-49,25,-56,22,-59,18,-39,34,-28,44,-57,18,-58,20,-23,49,-51,17,-45,30,-46,25,-48,36,-57,25
2,-42,37,-58,28,-63,26,-67,21,-42,36,-33,48,-65,19,-68,21,-29,52,-59,19,-52,33,-57,27,-57,41,-63,27
3,-47,44,-63,31,-68,29,-76,21,-48,40,-38,57,-71,19,-72,22,-31,61,-65,24,-55,36,-65,29,-67,45,-73,33
4,-53,48,-70,34,-76,33,-80,23,-49,42,-43,63,-75,23,-80,25,-37,69,-75,26,-57,40,-76,31,-74,50,-82,36
5,-60,51,-78,37,-80,36,-87,23,-55,52,-47,67,-84,23,-90,28,-40,74,-84,32,-59,44,-83,38,-78,52,-91,37
6,-63,56,-85,40,-92,38,-97,24,-59,58,-51,69,-89,24,-103,31,-47,77,-92,33,-64,47,-92,46,-85,53,-96,39
7,-69,58,-95,42,-99,43,-103,25,-68,60,-56,72,-97,27,-107,34,-52,85,-100,37,-71,49,-98,50,-92,59,-102,40
8,-70,61,-102,43,-103,43,-115,26,-75,62,-58,77,-105,31,-113,37,-54,96,-111,43,-81,51,-103,52,-99,63,-114,42
9,-76,68,-106,46,-112,49,-120,26,-78,67,-61,86,-112,34,-116,42,-59,101,-118,45,-83,53,-116,56,-107,67,-122,44
10,-81,73,-113,47,-116,55,-127,28,-81,70,-65,94,-120,34,-124,44,-63,107,-124,48,-91,61,-124,60,-114,70,-130,46
11,-85,77,-122,47,-121,56,-135,31,-87,80,-70,98,-130,38,-130,44,-69,111,-136,51,-101,66,-127,63,-117,72,-138,48
12,-89,83,-126,48,-129,57,-143,32,-96,86,-73,100,-137,38,-134,48,-73,118,-143,55,-111,67,-135,65,-127,77,-149,51
13,-94,85,-136,52,-135,60,-151,34,-100,95,-76,108,-142,42,-140,51,-81,124,-148,57,-119,72,-140,66,-133,80,-155,54
14,-103,93,-140,52,-144,65,-158,40,-109,99,-80,111,-150,46,-148,54,-87,126,-150,61,-125,76,-150,67,-138,82,-158,58
15,-107,102,-145,56,-154,68,-164,41,-114,105,-84,113,-156,46,-158,56,-88,132,-157,64,-135,82,-154,72,-148,83,-167,59
16,-112,108,-157,58,-159,70,-171,42,-118,112,-90,119,-163,49,-165,56,-89,144,-166,67,-140,86,-159,75,-156,88,-171,60
17,-115,113,-164,60,-165,71,-183,44,-126,116,-90,127,-171,50,-172,60,-97,147,-173,69,-144,92,-166,76,-160,95,-178,66
