,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-32,29,-41,23,-44,18,-51,12,-30,31,-28,40,-50,15,-49,21,-29,37,-44,23,-35,26,-45,20,-43,21,-42,31
1,-44,32,-46,25,-50,20,-57,13,-35,36,-31,46,-60,18,-54,26,-32,39,-47,25,-39,32,-57,25,-50,24,-52,35
2,-45,34,-60,27,-55,23,-64,16,-38,39,-35,50,-69,24,-64,29,-36,48,-53,27,-43,36,-67,28,-57,29,-59,35
3,-54,39,-67,28,-59,27,-74,17,-42,43,-38,56,-81,24,-72,31,-41,52,-59,29,-46,38,-77,36,-63,31,-66,40
4,-58,41,-74,32,-67,28,-79,19,-51,49,-43,59,-91,26,-76,37,-44,56,-67,33,-51,42,-89,39,-69,37,-72,41
5,-68,42,-82,36,-74,31,-88,21,-56,55,-45,65,-98,31,-87,38,-47,59,-71,38,-56,47,-93,41,-74,41,-80,46
6,-73,42,-92,39,-80,35,-97,23,-58,61,-49,71,-106,32,-93,40,-51,69,-76,43,-61,53,-101,42,-78,50,-84,51
7,-79,46,-98,42,-89,37,-111,24,-65,67,-52,74,-114,36,-98,45,-57,75,-81,43,-66,56,-109,44,-87,52,-90,53
8,-83,49,-104,45,-95,39,-121,25,-68,69,-57,79,-121,37,-104,49,-61,84,-88,48,-70,64,-122,47,-100,53,-93,55
9,-86,52,-108,47,-104,44,-132,26,-71,73,-64,83,-130,39,-110,52,-67,90,-94,49,-82,69,-131,48,-105,55,-100,59
10,-93,58,-114,47,-113,49,-140,28,-77,76,-71,88,-136,40,-116,53,-68,94,-101,56,-91,75,-139,49,-113,59,-104,62
11,-99,65,-117,48,-124,49,-144,30,-81,79,-77,98,-144,42,-125,57,-74,99,-108,58,-96,77,-148,56,-122,60,-110,63
12,-106,74,-122,49,-133,52,-158,32,-85,81,-81,103,-150,43,-133,59,-78,104,-116,61,-108,79,-157,57,-126,65,-113,65
13,-113,78,-128,54,-139,54,-166,32,-88,87,-87,110,-155,44,-147,62,-84,108,-121,69,-113,86,-159,57,-130,69,-123,67
