,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20,n21,p21,n22,p22
0,-39,104,-116,39,-91,9,-104,3,-99,7,-97,4,-99,3,-98,2,-110,10,-106,11,-112,16,-98,4,-99,2,-98,4,-116,9,-97,4,-95,6,-99,3,-105,5,-101,3,-101,2,-98,2,-97,3
1,-52,186,-137,48,-97,10,-105,3,-105,7,-97,4,-102,3,-98,2,-121,13,-128,18,-115,22,-99,4,-99,2,-104,4,-128,9,-97,4,-106,6,-99,3,-108,5,-103,3,-102,2,-98,2,-97,3
2,-55,218,-152,59,-116,14,-116,3,-130,10,-97,4,-104,3,-98,2,-135,13,-139,23,-125,26,-109,5,-100,2,-110,4,-148,9,-97,4,-106,6,-101,3,-115,5,-105,3,-110,2,-100,3,-98,3
3,-63,259,-165,66,-126,19,-120,3,-148,11,-98,4,-104,3,-98,2,-143,15,-156,25,-140,31,-120,6,-100,2,-123,4,-174,10,-97,4,-108,6,-108,3,-120,5,-105,3,-114,2,-103,3,-98,3
4,-71,291,-185,82,-150,20,-126,3,-170,12,-99,4,-108,3,-98,2,-152,17,-175,27,-146,36,-132,8,-101,2,-124,4,-190,10,-98,4,-112,6,-113,4,-125,5,-108,3,-114,2,-104,3,-98,3
5,-80,372,-200,92,-157,22,-135,3,-188,12,-101,4,-108,3,-98,2,-164,18,-189,29,-152,39,-141,8,-101,2,-125,4,-199,10,-99,4,-116,6,-116,4,-130,5,-110,3,-114,2,-107,3,-100,3
6,-91,448,-224,104,-165,24,-136,3,-206,12,-102,4,-109,3,-98,2,-168,20,-206,33,-155,42,-145,8,-101,2,-127,4,-206,10,-100,4,-119,6,-116,4,-144,6,-114,3,-115,2,-109,3,-104,3
7,-93,493,-246,113,-175,26,-140,3,-211,13,-106,4,-112,3,-102,2,-184,21,-230,38,-165,43,-153,8,-103,2,-130,4,-225,10,-101,4,-125,6,-118,4,-152,6,-118,3,-117,2,-115,3,-105,3
8,-95,516,-269,125,-186,27,-142,3,-227,15,-126,4,-113,3,-102,2,-193,24,-253,43,-179,47,-157,8,-103,2,-133,4,-250,12,-104,4,-130,6,-119,4,-155,6,-120,3,-119,2,-123,3,-106,3
9,-107,554,-307,147,-191,30,-145,3,-235,15,-126,4,-113,3,-103,2,-199,24,-274,48,-191,49,-165,8,-105,2,-137,4,-265,12,-107,4,-134,6,-123,4,-160,6,-125,3,-121,2,-123,3,-108,3
10,-118,587,-346,163,-197,35,-146,3,-245,15,-131,4,-114,3,-103,2,-207,24,-285,53,-206,51,-173,9,-107,2,-143,4,-280,12,-110,6,-138,6,-136,4,-164,6,-127,3,-123,2,-123,3,-108,3
11,-122,658,-371,173,-204,37,-160,3,-259,15,-134,4,-118,3,-104,2,-211,25,-301,55,-214,52,-178,9,-107,2,-148,4,-287,13,-118,6,-142,6,-138,4,-168,6,-128,3,-127,2,-124,3,-109,3
12,-124,680,-392,188,-212,38,-164,3,-281,16,-138,4,-119,3,-104,2,-218,26,-331,60,-222,52,-200,10,-107,2,-153,4,-295,14,-124,6,-146,6,-146,4,-176,8,-130,3,-128,2,-129,4,-113,3
13,-127,700,-408,195,-226,41,-169,3,-307,18,-142,4,-127,3,-104,2,-225,26,-353,62,-226,54,-204,11,-108,2,-163,4,-301,15,-128,6,-155,6,-150,4,-197,8,-137,3,-132,2,-137,4,-118,3
