,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-42,17,-20,9,-17,12,-22,7,-19,10,-20,9
1,-63,26,-20,9,-17,12,-22,7,-19,10,-20,9
2,-88,31,-20,9,-17,12,-22,7,-19,10,-20,9
3,-111,38,-20,9,-17,12,-22,7,-19,10,-20,9
4,-134,45,-20,9,-17,12,-22,7,-19,10,-20,9
5,-153,56,-20,9,-17,12,-22,7,-19,10,-20,9
6,-173,66,-20,9,-17,12,-22,7,-19,10,-20,9
7,-182,70,-33,13,-17,12,-22,7,-19,10,-20,9
8,-182,70,-54,22,-17,12,-22,7,-19,10,-20,9
9,-182,70,-78,28,-17,12,-22,7,-19,10,-20,9
10,-182,70,-98,38,-17,12,-22,7,-19,10,-20,9
11,-182,70,-120,46,-17,12,-22,7,-19,10,-20,9
12,-182,70,-140,56,-17,12,-22,7,-19,10,-20,9
13,-182,70,-161,65,-17,12,-22,7,-19,10,-20,9
14,-182,70,-183,71,-17,14,-22,7,-19,10,-20,9
15,-182,70,-183,71,-37,24,-22,7,-19,10,-20,9
16,-182,70,-183,71,-54,37,-22,7,-19,10,-20,9
17,-182,70,-183,71,-65,56,-22,7,-19,10,-20,9
18,-182,70,-183,71,-81,70,-22,7,-19,10,-20,9
19,-182,70,-183,71,-94,87,-22,7,-19,10,-20,9
20,-182,70,-183,71,-115,96,-22,7,-19,10,-20,9
21,-182,70,-183,71,-134,107,-22,7,-19,10,-20,9
22,-182,70,-183,71,-142,111,-35,12,-19,10,-20,9
23,-182,70,-183,71,-142,111,-60,17,-19,10,-20,9
24,-182,70,-183,71,-142,111,-83,24,-19,10,-20,9
25,-182,70,-183,71,-142,111,-105,32,-19,10,-20,9
26,-182,70,-183,71,-142,111,-123,44,-19,10,-20,9
27,-182,70,-183,71,-142,111,-145,52,-19,10,-20,9
28,-182,70,-183,71,-142,111,-166,61,-19,10,-20,9
29,-182,70,-183,71,-142,111,-184,65,-24,13,-20,9
30,-182,70,-183,71,-142,111,-184,65,-48,19,-20,9
31,-182,70,-183,71,-142,111,-184,65,-69,28,-20,9
32,-182,70,-183,71,-142,111,-184,65,-90,37,-20,9
33,-182,70,-183,71,-142,111,-184,65,-109,48,-20,9
34,-182,70,-183,71,-142,111,-184,65,-133,54,-20,9
35,-182,70,-183,71,-142,111,-184,65,-152,65,-20,9
36,-182,70,-183,71,-142,111,-184,65,-177,70,-20,9
37,-182,70,-183,71,-142,111,-184,65,-182,73,-37,14
38,-182,70,-183,71,-142,111,-184,65,-182,73,-56,25
39,-182,70,-183,71,-142,111,-184,65,-182,73,-75,36
40,-182,70,-183,71,-142,111,-184,65,-182,73,-99,42
41,-182,70,-183,71,-142,111,-184,65,-182,73,-121,50
42,-182,70,-183,71,-142,111,-184,65,-182,73,-139,62
43,-182,70,-183,71,-142,111,-184,65,-182,73,-162,69
44,-189,72,-186,71,-142,111,-184,65,-182,73,-175,74
45,-189,72,-190,71,-145,116,-192,65,-184,76,-178,76
46,-190,74,-194,72,-147,116,-197,66,-186,77,-186,79
47,-194,75,-199,72,-149,117,-201,68,-190,78,-189,82
48,-196,77,-202,74,-152,121,-206,69,-195,78,-191,83
49,-202,78,-203,76,-154,124,-210,70,-201,78,-194,84
50,-215,80,-215,79,-154,124,-210,70,-201,78,-194,84
51,-215,80,-216,80,-161,135,-216,74,-201,78,-194,84
52,-215,80,-216,80,-161,135,-220,76,-211,86,-199,85
53,-217,82,-219,81,-163,137,-223,76,-214,86,-208,88
54,-221,84,-222,83,-165,138,-226,76,-219,87,-211,92
55,-225,84,-225,85,-167,141,-231,78,-221,89,-216,92
56,-230,84,-231,86,-170,144,-234,80,-223,90,-218,94
57,-251,90,-232,86,-170,144,-234,80,-223,91,-219,94
58,-255,92,-251,91,-170,144,-234,80,-223,91,-219,94
59,-255,92,-258,92,-183,153,-234,80,-223,91,-219,94
60,-255,92,-258,92,-186,160,-248,86,-223,91,-219,94
61,-255,92,-258,92,-186,160,-253,91,-238,96,-219,94
62,-255,92,-258,92,-186,160,-253,91,-244,101,-233,99
63,-255,95,-260,92,-188,160,-257,91,-247,102,-246,101
64,-258,96,-263,93,-190,163,-262,92,-250,104,-248,105
65,-262,97,-266,95,-195,165,-265,94,-254,106,-250,105
66,-272,101,-269,95,-196,165,-268,94,-256,107,-253,108
67,-276,103,-285,98,-197,169,-268,94,-256,107,-253,108
68,-276,103,-285,98,-204,176,-275,103,-256,107,-253,108
69,-276,103,-285,98,-204,176,-277,104,-268,114,-260,109
70,-277,106,-286,100,-206,177,-280,104,-269,115,-269,115
71,-281,107,-288,102,-211,178,-285,104,-272,117,-272,117
72,-285,111,-295,103,-215,180,-286,105,-274,118,-274,118
73,-287,111,-296,103,-218,181,-290,108,-279,121,-277,123
74,-289,113,-301,104,-222,183,-293,111,-282,122,-280,124
75,-297,115,-309,104,-227,187,-293,111,-283,122,-282,124
76,-298,115,-309,105,-227,188,-298,115,-292,122,-286,129
77,-301,117,-312,107,-231,189,-302,116,-296,123,-287,133
78,-303,121,-315,109,-234,190,-307,116,-301,123,-289,136
79,-305,123,-320,109,-239,190,-311,118,-303,125,-291,140
