,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-21,11,-25,10,-17,16,-22,14,-23,12,-23,10
1,-25,11,-26,10,-24,20,-26,21,-24,13,-23,11
2,-27,12,-28,12,-29,22,-30,25,-26,13,-25,15
3,-29,13,-30,13,-36,27,-32,26,-28,15,-29,16
4,-30,17,-31,13,-38,32,-34,32,-29,15,-31,22
5,-31,18,-32,13,-41,40,-38,33,-29,15,-39,25
6,-33,20,-35,13,-44,47,-40,37,-32,16,-39,28
7,-37,21,-36,14,-44,50,-43,42,-32,18,-46,31
8,-39,25,-40,14,-44,52,-45,44,-33,24,-48,36
9,-41,30,-41,16,-48,56,-47,44,-34,25,-50,42
10,-44,32,-42,16,-50,59,-51,44,-36,29,-53,48
11,-46,33,-43,16,-55,69,-52,46,-37,33,-54,50
12,-47,38,-45,16,-58,72,-55,49,-38,37,-58,51
13,-53,39,-46,19,-61,75,-57,50,-40,38,-61,55
14,-55,41,-48,20,-62,79,-58,52,-41,40,-67,61
15,-58,44,-48,23,-68,85,-61,54,-43,40,-68,62
16,-59,46,-52,26,-71,89,-62,57,-44,41,-70,67
17,-59,48,-54,29,-75,95,-63,57,-48,43,-73,70
18,-62,50,-56,31,-78,98,-66,59,-50,45,-77,72
19,-63,51,-58,34,-81,100,-70,61,-53,46,-81,76
20,-63,53,-62,37,-84,104,-72,64,-53,46,-85,81
21,-67,59,-64,41,-86,108,-74,68,-53,46,-87,81
22,-69,61,-66,46,-90,109,-75,68,-57,48,-89,86
23,-72,64,-67,48,-94,117,-76,68,-59,49,-91,89
24,-73,65,-71,48,-96,124,-77,70,-60,52,-95,93
25,-73,70,-78,49,-99,129,-77,72,-63,54,-96,94
26,-76,72,-83,50,-102,131,-80,73,-64,57,-98,98
27,-79,76,-84,52,-106,136,-81,76,-67,57,-100,100
28,-84,77,-86,54,-111,139,-82,79,-68,60,-102,102
29,-86,81,-89,57,-114,142,-83,80,-69,65,-106,102
30,-89,86,-91,58,-116,147,-85,81,-72,67,-109,103
31,-95,89,-96,60,-119,150,-85,82,-75,69,-111,103
32,-97,90,-101,61,-120,151,-88,86,-79,69,-116,106
33,-102,92,-104,63,-123,151,-89,87,-84,71,-118,110
34,-104,93,-108,64,-128,154,-92,89,-87,73,-121,111
35,-107,93,-114,66,-130,154,-93,92,-91,73,-126,115
36,-111,95,-117,69,-133,156,-94,92,-96,74,-128,119
37,-114,97,-120,71,-135,162,-99,93,-101,74,-128,120
38,-116,100,-125,72,-137,164,-107,95,-104,74,-130,120
39,-121,103,-129,72,-138,166,-108,97,-105,76,-135,124
40,-126,106,-132,74,-140,170,-111,98,-109,77,-136,125
41,-129,106,-139,76,-143,171,-113,102,-111,80,-137,127
42,-137,108,-144,76,-149,171,-114,102,-115,80,-139,129
43,-139,110,-147,76,-153,176,-115,103,-117,86,-142,130
44,-143,110,-150,78,-160,178,-117,104,-121,87,-145,131
45,-149,111,-155,80,-163,178,-121,104,-124,87,-151,131
46,-156,113,-156,80,-166,179,-125,105,-127,90,-155,132
47,-162,113,-163,83,-166,180,-128,106,-130,92,-158,133
48,-164,115,-169,85,-168,181,-132,108,-133,94,-160,135
49,-168,117,-172,88,-168,184,-133,108,-140,97,-162,137
50,-172,118,-177,90,-172,186,-136,108,-144,99,-163,139
51,-175,119,-184,93,-172,188,-138,109,-148,101,-166,141
52,-179,120,-186,94,-174,188,-146,110,-153,102,-167,145
53,-180,122,-195,95,-174,190,-151,111,-157,102,-171,146
54,-181,122,-200,97,-176,194,-155,113,-163,102,-174,147
55,-186,123,-203,99,-179,194,-157,114,-169,104,-179,147
56,-188,127,-207,101,-183,197,-160,114,-170,106,-184,147
57,-193,128,-210,101,-187,197,-165,114,-174,109,-187,149
58,-194,129,-217,103,-189,200,-169,114,-178,110,-189,152
59,-201,130,-226,103,-190,202,-173,114,-179,111,-191,154
60,-206,132,-232,104,-191,204,-177,115,-183,112,-193,155
61,-211,133,-237,105,-193,207,-184,115,-187,112,-195,155
62,-216,134,-240,105,-195,208,-191,115,-193,112,-200,155
63,-221,135,-244,108,-202,208,-191,116,-197,115,-202,155
64,-221,136,-247,111,-204,210,-196,117,-206,117,-204,155
65,-226,137,-249,112,-208,212,-200,118,-212,118,-207,155
66,-233,137,-252,113,-210,213,-205,118,-216,118,-211,158
67,-236,137,-256,115,-213,213,-210,120,-221,120,-214,159
68,-240,139,-258,119,-214,213,-214,120,-229,121,-218,159
69,-243,140,-262,122,-216,216,-219,123,-232,122,-220,159
70,-248,140,-270,123,-217,219,-225,123,-236,123,-221,159
71,-250,141,-275,124,-220,220,-228,123,-243,124,-225,161
72,-255,142,-280,127,-222,221,-233,123,-245,125,-230,161
73,-263,142,-282,127,-224,221,-240,123,-250,126,-234,162
74,-268,142,-291,129,-226,222,-244,123,-254,126,-236,163
75,-274,142,-294,130,-226,224,-248,125,-259,127,-242,163
76,-279,142,-297,131,-227,225,-252,126,-265,129,-247,164
77,-284,143,-299,132,-232,226,-258,126,-271,129,-250,164
78,-287,144,-301,134,-232,227,-264,127,-281,131,-252,164
79,-291,146,-302,134,-236,227,-267,127,-288,133,-258,165
