,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-60,24,-61,9,-59,9,-59,14,-53,13,-60,9,-60,9,-64,3,-64,2,-59,19,-76,12,-61,8,-63,12,-67,3,-62,6,-63,3,-62,4,-62,4
1,-89,32,-61,10,-59,9,-60,16,-53,13,-60,9,-60,9,-64,3,-64,2,-79,25,-76,12,-61,8,-85,13,-67,3,-62,6,-63,3,-62,4,-62,4
2,-120,32,-61,14,-59,9,-64,18,-53,13,-60,9,-60,9,-64,3,-64,2,-128,25,-76,12,-61,8,-85,13,-67,3,-62,6,-63,3,-62,4,-62,4
3,-123,32,-89,32,-61,9,-98,18,-53,13,-60,9,-60,10,-64,3,-64,2,-128,25,-76,12,-61,9,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
4,-126,32,-175,33,-61,9,-98,18,-53,13,-60,9,-60,10,-64,3,-64,2,-128,25,-76,12,-61,9,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
5,-210,32,-181,33,-61,9,-98,18,-53,13,-60,9,-60,10,-64,3,-64,2,-128,25,-76,12,-61,9,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
6,-236,71,-203,33,-61,9,-98,18,-53,13,-60,9,-60,11,-64,3,-64,2,-128,25,-76,12,-62,10,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
7,-326,71,-203,33,-61,9,-98,18,-53,13,-60,9,-60,11,-64,3,-64,2,-128,25,-76,12,-62,10,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
8,-369,71,-249,33,-61,9,-98,18,-53,13,-60,9,-60,11,-64,3,-64,2,-128,25,-76,12,-63,10,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
9,-448,71,-259,34,-61,9,-98,18,-53,13,-60,9,-60,11,-64,3,-64,2,-128,25,-76,12,-63,10,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
10,-483,71,-307,36,-61,9,-98,18,-53,13,-60,9,-62,13,-64,3,-64,2,-128,25,-77,12,-63,10,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
11,-525,71,-343,38,-61,9,-98,18,-53,13,-61,9,-71,13,-64,3,-64,2,-128,25,-77,12,-63,10,-87,13,-67,3,-62,7,-63,3,-62,4,-62,4
12,-525,71,-430,40,-61,9,-98,18,-53,13,-61,9,-71,13,-64,3,-64,2,-128,25,-77,12,-63,10,-87,13,-67,3,-63,7,-63,3,-62,4,-62,4
13,-525,71,-511,48,-61,9,-98,18,-53,13,-61,9,-71,13,-64,3,-64,2,-129,25,-77,12,-63,10,-87,13,-67,3,-63,7,-63,3,-62,4,-62,4
14,-525,71,-525,71,-62,9,-98,18,-53,14,-63,11,-72,17,-64,3,-64,2,-165,25,-77,12,-64,10,-87,13,-67,3,-63,7,-63,3,-65,6,-62,4
15,-525,71,-525,71,-62,9,-98,18,-135,22,-63,11,-72,17,-64,3,-64,2,-165,25,-77,12,-64,10,-87,13,-67,3,-63,7,-63,3,-65,6,-62,4
16,-525,71,-525,71,-64,9,-99,18,-135,22,-82,11,-72,17,-64,3,-64,2,-232,25,-77,12,-64,10,-87,13,-67,3,-63,7,-63,3,-66,6,-62,4
17,-525,71,-525,71,-64,9,-107,18,-135,22,-90,11,-72,17,-64,3,-64,2,-301,25,-77,12,-66,10,-87,13,-70,3,-63,7,-63,3,-66,6,-62,4
18,-525,71,-525,71,-64,9,-108,18,-135,22,-90,11,-72,17,-64,3,-64,2,-384,27,-77,12,-69,10,-87,13,-71,3,-63,7,-63,3,-66,6,-62,4
19,-525,71,-525,71,-64,9,-114,18,-135,22,-90,11,-85,17,-64,3,-64,2,-447,30,-81,12,-69,10,-88,13,-71,3,-63,7,-63,3,-66,6,-62,4
20,-525,71,-525,71,-64,9,-114,18,-135,22,-90,11,-85,17,-64,3,-64,2,-520,30,-81,12,-81,10,-88,13,-71,3,-63,7,-63,3,-68,9,-62,4
21,-525,71,-525,71,-64,9,-137,18,-135,22,-90,11,-85,17,-64,3,-64,2,-541,52,-81,12,-81,10,-88,13,-71,3,-67,7,-63,3,-87,10,-62,4
22,-525,71,-525,71,-107,10,-170,18,-135,22,-90,11,-85,17,-64,3,-64,2,-541,55,-85,12,-81,10,-89,14,-71,3,-67,7,-63,3,-90,10,-63,4
23,-525,71,-525,71,-107,10,-254,18,-135,22,-90,11,-85,17,-64,3,-64,2,-541,55,-85,12,-86,10,-89,14,-71,3,-67,7,-63,3,-90,10,-64,4
24,-525,71,-525,71,-107,10,-335,18,-135,22,-90,11,-85,17,-64,3,-64,2,-541,55,-85,12,-86,10,-89,14,-71,3,-67,8,-63,3,-90,10,-72,4
25,-525,71,-525,71,-107,10,-412,19,-135,22,-90,11,-85,17,-64,3,-64,2,-541,55,-87,12,-86,10,-89,15,-71,3,-67,8,-63,12,-90,10,-72,4
26,-525,71,-525,71,-107,10,-496,19,-135,22,-91,11,-85,17,-65,3,-64,2,-541,55,-87,12,-86,10,-93,15,-71,3,-67,8,-63,12,-90,10,-72,4
27,-525,71,-525,71,-107,10,-551,23,-135,22,-91,11,-107,17,-65,3,-64,3,-541,55,-90,12,-86,10,-98,15,-71,3,-67,8,-63,12,-90,10,-72,4
28,-525,71,-525,71,-107,10,-551,45,-135,22,-95,11,-107,17,-66,3,-64,3,-541,55,-108,12,-98,10,-117,15,-71,3,-80,8,-64,12,-90,10,-72,4
29,-525,71,-525,71,-107,10,-551,45,-135,22,-95,11,-107,17,-66,3,-64,3,-541,55,-114,12,-106,10,-190,15,-71,3,-80,8,-65,13,-91,10,-72,4
