Adaptive,CVIRS,Greedy_sample,MMC,MML,Random,Random_sample,STM_stable_validation
5.040948275862069,5.040948275862069,5.040948275862069,5.040948275862069,5.040948275862069,5.040948275862069,5.040948275862069,5.040948275862069
5.013290229885056,5.055675287356323,5.014367816091954,5.019396551724139,5.050646551724137,5.030172413793103,4.922772988505747,5.006465517241379
4.938936781609195,5.114224137931034,4.957255747126435,5.04669540229885,5.04382183908046,4.982758620689655,4.946120689655173,4.938936781609195
4.942887931034482,5.016522988505747,4.894396551724139,4.876436781609195,5.059626436781609,4.8078304597701145,4.841235632183908,4.8990660919540225
4.960129310344827,5.0736350574712645,4.905172413793104,4.897988505747127,4.963362068965517,4.802801724137931,4.812859195402298,4.8821839080459775
4.876077586206897,5.048491379310345,4.811781609195402,4.872126436781609,4.973778735632184,4.730603448275861,4.727370689655173,4.898706896551724
4.801005747126435,5.058908045977011,4.77837643678161,4.790229885057471,4.9525862068965525,4.681034482758621,4.7205459770114935,4.886853448275861
4.776221264367816,5.118893678160919,4.733477011494253,4.770833333333334,4.89367816091954,4.682471264367816,4.711206896551725,4.820402298850575
4.758261494252874,5.036637931034482,4.688218390804598,4.764008620689655,4.8886494252873565,4.60632183908046,4.657686781609195,4.801724137931035
4.73455459770115,5.04992816091954,4.704741379310345,4.683548850574713,4.800646551724139,4.582974137931034,4.644396551724138,4.7259339080459775
4.7259339080459775,5.0801005747126435,4.6451149425287355,4.753591954022989,4.805675287356323,4.558189655172415,4.6178160919540225,4.735632183908047
4.688577586206897,5.075431034482758,4.641522988505747,4.7259339080459775,4.7363505747126435,4.506106321839081,4.6253591954023,4.697916666666666
4.666666666666666,5.043462643678161,4.586206896551724,4.70941091954023,4.710129310344827,4.479166666666666,4.591594827586206,4.645833333333333
4.636853448275862,5.04058908045977,4.58117816091954,4.64367816091954,4.691091954022989,4.463721264367816,4.554238505747126,4.593031609195402
4.592313218390805,5.030531609195402,4.552801724137931,4.610632183908045,4.686063218390805,4.402658045977011,4.5826149425287355,4.580818965517242
4.533405172413793,5.0513649425287355,4.540948275862069,4.588362068965518,4.6921695402298855,4.397629310344827,4.546336206896552,4.530172413793103
4.5359195402298855,5.009698275862069,4.524784482758621,4.560344827586206,4.662715517241379,4.34375,4.549209770114943,4.5513649425287355
4.551724137931034,4.961206896551724,4.466594827586207,4.588362068965518,4.635775862068965,4.285201149425287,4.539152298850575,4.483836206896552
4.507543103448276,4.959410919540229,4.475933908045977,4.538433908045976,4.630028735632184,4.28125,4.4640804597701145,4.441091954022989
4.481681034482758,5.006106321839081,4.510775862068965,4.460129310344827,4.633620689655173,4.20941091954023,4.458692528735632,4.450790229885057
4.484913793103448,4.9903017241379315,4.461925287356322,4.433548850574713,4.616379310344827,4.23455459770115,4.451508620689655,4.44683908045977
4.485632183908046,5.038793103448276,4.455818965517242,4.396192528735632,4.580818965517241,4.193965517241379,4.469109195402298,4.411278735632184
4.4615660919540225,4.949712643678161,4.421336206896552,4.353807471264368,4.5513649425287355,4.216235632183908,4.443606321839081,4.370689655172415
4.4705459770114935,4.931393678160919,4.419181034482759,4.3469827586206895,4.514008620689655,4.193606321839081,4.416666666666666,4.345545977011495
4.448994252873563,4.925646551724139,4.389008620689655,4.311063218390805,4.48778735632184,4.16846264367816,4.42492816091954,4.316451149425287
