Adaptive n,Adaptive p,CVIRS n,CVIRS p,Greedy_sample n,Greedy_sample p,MMC n,MMC p,MML n,MML p,Random n,Random p,Random_sample n,Random_sample p,STM_stable_validation n,STM_stable_validation p
-2177.086956521739,174.91304347826087,-2182.478260869565,169.52173913043478,-2156.478260869565,195.52173913043478,-2187.4347826086955,164.56521739130434,-2152.0,200.0,-2177.086956521739,174.91304347826087,-2179.8260869565215,172.17391304347825,-1722.1304347826087,630.9130434782609
-2250.8695652173915,181.1304347826087,-2257.2608695652175,174.7391304347826,-2229.1304347826085,202.8695652173913,-2261.695652173913,170.30434782608697,-2225.0434782608695,206.95652173913044,-2251.217391304348,180.7826086956522,-2254.3478260869565,177.65217391304347,-1768.608695652174,664.5217391304348
-2324.695652173913,187.30434782608697,-2331.5652173913045,180.43478260869566,-2302.4347826086955,209.56521739130434,-2336.3478260869565,175.65217391304347,-2298.3478260869565,213.65217391304347,-2325.8260869565215,186.17391304347825,-2328.695652173913,183.30434782608697,-1817.1304347826087,696.0869565217391
-2399.1739130434785,192.82608695652175,-2406.217391304348,185.7826086956522,-2375.521739130435,216.47826086956522,-2411.5652173913045,180.43478260869566,-2372.217391304348,219.7826086956522,-2399.8260869565215,192.17391304347825,-2402.913043478261,189.08695652173913,-1868.2608695652175,725.0434782608696
-2473.391304347826,198.6086956521739,-2480.304347826087,191.69565217391303,-2448.521739130435,223.47826086956522,-2486.2608695652175,185.7391304347826,-2445.2608695652175,226.7391304347826,-2474.4347826086955,197.56521739130434,-2477.1739130434785,194.82608695652175,-1921.608695652174,751.7826086956521
-2547.086956521739,204.91304347826087,-2554.695652173913,197.30434782608697,-2521.608695652174,230.3913043478261,-2561.5652173913045,190.43478260869566,-2518.1739130434785,233.82608695652175,-2547.8695652173915,204.1304347826087,-2551.521739130435,200.47826086956522,-1976.2608695652175,777.2173913043479
-2621.086956521739,210.91304347826087,-2629.4347826086955,202.56521739130434,-2595.304347826087,236.69565217391303,-2636.304347826087,195.69565217391303,-2591.0434782608695,240.95652173913044,-2622.7391304347825,209.2608695652174,-2624.913043478261,207.08695652173913,-2032.3478260869565,801.2173913043479
-2695.7391304347825,216.2608695652174,-2703.521739130435,208.47826086956522,-2668.217391304348,243.7826086956522,-2710.8695652173915,201.1304347826087,-2664.1304347826085,247.8695652173913,-2696.8695652173915,215.1304347826087,-2699.695652173913,212.30434782608697,-2089.8260869565215,823.8260869565217
-2769.9565217391305,222.04347826086956,-2777.8260869565215,214.17391304347825,-2742.086956521739,249.91304347826087,-2786.1304347826085,205.8695652173913,-2736.5652173913045,255.43478260869566,-2770.521739130435,221.47826086956522,-2774.217391304348,217.7826086956522,-2147.695652173913,846.0434782608696
-2843.9565217391305,228.04347826086956,-2852.521739130435,219.47826086956522,-2815.1739130434785,256.82608695652175,-2861.3478260869565,210.65217391304347,-2809.0,263.0,-2845.478260869565,226.52173913043478,-2848.2608695652175,223.7391304347826,-2205.695652173913,868.1304347826087
-2918.4347826086955,233.56521739130434,-2927.086956521739,224.91304347826087,-2888.695652173913,263.30434782608694,-2936.086956521739,215.91304347826087,-2882.0434782608695,269.95652173913044,-2920.086956521739,231.91304347826087,-2922.478260869565,229.52173913043478,-2266.521739130435,887.3913043478261
-2991.521739130435,240.47826086956522,-3000.913043478261,231.08695652173913,-2962.8260869565215,269.17391304347825,-3011.2608695652175,220.7391304347826,-2954.913043478261,277.0869565217391,-2994.0434782608695,237.95652173913044,-2997.217391304348,234.7826086956522,-2326.3478260869565,907.6521739130435
-3065.5652173913045,246.43478260869566,-3075.695652173913,236.30434782608697,-3036.1304347826085,275.8695652173913,-3086.3478260869565,225.65217391304347,-3027.521739130435,284.4782608695652,-3068.3478260869565,243.65217391304347,-3071.695652173913,240.30434782608697,-2389.1739130434785,924.9130434782609
-3139.478260869565,252.52173913043478,-3150.1304347826085,241.8695652173913,-3109.217391304348,282.7826086956522,-3161.0434782608695,230.95652173913044,-3100.217391304348,291.7826086956522,-3142.5652173913045,249.43478260869566,-3145.0,247.0,-2451.1739130434785,943.0
-3213.217391304348,258.7826086956522,-3224.7391304347825,247.2608695652174,-3182.6521739130435,289.3478260869565,-3235.7391304347825,236.2608695652174,-3172.9565217391305,299.04347826086956,-3216.521739130435,255.47826086956522,-3219.217391304348,252.7826086956522,-2514.3478260869565,959.9130434782609
-3287.1739130434785,264.82608695652175,-3298.695652173913,253.30434782608697,-3256.3478260869565,295.6521739130435,-3311.0434782608695,240.95652173913044,-3245.695652173913,306.30434782608694,-3291.086956521739,260.9130434782609,-3293.391304347826,258.60869565217394,-2576.521739130435,977.8260869565217
-3361.304347826087,270.69565217391306,-3373.2608695652175,258.7391304347826,-3328.695652173913,303.30434782608694,-3385.1739130434785,246.82608695652175,-3318.086956521739,313.9130434782609,-3366.478260869565,265.5217391304348,-3367.478260869565,264.5217391304348,-2640.3478260869565,994.0869565217391
-3435.304347826087,276.69565217391306,-3447.478260869565,264.5217391304348,-3402.086956521739,309.9130434782609,-3460.217391304348,251.7826086956522,-3391.0434782608695,320.95652173913044,-3440.8695652173915,271.1304347826087,-3441.9565217391305,270.04347826086956,-2705.217391304348,1009.304347826087
-3509.2608695652175,282.7391304347826,-3521.913043478261,270.0869565217391,-3475.913043478261,316.0869565217391,-3534.8695652173915,257.1304347826087,-3464.6521739130435,327.3478260869565,-3515.0434782608695,276.95652173913044,-3516.217391304348,275.7826086956522,-2769.695652173913,1024.9130434782608
-3583.478260869565,288.5217391304348,-3596.782608695652,275.2173913043478,-3549.913043478261,322.0869565217391,-3609.8695652173915,262.1304347826087,-3537.5652173913045,334.4347826086956,-3589.695652173913,282.30434782608694,-3590.0434782608695,281.95652173913044,-2836.6521739130435,1038.0434782608695
-3657.782608695652,294.2173913043478,-3671.086956521739,280.9130434782609,-3623.391304347826,328.60869565217394,-3684.7391304347825,267.2608695652174,-3610.9565217391305,341.04347826086956,-3664.1304347826085,287.8695652173913,-3664.086956521739,287.9130434782609,-2904.1304347826085,1050.6521739130435
-3731.5652173913045,300.4347826086956,-3746.086956521739,285.9130434782609,-3696.695652173913,335.30434782608694,-3759.608695652174,272.39130434782606,-3684.6521739130435,347.3478260869565,-3738.8695652173915,293.1304347826087,-3738.913043478261,293.0869565217391,-2970.8260869565215,1064.0434782608695
-3805.8260869565215,306.17391304347825,-3820.7391304347825,291.2608695652174,-3770.1739130434785,341.82608695652175,-3834.3478260869565,277.6521739130435,-3758.0434782608695,353.95652173913044,-3812.9565217391305,299.04347826086956,-3812.913043478261,299.0869565217391,-3037.7391304347825,1077.2173913043478
-3879.695652173913,312.30434782608694,-3895.217391304348,296.7826086956522,-3843.695652173913,348.30434782608694,-3909.1304347826085,282.8695652173913,-3831.2608695652175,360.7391304347826,-3887.0,305.0,-3887.4347826086955,304.5652173913044,-3106.1739130434785,1088.8695652173913
-3953.782608695652,318.2173913043478,-3970.2608695652175,301.7391304347826,-3917.304347826087,354.69565217391306,-3983.6521739130435,288.3478260869565,-3904.391304347826,367.60869565217394,-3961.478260869565,310.5217391304348,-3962.0434782608695,309.95652173913044,-3173.8695652173915,1101.2608695652175
-4027.913043478261,324.0869565217391,-4044.913043478261,307.0869565217391,-3991.608695652174,360.39130434782606,-4057.9565217391305,294.04347826086956,-3977.4347826086955,374.5652173913044,-4036.391304347826,315.60869565217394,-4036.391304347826,315.60869565217394,-3241.4347826086955,1113.7826086956522
-4101.826086956522,330.17391304347825,-4119.130434782609,312.8695652173913,-4065.521739130435,366.4782608695652,-4132.695652173913,299.30434782608694,-4051.2608695652175,380.7391304347826,-4110.0,322.0,-4110.565217391304,321.4347826086956,-3310.4347826086955,1124.8695652173913
-4176.521739130435,335.4782608695652,-4193.478260869565,318.5217391304348,-4139.391304347826,372.60869565217394,-4207.347826086957,304.6521739130435,-4124.695652173913,387.30434782608694,-4183.913043478261,328.0869565217391,-4184.565217391304,327.4347826086956,-3380.0,1135.391304347826
-4250.347826086957,341.6521739130435,-4267.782608695652,324.2173913043478,-4213.869565217391,378.1304347826087,-4282.652173913043,309.3478260869565,-4198.04347826087,393.95652173913044,-4258.913043478261,333.0869565217391,-4258.304347826087,333.69565217391306,-3450.2608695652175,1145.2173913043478
-4324.217391304348,347.7826086956522,-4342.652173913043,329.3478260869565,-4288.04347826087,383.95652173913044,-4357.608695652174,314.39130434782606,-4271.826086956522,400.17391304347825,-4333.04347826087,338.95652173913044,-4332.652173913043,339.3478260869565,-3519.8260869565215,1155.7391304347825
-4398.347826086957,353.6521739130435,-4417.391304347826,334.60869565217394,-4361.695652173913,390.30434782608694,-4432.391304347826,319.60869565217394,-4345.739130434783,406.2608695652174,-4408.304347826087,343.69565217391306,-4406.826086956522,345.17391304347825,-3589.782608695652,1165.8695652173913
-4472.913043478261,359.0869565217391,-4491.695652173913,340.30434782608694,-4435.826086956522,396.17391304347825,-4507.04347826087,324.95652173913044,-4418.826086956522,413.17391304347825,-4482.608695652174,349.39130434782606,-4481.130434782609,350.8695652173913,-3660.782608695652,1174.9565217391305
-4546.869565217391,365.1304347826087,-4565.869565217391,346.1304347826087,-4509.826086956522,402.17391304347825,-4582.173913043478,329.82608695652175,-4492.086956521739,419.9130434782609,-4557.652173913043,354.3478260869565,-4555.0,357.0,-3730.9565217391305,1184.8695652173913
-4621.391304347826,370.60869565217394,-4640.173913043478,351.82608695652175,-4582.913043478261,409.0869565217391,-4656.652173913043,335.3478260869565,-4565.869565217391,426.1304347826087,-4631.826086956522,360.17391304347825,-4629.565217391304,362.4347826086956,-3802.086956521739,1193.8260869565217
-4694.521739130435,377.4782608695652,-4714.391304347826,357.60869565217394,-4656.826086956522,415.17391304347825,-4731.434782608696,340.5652173913044,-4639.0,433.0,-4705.782608695652,366.2173913043478,-4704.130434782609,367.8695652173913,-3872.5652173913045,1203.4347826086957
-4768.565217391304,383.4347826086956,-4788.521739130435,363.4782608695652,-4730.782608695652,421.2173913043478,-4806.217391304348,345.7826086956522,-4712.217391304348,439.7826086956522,-4780.434782608696,371.5652173913044,-4778.086956521739,373.9130434782609,-3944.5652173913045,1211.5217391304348
-4841.826086956522,390.17391304347825,-4862.565217391304,369.4347826086956,-4803.782608695652,428.2173913043478,-4880.347826086957,351.6521739130435,-4785.478260869565,446.5217391304348,-4854.95652173913,377.04347826086956,-4852.04347826087,379.95652173913044,-4015.5652173913045,1220.608695652174
-4915.304347826087,396.69565217391306,-4937.260869565217,374.7391304347826,-4878.130434782609,433.8695652173913,-4955.086956521739,356.9130434782609,-4858.782608695652,453.2173913043478,-4929.260869565217,382.7391304347826,-4926.304347826087,385.69565217391306,-4087.086956521739,1229.1739130434783
-4989.0,403.0,-5012.217391304348,379.7826086956522,-4951.869565217391,440.1304347826087,-5029.130434782609,362.8695652173913,-4932.478260869565,459.5217391304348,-5003.869565217391,388.1304347826087,-5000.608695652174,391.39130434782606,-4159.478260869565,1236.8695652173913
-5063.260869565217,408.7391304347826,-5086.782608695652,385.2173913043478,-5026.0,446.0,-5103.478260869565,368.5217391304348,-5006.04347826087,465.95652173913044,-5078.217391304348,393.7826086956522,-5074.826086956522,397.17391304347825,-4231.652173913043,1244.7826086956522
-5137.695652173913,414.30434782608694,-5161.391304347826,390.60869565217394,-5099.521739130435,452.4782608695652,-5178.391304347826,373.60869565217394,-5079.130434782609,472.8695652173913,-5152.652173913043,399.3478260869565,-5148.739130434783,403.2608695652174,-4303.826086956522,1252.695652173913
-5212.0,420.0,-5235.565217391304,396.4347826086956,-5173.347826086957,458.6521739130435,-5252.521739130435,379.4782608695652,-5152.304347826087,479.69565217391306,-5227.130434782609,404.8695652173913,-5223.478260869565,408.5217391304348,-4375.869565217391,1260.7391304347825
-5286.304347826087,425.69565217391306,-5310.347826086957,401.6521739130435,-5246.782608695652,465.2173913043478,-5327.478260869565,384.5217391304348,-5225.826086956522,486.17391304347825,-5300.608695652174,411.39130434782606,-5297.478260869565,414.5217391304348,-4447.869565217391,1268.8260869565217
-5360.391304347826,431.60869565217394,-5383.95652173913,408.04347826086956,-5320.826086956522,471.17391304347825,-5402.260869565217,389.7391304347826,-5299.95652173913,492.04347826086956,-5374.260869565217,417.7391304347826,-5371.695652173913,420.30434782608694,-4519.565217391304,1277.2173913043478
-5434.521739130435,437.4782608695652,-5458.130434782609,413.8695652173913,-5394.521739130435,477.4782608695652,-5476.913043478261,395.0869565217391,-5373.173913043478,498.82608695652175,-5447.826086956522,424.17391304347825,-5446.173913043478,425.82608695652175,-4591.913043478261,1284.9565217391305
-5508.130434782609,443.8695652173913,-5532.434782608696,419.5652173913044,-5468.652173913043,483.3478260869565,-5551.95652173913,400.04347826086956,-5446.565217391304,505.4347826086956,-5522.173913043478,429.82608695652175,-5520.173913043478,431.82608695652175,-4663.869565217391,1293.0869565217392
-5581.434782608696,450.5652173913044,-5607.0,425.0,-5542.0,490.0,-5626.04347826087,405.95652173913044,-5520.608695652174,511.39130434782606,-5596.434782608696,435.5652173913044,-5593.913043478261,438.0869565217391,-4737.391304347826,1299.6521739130435
-5654.652173913043,457.3478260869565,-5681.739130434783,430.2608695652174,-5615.95652173913,496.04347826086956,-5700.521739130435,411.4782608695652,-5594.434782608696,517.5652173913044,-5670.217391304348,441.7826086956522,-5668.695652173913,443.30434782608694,-4811.95652173913,1305.1739130434783
-5728.652173913043,463.3478260869565,-5756.260869565217,435.7391304347826,-5690.173913043478,501.82608695652175,-5775.04347826087,416.95652173913044,-5668.652173913043,523.3478260869565,-5744.391304347826,447.60869565217394,-5742.478260869565,449.5217391304348,-4885.826086956522,1311.391304347826
-5802.565217391304,469.4347826086956,-5830.217391304348,441.7826086956522,-5764.347826086957,507.6521739130435,-5849.478260869565,422.5217391304348,-5742.347826086957,529.6521739130435,-5818.391304347826,453.60869565217394,-5817.0,455.0,-4959.695652173913,1317.608695652174
-5876.695652173913,475.30434782608694,-5904.391304347826,447.60869565217394,-5838.652173913043,513.3478260869565,-5924.0,428.0,-5816.304347826087,535.695652173913,-5893.217391304348,458.7826086956522,-5891.434782608696,460.5652173913044,-5033.652173913043,1323.7391304347825
-5950.608695652174,481.39130434782606,-5978.521739130435,453.4782608695652,-5912.695652173913,519.304347826087,-5998.260869565217,433.7391304347826,-5890.260869565217,541.7391304347826,-5967.869565217391,464.1304347826087,-5965.260869565217,466.7391304347826,-5107.217391304348,1330.2608695652175
-6024.95652173913,487.04347826086956,-6052.04347826087,459.95652173913044,-5986.869565217391,525.1304347826087,-6072.95652173913,439.04347826086956,-5963.95652173913,548.0434782608696,-6041.913043478261,470.0869565217391,-6039.521739130435,472.4782608695652,-5180.347826086957,1337.2173913043478
-6098.260869565217,493.7391304347826,-6125.95652173913,466.04347826086956,-6061.086956521739,530.9130434782609,-6147.391304347826,444.60869565217394,-6037.652173913043,554.3478260869565,-6115.565217391304,476.4347826086956,-6114.130434782609,477.8695652173913,-5253.739130434783,1343.9130434782608
-6172.130434782609,499.8695652173913,-6199.869565217391,472.1304347826087,-6135.521739130435,536.4782608695652,-6221.95652173913,450.04347826086956,-6111.478260869565,560.5217391304348,-6189.695652173913,482.30434782608694,-6187.95652173913,484.04347826086956,-5327.652173913043,1350.0869565217392
-6246.913043478261,505.0869565217391,-6274.260869565217,477.7391304347826,-6209.782608695652,542.2173913043479,-6296.521739130435,455.4782608695652,-6185.217391304348,566.7826086956521,-6264.0,488.0,-6262.260869565217,489.7391304347826,-5402.304347826087,1355.5217391304348
-6320.739130434783,511.2608695652174,-6348.391304347826,483.60869565217394,-6283.739130434783,548.2608695652174,-6370.782608695652,461.2173913043478,-6258.826086956522,573.1739130434783,-6338.565217391304,493.4347826086956,-6337.217391304348,494.7826086956522,-5476.260869565217,1361.6521739130435
-6394.95652173913,517.0434782608696,-6422.695652173913,489.30434782608694,-6357.347826086957,554.6521739130435,-6445.260869565217,466.7391304347826,-6332.478260869565,579.5217391304348,-6413.826086956522,498.17391304347825,-6411.304347826087,500.69565217391306,-5550.913043478261,1367.0869565217392
-6468.739130434783,523.2608695652174,-6497.869565217391,494.1304347826087,-6430.913043478261,561.0869565217391,-6519.652173913043,472.3478260869565,-6406.0,586.0,-6488.782608695652,503.2173913043478,-6484.826086956522,507.17391304347825,-5624.913043478261,1373.1739130434783
-6543.0,529.0,-6572.478260869565,499.5217391304348,-6505.347826086957,566.6521739130435,-6594.347826086957,477.6521739130435,-6479.695652173913,592.304347826087,-6563.130434782609,508.8695652173913,-6558.608695652174,513.3913043478261,-5699.869565217391,1378.304347826087
-6616.782608695652,535.2173913043479,-6647.086956521739,504.9130434782609,-6579.608695652174,572.3913043478261,-6668.652173913043,483.3478260869565,-6553.521739130435,598.4782608695652,-6637.130434782609,514.8695652173913,-6632.608695652174,519.3913043478261,-5774.869565217391,1383.391304347826
-6690.695652173913,541.304347826087,-6721.304347826087,510.69565217391306,-6654.130434782609,577.8695652173913,-6742.739130434783,489.2608695652174,-6627.260869565217,604.7391304347826,-6711.565217391304,520.4347826086956,-6707.0,525.0,-5849.95652173913,1388.391304347826
-6765.347826086957,546.6521739130435,-6796.04347826087,515.9565217391304,-6728.130434782609,583.8695652173913,-6817.304347826087,494.69565217391306,-6700.521739130435,611.4782608695652,-6786.173913043478,525.8260869565217,-6782.04347826087,529.9565217391304,-5924.782608695652,1393.6521739130435
-6839.217391304348,552.7826086956521,-6869.826086956522,522.1739130434783,-6802.521739130435,589.4782608695652,-6891.521739130435,500.4782608695652,-6774.347826086957,617.6521739130435,-6860.565217391304,531.4347826086956,-6856.04347826087,535.9565217391304,-5999.391304347826,1399.1304347826087
-6913.434782608696,558.5652173913044,-6943.95652173913,528.0434782608696,-6876.347826086957,595.6521739130435,-6965.95652173913,506.04347826086956,-6848.260869565217,623.7391304347826,-6933.95652173913,538.0434782608696,-6930.086956521739,541.9130434782609,-6073.695652173913,1404.9130434782608
-6988.04347826087,563.9565217391304,-7018.434782608696,533.5652173913044,-6951.260869565217,600.7391304347826,-7039.95652173913,512.0434782608696,-6922.217391304348,629.7826086956521,-7007.869565217391,544.1304347826087,-7004.391304347826,547.6086956521739,-6148.521739130435,1410.1739130434783
-7061.130434782609,570.8695652173913,-7092.565217391304,539.4347826086956,-7025.217391304348,606.7826086956521,-7114.826086956522,517.1739130434783,-6996.04347826087,635.9565217391304,-7082.391304347826,549.6086956521739,-7078.652173913043,553.3478260869565,-6223.782608695652,1415.0
-7135.608695652174,576.3913043478261,-7167.130434782609,544.8695652173913,-7099.391304347826,612.6086956521739,-7189.869565217391,522.1304347826087,-7069.086956521739,642.9130434782609,-7157.826086956522,554.1739130434783,-7152.739130434783,559.2608695652174,-6298.391304347826,1420.4782608695652
-7210.391304347826,581.6086956521739,-7241.521739130435,550.4782608695652,-7172.869565217391,619.1304347826087,-7263.913043478261,528.0869565217391,-7142.130434782609,649.8695652173913,-7231.739130434783,560.2608695652174,-7226.913043478261,565.0869565217391,-6373.608695652174,1425.3478260869565
