Adaptive n,Adaptive p,CVIRS n,CVIRS p,Greedy_sample n,Greedy_sample p,MMC n,MMC p,MML n,MML p,Random n,Random p,Random_sample n,Random_sample p,STM_stable_validation n,STM_stable_validation p
-1363.4347826086957,108.56521739130434,-1363.3478260869565,108.65217391304348,-1359.8260869565217,112.17391304347827,-1363.6521739130435,108.34782608695652,-1359.7391304347825,112.26086956521739,-1362.391304347826,109.6086956521739,-1363.0,109.0,-1307.391304347826,164.69565217391303
-1436.7391304347825,115.26086956521739,-1438.304347826087,113.69565217391305,-1430.6521739130435,121.34782608695652,-1438.7391304347825,113.26086956521739,-1431.0434782608695,120.95652173913044,-1436.1304347826087,115.8695652173913,-1437.2173913043478,114.78260869565217,-1334.3478260869565,217.82608695652175
-1510.7826086956522,121.21739130434783,-1513.0,119.0,-1501.8695652173913,130.1304347826087,-1513.5217391304348,118.47826086956522,-1502.0434782608695,129.95652173913044,-1509.9130434782608,122.08695652173913,-1511.9565217391305,120.04347826086956,-1362.7391304347825,269.5217391304348
-1585.0434782608695,126.95652173913044,-1587.2173913043478,124.78260869565217,-1573.304347826087,138.69565217391303,-1587.4782608695652,124.52173913043478,-1573.7391304347825,138.2608695652174,-1584.2173913043478,127.78260869565217,-1586.7391304347825,125.26086956521739,-1395.1304347826087,317.2173913043478
-1658.3478260869565,133.65217391304347,-1661.8260869565217,130.17391304347825,-1645.0,147.0,-1662.6521739130435,129.34782608695653,-1645.391304347826,146.6086956521739,-1658.9130434782608,133.08695652173913,-1660.5652173913043,131.43478260869566,-1429.304347826087,363.1304347826087
-1732.5652173913043,139.43478260869566,-1736.5652173913043,135.43478260869566,-1718.304347826087,153.69565217391303,-1737.695652173913,134.30434782608697,-1717.0434782608695,154.95652173913044,-1733.3478260869565,138.65217391304347,-1734.8695652173913,137.1304347826087,-1466.9565217391305,405.5652173913044
-1806.4782608695652,145.52173913043478,-1810.608695652174,141.3913043478261,-1791.2173913043478,160.7826086956522,-1812.7826086956522,139.2173913043478,-1789.6521739130435,162.34782608695653,-1806.6521739130435,145.34782608695653,-1809.0869565217392,142.91304347826087,-1504.304347826087,448.30434782608694
-1880.8260869565217,151.17391304347825,-1884.8695652173913,147.1304347826087,-1863.9130434782608,168.08695652173913,-1887.695652173913,144.30434782608697,-1862.2173913043478,169.7826086956522,-1880.9565217391305,151.04347826086956,-1883.2173913043478,148.7826086956522,-1545.8260869565217,486.8695652173913
-1954.4347826086957,157.56521739130434,-1959.7826086956522,152.2173913043478,-1937.3478260869565,174.65217391304347,-1962.608695652174,149.3913043478261,-1934.4347826086957,177.56521739130434,-1955.1739130434783,156.82608695652175,-1957.391304347826,154.6086956521739,-1587.4347826086957,525.3478260869565
-2028.5217391304348,163.47826086956522,-2034.2173913043478,157.7826086956522,-2010.4347826086957,181.56521739130434,-2037.695652173913,154.30434782608697,-2007.0,185.0,-2029.6521739130435,162.34782608695653,-2031.7826086956522,160.2173913043478,-1631.1304347826087,561.7391304347826
-2103.1739130434785,168.82608695652175,-2108.4347826086955,163.56521739130434,-2083.5652173913045,188.43478260869566,-2112.7391304347825,159.2608695652174,-2079.6521739130435,192.34782608695653,-2103.478260869565,168.52173913043478,-2105.695652173913,166.30434782608697,-1675.608695652174,597.3478260869565
