Adaptive,CVIRS,Greedy_sample,MMC,MML,Random,Random_sample,STM_stable_validation
0.016940622726292362,0.016940622726292362,0.016940622726292362,0.016940622726292362,0.016940622726292362,0.016940622726292362,0.016940622726292362,0.016940622726292362
0.033211314679447726,0.021934626507673048,0.02863033203846085,0.014572950232547916,0.03179983197686638,0.021204986971321484,0.020880581522878527,0.12430644333364783
0.03940562085472883,0.024325744016680605,0.03643742469321029,0.012783941212501782,0.037701705505559506,0.024789988976953926,0.02240662519963841,0.17087529960239267
0.04976080311302784,0.02951943449724853,0.03874180613715479,0.01150221567634806,0.04137739799239917,0.027225458602872732,0.025451170903603285,0.19985652819438798
0.057347179458349135,0.031662665157954434,0.0414438779432854,0.010999212170250718,0.04403108301209978,0.03281751479228585,0.02966178050825487,0.2249237174653959
0.05777388083122033,0.03290129913359653,0.04761550949215708,0.010349858371823801,0.04669784123504271,0.03552345244516756,0.03080308625870621,0.2388878008813044
0.060141073234970865,0.03391545045283371,0.054593595302777555,0.010325467602743712,0.04946142980144723,0.03715215899102413,0.03381798361297389,0.25658993628967997
0.06314831818092449,0.03463111978535583,0.058952178998854896,0.009252608253381464,0.05152659565084554,0.04085040227141218,0.03703214545261871,0.2617918557147215
0.06628056390161449,0.03696983661104442,0.06331946352881346,0.009044655809617183,0.05380118556443124,0.04405017847678691,0.04077811822979819,0.270645830059817
0.07099730556962436,0.03800450424308344,0.06723335810133999,0.008676195971739513,0.05643108406246701,0.04690117446969594,0.043117502954092855,0.2743328156841417
0.07139198565906832,0.03820438706644938,0.07031442618575011,0.008674082610463648,0.05930179185538891,0.04856871027418028,0.04454742290768594,0.2801383358198068
0.07334268182331749,0.04146515818178864,0.07434661470354767,0.008531268435507628,0.065637331663294,0.05233783419349753,0.048442357508356786,0.2850657197605144
0.0751230072843764,0.04228361084207783,0.07655372327995028,0.007841168176022257,0.06861971321986492,0.05684090946672103,0.053615616204638325,0.2895020503754036
0.07699939836766331,0.043871806679831885,0.08219449191196945,0.007275192830534396,0.07386834724253498,0.060217102764196215,0.05448701488705751,0.2913121687293984
0.08050929412292482,0.04375698010499529,0.08847432439959593,0.007288696540654413,0.07790598291231207,0.06270721706679454,0.056365731008052755,0.2942823265694002
0.08063472967200973,0.0449354449329334,0.09536366366268781,0.008401921779940542,0.08179656021888544,0.06481454664017558,0.0596571784630156,0.2938456257576726
0.08332061544319108,0.046094198521345144,0.09955669245389248,0.008899493817337633,0.08450698876226188,0.06631672665695548,0.06208358145417567,0.2967828041494678
