,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18,n19,p19,n20,p20
0,-90,16,-59,56,-104,3,-106,2,-92,18,-105,9,-105,5,-87,17,-94,15,-112,8,-108,2,-108,2,-104,2,-108,3,-108,3,-88,25,-98,8,-108,5,-104,4,-93,11,-112,3
1,-99,19,-62,62,-116,3,-118,2,-99,19,-121,9,-113,5,-96,20,-103,15,-121,9,-118,2,-115,2,-113,2,-115,3,-118,3,-99,27,-108,9,-120,5,-116,4,-100,11,-116,3
2,-103,19,-63,71,-127,3,-124,2,-113,19,-130,9,-121,5,-101,25,-110,15,-133,10,-131,3,-127,2,-120,2,-129,3,-128,3,-102,33,-118,11,-130,5,-124,4,-107,12,-129,4
3,-118,19,-70,78,-135,3,-138,2,-121,21,-142,9,-130,5,-109,29,-121,17,-136,10,-138,3,-136,2,-128,2,-143,3,-135,3,-111,36,-129,11,-134,6,-134,4,-114,12,-139,4
4,-124,20,-76,85,-146,3,-147,2,-131,21,-154,9,-142,5,-116,30,-131,18,-145,11,-147,3,-147,2,-135,2,-158,3,-146,3,-119,38,-140,11,-145,8,-140,5,-118,12,-148,4
5,-134,21,-86,95,-153,4,-157,2,-133,23,-163,10,-155,6,-122,30,-147,19,-152,11,-153,3,-150,2,-140,3,-174,3,-151,3,-124,40,-154,11,-153,8,-154,5,-129,12,-161,4
6,-139,22,-94,101,-165,4,-169,2,-138,26,-174,12,-164,6,-131,31,-158,20,-162,11,-162,3,-156,2,-147,3,-183,3,-160,3,-132,41,-163,11,-164,8,-167,5,-141,12,-171,4
7,-149,23,-100,104,-176,4,-174,2,-149,29,-179,12,-175,6,-143,36,-166,20,-171,11,-171,3,-164,2,-159,3,-191,3,-176,4,-142,43,-170,11,-170,8,-176,5,-154,12,-180,4
8,-155,23,-104,111,-182,4,-182,2,-161,29,-194,12,-184,6,-147,41,-175,20,-179,13,-184,3,-179,2,-170,3,-199,3,-181,4,-149,48,-184,12,-175,8,-186,5,-164,13,-190,4
9,-160,24,-105,120,-197,5,-192,2,-175,31,-198,13,-196,6,-157,43,-183,20,-188,13,-196,3,-184,2,-184,3,-210,3,-190,4,-156,50,-195,12,-185,8,-195,6,-172,13,-196,5
