,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-33,27,-49,18,-42,21,-50,12,-33,32,-28,38,-48,19,-49,16,-31,31,-41,27,-33,30,-43,23,-42,25,-48,21
1,-40,33,-53,21,-51,25,-58,15,-36,36,-31,42,-59,25,-58,21,-37,36,-43,31,-36,36,-49,24,-49,27,-56,22
2,-46,41,-55,24,-59,30,-63,18,-41,39,-35,51,-62,28,-66,24,-41,41,-48,32,-42,44,-55,24,-59,29,-68,25
3,-53,47,-64,27,-68,33,-68,22,-49,41,-38,59,-70,32,-70,24,-46,45,-54,33,-49,52,-66,27,-61,31,-74,27
4,-60,51,-71,31,-74,35,-72,25,-56,45,-44,63,-77,35,-77,24,-55,52,-56,34,-54,59,-75,30,-66,35,-85,29
5,-63,55,-76,32,-77,37,-73,27,-62,54,-47,71,-85,38,-84,27,-60,58,-60,37,-66,63,-79,33,-71,42,-99,34
6,-71,58,-85,36,-85,37,-81,30,-65,57,-52,74,-96,41,-93,32,-63,62,-68,38,-69,67,-90,37,-80,45,-104,34
7,-77,64,-89,40,-89,42,-86,32,-70,60,-57,80,-103,43,-101,36,-67,72,-76,41,-75,70,-97,40,-87,48,-111,37
8,-84,69,-99,42,-95,44,-94,36,-79,63,-59,84,-115,44,-104,38,-69,80,-81,44,-82,76,-102,43,-93,52,-119,40
9,-90,75,-108,46,-100,48,-101,38,-80,66,-67,88,-124,49,-110,39,-70,88,-86,47,-87,79,-109,44,-99,59,-129,44
10,-94,79,-118,47,-110,54,-113,41,-88,68,-73,89,-131,53,-116,40,-72,95,-96,49,-93,82,-114,46,-107,64,-134,44
11,-98,86,-123,53,-120,56,-120,42,-91,73,-78,96,-137,57,-124,42,-79,97,-105,54,-98,88,-117,47,-115,67,-140,47
12,-102,90,-134,57,-128,58,-125,45,-100,77,-78,99,-146,60,-134,43,-81,100,-110,54,-107,96,-127,52,-122,69,-147,49
13,-111,92,-143,60,-137,61,-131,46,-107,84,-82,102,-155,60,-138,46,-83,103,-117,54,-116,102,-137,56,-131,75,-150,51
14,-117,97,-151,63,-144,62,-134,48,-112,87,-90,109,-158,62,-143,50,-86,111,-124,57,-120,109,-140,59,-142,79,-160,56
15,-122,101,-159,72,-149,64,-140,52,-116,90,-96,114,-161,66,-147,55,-93,116,-134,60,-124,114,-143,61,-146,85,-170,60
16,-130,104,-169,72,-155,65,-144,53,-123,99,-102,120,-167,66,-155,58,-95,120,-141,64,-129,117,-155,63,-152,88,-180,64
17,-136,107,-181,76,-165,72,-151,54,-129,105,-110,127,-174,68,-161,59,-101,121,-148,66,-134,121,-159,66,-158,90,-183,68
18,-141,110,-192,77,-174,74,-161,54,-138,111,-117,132,-183,70,-169,61,-101,127,-156,66,-142,125,-165,67,-163,93,-189,72
19,-147,113,-199,78,-183,77,-170,54,-142,114,-125,138,-188,74,-178,65,-106,131,-165,67,-148,132,-173,71,-173,93,-191,75
20,-154,114,-207,81,-190,78,-178,56,-145,115,-127,145,-198,75,-187,69,-109,141,-172,71,-154,135,-181,72,-178,97,-202,79
21,-159,115,-211,82,-199,79,-181,57,-149,118,-133,151,-202,76,-194,75,-115,149,-188,76,-163,140,-186,76,-189,100,-206,81
22,-171,117,-217,83,-206,83,-185,62,-155,123,-138,156,-209,78,-201,76,-118,153,-195,79,-169,143,-195,82,-194,102,-214,86
23,-174,123,-222,84,-214,85,-196,64,-164,130,-140,160,-221,81,-203,79,-121,158,-199,81,-176,145,-206,89,-202,103,-221,89
24,-180,125,-228,87,-220,87,-205,65,-165,134,-143,168,-228,82,-211,80,-129,163,-212,82,-183,154,-209,96,-212,107,-226,89
25,-184,131,-234,88,-228,89,-209,68,-166,139,-143,172,-237,84,-219,82,-133,175,-223,85,-195,156,-215,101,-217,111,-233,93
26,-196,135,-240,91,-232,92,-221,70,-168,143,-147,177,-245,87,-224,82,-134,184,-233,87,-203,157,-223,107,-222,114,-240,96
27,-208,139,-253,91,-241,94,-230,72,-174,146,-150,188,-250,94,-230,82,-138,194,-236,88,-205,162,-230,108,-224,119,-247,97
28,-213,145,-261,94,-246,96,-238,73,-182,149,-160,195,-263,95,-239,85,-139,199,-242,88,-209,165,-233,111,-233,123,-255,99
29,-218,147,-273,95,-254,100,-250,73,-186,156,-162,201,-264,99,-248,86,-145,207,-246,88,-217,171,-240,113,-236,124,-268,103
30,-224,150,-282,99,-263,105,-258,74,-194,160,-163,206,-273,102,-257,87,-149,214,-254,91,-222,173,-249,116,-240,126,-273,106
31,-226,152,-292,103,-270,107,-268,78,-199,164,-169,212,-279,102,-259,93,-154,221,-257,99,-227,179,-257,119,-248,129,-277,110
32,-232,159,-296,106,-274,108,-273,80,-204,166,-175,217,-287,103,-266,97,-159,234,-262,104,-232,184,-265,120,-254,136,-285,112
33,-238,162,-303,108,-279,113,-280,82,-209,170,-181,221,-288,106,-273,100,-164,237,-272,110,-239,186,-275,122,-260,140,-299,113
34,-242,166,-311,110,-286,115,-293,84,-217,175,-182,228,-297,110,-279,103,-169,244,-279,114,-243,190,-282,124,-264,143,-306,114
35,-249,175,-325,111,-293,116,-298,84,-221,180,-187,236,-302,112,-284,107,-172,248,-287,120,-249,193,-285,127,-271,149,-313,116
36,-254,178,-336,112,-303,119,-311,87,-224,183,-194,239,-309,115,-289,110,-172,253,-292,125,-255,196,-290,130,-279,154,-316,125
37,-259,181,-347,114,-313,122,-319,89,-233,188,-196,242,-319,115,-295,110,-176,261,-298,131,-263,200,-298,132,-283,158,-318,130
38,-263,184,-355,116,-322,125,-329,92,-240,191,-201,253,-326,116,-300,116,-177,274,-300,132,-270,204,-308,136,-285,159,-325,131
39,-265,189,-366,120,-330,128,-337,93,-246,196,-205,260,-332,117,-308,120,-182,276,-307,135,-278,206,-313,139,-289,167,-333,133
40,-269,195,-375,120,-334,128,-348,95,-252,205,-208,265,-346,119,-316,121,-186,283,-316,138,-282,214,-317,140,-292,170,-341,135
41,-277,196,-381,123,-342,135,-355,95,-258,209,-212,271,-355,122,-324,122,-192,290,-325,139,-291,221,-322,143,-297,172,-343,138
42,-285,202,-391,125,-350,137,-361,96,-267,218,-219,276,-361,125,-331,126,-195,298,-330,143,-293,223,-329,146,-302,172,-349,140
43,-292,207,-397,131,-355,141,-371,96,-271,220,-224,282,-369,130,-340,132,-199,301,-335,145,-299,229,-336,149,-305,175,-357,142
44,-295,213,-403,134,-362,144,-373,98,-275,223,-228,290,-377,134,-351,137,-202,307,-342,151,-303,233,-342,153,-311,178,-362,149
45,-297,217,-408,137,-370,147,-377,100,-281,230,-230,299,-381,138,-362,138,-204,317,-351,153,-311,235,-348,155,-321,183,-369,151
46,-304,224,-414,140,-374,149,-389,101,-291,234,-236,304,-389,144,-366,140,-207,322,-356,155,-312,239,-356,156,-324,191,-378,155
47,-308,228,-420,143,-380,151,-401,103,-300,237,-239,309,-401,144,-372,140,-212,333,-360,156,-318,243,-363,159,-329,197,-384,160
48,-312,233,-428,145,-388,152,-411,104,-306,241,-240,314,-405,146,-379,146,-218,335,-372,161,-321,247,-370,165,-339,202,-388,162
49,-315,239,-431,147,-397,155,-418,107,-312,243,-247,316,-409,149,-387,148,-224,342,-383,164,-329,250,-379,167,-348,208,-392,164
50,-318,243,-437,148,-406,160,-430,109,-318,246,-248,321,-415,150,-394,148,-232,348,-387,169,-335,253,-387,172,-358,214,-400,164
51,-323,246,-446,150,-413,162,-438,112,-323,252,-250,323,-422,155,-399,151,-238,350,-393,173,-343,255,-395,178,-366,217,-408,169
52,-324,249,-452,151,-422,165,-446,113,-329,257,-250,331,-426,159,-406,154,-242,355,-399,183,-348,257,-405,180,-376,222,-416,173
53,-331,256,-461,152,-429,167,-454,116,-336,263,-257,333,-430,160,-415,156,-249,358,-405,185,-351,262,-420,181,-384,222,-421,176
54,-339,260,-466,154,-433,170,-470,118,-343,268,-264,339,-436,162,-427,158,-250,365,-408,191,-357,265,-423,184,-390,226,-427,177
55,-342,263,-472,158,-437,173,-480,119,-348,272,-267,343,-446,166,-443,162,-253,374,-418,194,-359,270,-429,187,-396,227,-433,179
56,-352,268,-479,161,-443,174,-487,123,-355,277,-271,345,-459,166,-452,162,-255,378,-430,199,-363,274,-432,190,-404,229,-440,182
57,-355,273,-482,164,-449,176,-495,124,-359,283,-278,351,-468,167,-460,163,-257,385,-437,203,-369,278,-440,195,-409,232,-452,186
58,-364,276,-486,166,-458,178,-502,125,-362,290,-286,356,-475,167,-474,167,-259,390,-445,207,-373,283,-443,199,-415,239,-458,187
59,-367,278,-493,169,-463,183,-511,127,-367,293,-292,362,-480,169,-480,169,-269,394,-452,211,-379,288,-448,203,-421,243,-469,190
60,-373,281,-500,173,-472,185,-519,127,-369,300,-297,372,-488,169,-486,171,-276,401,-456,214,-385,290,-457,211,-425,248,-473,192
61,-378,282,-513,177,-478,191,-525,127,-373,307,-304,376,-494,170,-492,174,-283,406,-464,215,-392,293,-464,217,-431,250,-479,195
62,-385,287,-523,178,-489,195,-534,130,-377,310,-306,383,-499,173,-499,178,-285,416,-470,218,-399,297,-472,220,-436,251,-484,196
63,-391,292,-532,180,-498,203,-543,132,-382,314,-311,386,-511,175,-504,180,-290,418,-478,220,-403,298,-482,224,-442,254,-488,199
64,-399,296,-543,182,-504,206,-549,134,-384,318,-317,393,-520,177,-514,182,-294,422,-487,225,-406,302,-489,227,-447,258,-492,203
65,-403,300,-547,186,-515,207,-564,136,-388,327,-320,401,-528,178,-519,183,-301,428,-490,229,-409,304,-496,229,-454,263,-501,204
66,-409,306,-556,187,-521,212,-570,139,-395,329,-327,403,-532,182,-524,190,-303,436,-500,231,-414,306,-502,229,-461,265,-513,208
67,-413,312,-569,189,-525,213,-587,140,-398,333,-333,409,-539,184,-531,194,-306,441,-506,237,-423,308,-506,233,-466,269,-513,213
68,-418,315,-577,191,-530,215,-594,141,-405,341,-339,416,-545,188,-537,197,-308,445,-517,244,-432,311,-513,236,-468,270,-522,215
69,-427,316,-585,192,-540,218,-601,142,-410,345,-344,421,-556,191,-545,200,-310,454,-523,246,-440,318,-515,239,-473,275,-527,217
70,-433,317,-591,194,-550,225,-609,148,-416,351,-352,427,-567,193,-548,204,-316,457,-529,248,-443,323,-519,246,-479,278,-529,218
71,-444,323,-596,197,-555,226,-618,150,-421,356,-353,431,-578,194,-558,206,-320,459,-531,252,-446,328,-524,252,-491,281,-538,222
72,-453,330,-604,198,-564,228,-629,153,-426,360,-358,438,-584,196,-562,209,-323,465,-534,255,-447,331,-535,257,-498,287,-544,222
73,-461,335,-610,198,-568,229,-638,154,-433,365,-361,446,-592,199,-572,211,-325,470,-543,259,-453,334,-544,258,-506,290,-553,223
74,-469,341,-615,200,-572,234,-645,157,-436,369,-365,452,-601,200,-575,211,-330,477,-546,265,-461,342,-551,260,-511,296,-565,224
75,-472,343,-621,202,-581,236,-655,159,-441,374,-367,457,-611,201,-583,212,-334,482,-558,269,-465,347,-557,262,-521,298,-575,227
76,-475,349,-624,208,-590,238,-662,162,-448,377,-373,464,-617,204,-601,212,-339,489,-562,269,-469,353,-567,268,-523,300,-579,228
77,-477,357,-630,209,-598,241,-670,165,-453,381,-377,474,-627,206,-607,213,-343,491,-569,270,-477,358,-572,270,-534,303,-589,229
78,-484,362,-638,210,-607,247,-675,166,-457,386,-380,479,-637,207,-613,216,-349,495,-577,274,-486,361,-579,274,-536,310,-592,233
79,-486,369,-644,214,-613,250,-683,166,-466,393,-384,483,-644,208,-616,219,-356,499,-585,279,-488,366,-582,278,-541,315,-601,242
