,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-24,12,-24,6,-20,18,-23,10,-19,13,-21,14
1,-25,18,-25,6,-22,19,-24,14,-27,15,-23,16
2,-31,20,-26,6,-25,22,-26,20,-28,15,-26,19
3,-33,23,-27,6,-27,26,-28,22,-32,21,-27,22
4,-35,28,-27,6,-35,27,-31,22,-34,22,-32,25
5,-40,28,-27,7,-37,32,-31,24,-38,23,-39,28
6,-41,32,-28,8,-41,36,-33,26,-40,27,-43,29
7,-43,36,-28,8,-43,44,-35,28,-44,28,-44,33
8,-45,37,-29,9,-45,46,-39,29,-47,31,-49,38
9,-47,40,-30,12,-46,50,-42,33,-48,32,-53,41
10,-47,40,-32,14,-50,54,-43,35,-50,32,-61,46
11,-47,40,-33,17,-52,59,-48,39,-50,34,-64,51
12,-49,42,-34,18,-54,62,-49,43,-55,38,-66,54
13,-52,45,-34,18,-58,67,-51,43,-56,39,-68,63
14,-55,47,-35,18,-59,70,-51,47,-58,43,-75,66
15,-56,50,-36,21,-64,73,-51,50,-61,43,-79,70
16,-58,52,-37,21,-64,74,-55,51,-66,46,-84,76
17,-61,53,-39,22,-66,79,-56,52,-68,51,-88,79
18,-64,56,-41,23,-68,82,-56,56,-70,52,-90,86
19,-67,58,-42,25,-70,86,-58,60,-71,53,-94,90
20,-71,60,-45,25,-73,92,-60,60,-74,53,-97,94
21,-73,62,-47,27,-78,98,-62,61,-76,56,-99,95
22,-73,64,-52,29,-79,103,-63,64,-79,57,-103,98
23,-76,68,-54,31,-82,105,-66,66,-80,57,-108,101
24,-76,68,-58,33,-86,111,-66,67,-85,60,-111,103
25,-78,71,-60,33,-88,113,-67,68,-96,62,-113,105
26,-82,73,-66,33,-91,119,-68,69,-98,64,-114,107
27,-85,75,-70,33,-98,119,-70,71,-101,66,-117,109
28,-87,76,-72,36,-100,123,-72,71,-105,68,-122,112
29,-89,76,-76,40,-101,126,-74,72,-108,69,-130,113
30,-91,78,-81,42,-104,128,-75,72,-111,72,-135,115
31,-93,80,-86,43,-108,131,-75,76,-113,74,-139,116
32,-95,81,-89,44,-109,137,-79,78,-115,76,-141,120
33,-98,82,-95,46,-111,139,-82,79,-117,78,-144,123
34,-99,85,-99,48,-117,140,-84,82,-121,78,-148,123
35,-101,88,-101,50,-118,143,-86,85,-126,82,-151,123
36,-103,90,-105,50,-119,148,-87,87,-131,85,-153,126
37,-110,94,-105,50,-121,156,-89,88,-133,85,-155,128
38,-113,95,-110,55,-127,156,-89,88,-135,88,-158,130
39,-114,98,-121,57,-127,159,-90,89,-138,88,-163,130
40,-119,98,-124,58,-130,163,-90,92,-141,91,-168,130
41,-120,100,-128,61,-132,163,-90,94,-149,93,-173,131
42,-123,100,-133,63,-134,165,-90,94,-153,95,-180,134
43,-126,101,-137,63,-140,167,-92,94,-157,98,-184,135
44,-130,103,-138,65,-143,171,-93,96,-161,98,-189,137
45,-134,107,-144,67,-144,174,-94,97,-165,99,-191,138
46,-140,110,-146,68,-147,177,-95,99,-169,100,-193,140
47,-142,111,-149,71,-151,181,-97,102,-173,100,-197,140
48,-146,112,-151,74,-151,183,-101,104,-177,104,-200,141
49,-155,115,-154,75,-156,185,-103,104,-181,105,-200,141
50,-157,118,-156,77,-158,186,-105,107,-185,111,-202,142
51,-164,119,-164,77,-160,186,-107,109,-189,113,-203,143
52,-167,119,-168,77,-166,190,-110,110,-194,113,-205,145
53,-170,120,-171,78,-169,191,-113,111,-200,115,-208,148
54,-175,120,-174,80,-172,194,-116,112,-202,116,-215,148
55,-182,120,-176,82,-177,195,-119,113,-208,116,-217,149
56,-185,121,-181,83,-182,197,-124,113,-213,118,-218,149
57,-191,125,-186,83,-186,201,-126,113,-214,118,-221,150
58,-194,129,-189,83,-191,203,-129,113,-219,120,-223,151
59,-197,129,-195,87,-195,206,-132,113,-224,122,-223,151
60,-202,129,-199,89,-198,208,-136,113,-227,122,-230,151
61,-208,129,-203,93,-198,208,-138,114,-233,126,-233,151
62,-211,129,-210,96,-203,208,-140,114,-236,128,-237,152
63,-212,132,-214,96,-211,210,-145,114,-241,128,-239,152
64,-214,132,-223,99,-212,210,-150,114,-246,131,-241,152
65,-217,132,-225,104,-213,211,-154,116,-254,132,-244,152
66,-221,134,-230,107,-216,212,-159,117,-256,132,-248,152
67,-225,134,-230,109,-220,214,-166,117,-263,132,-252,152
68,-232,135,-234,110,-222,214,-171,118,-270,133,-252,153
69,-234,137,-244,110,-225,215,-175,118,-273,135,-255,153
70,-239,138,-249,111,-229,216,-177,118,-279,137,-258,153
71,-246,140,-250,112,-231,218,-184,118,-280,138,-264,153
72,-252,142,-256,115,-234,219,-188,119,-283,139,-264,153
73,-256,143,-261,117,-236,220,-195,119,-286,140,-268,153
74,-264,143,-264,119,-239,221,-201,119,-289,141,-270,154
75,-267,144,-269,120,-243,222,-207,120,-294,141,-273,154
76,-270,145,-274,121,-248,224,-210,121,-297,142,-277,155
77,-275,146,-278,121,-250,224,-213,121,-307,143,-281,155
78,-277,146,-286,122,-252,225,-219,121,-315,144,-282,155
79,-280,146,-289,124,-255,226,-227,121,-319,145,-285,157
