,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-64,2,-60,6,-60,6,-60,13,-61,13,-60,6,-60,6,-62,4,-62,4,-101,16,-68,10,-59,7,-63,15,-63,3,-64,2,-63,3,-62,4,-63,3
1,-64,2,-60,9,-60,6,-61,14,-62,17,-80,11,-62,10,-62,4,-62,4,-101,16,-68,10,-59,16,-96,15,-63,6,-64,2,-63,3,-65,5,-63,3
2,-64,2,-82,37,-60,6,-61,14,-70,22,-81,12,-63,13,-62,4,-62,4,-101,16,-68,10,-59,16,-96,15,-65,6,-64,2,-77,3,-66,5,-67,3
3,-64,2,-137,37,-60,8,-61,14,-70,23,-81,12,-91,14,-62,4,-62,4,-101,16,-68,10,-61,17,-96,15,-65,6,-64,2,-77,3,-66,5,-67,3
4,-64,2,-147,37,-126,13,-61,14,-70,23,-81,12,-91,15,-62,4,-62,4,-101,16,-68,10,-68,17,-96,15,-66,6,-64,2,-77,3,-66,5,-67,3
5,-64,2,-155,37,-132,13,-98,17,-70,23,-83,12,-92,20,-62,4,-62,4,-108,21,-84,10,-68,17,-96,15,-66,6,-64,2,-77,3,-66,5,-67,3
6,-64,2,-200,37,-132,13,-98,17,-70,23,-83,12,-92,20,-62,4,-62,4,-152,21,-84,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
7,-64,2,-271,39,-132,13,-98,17,-80,23,-83,12,-92,20,-62,4,-62,4,-159,21,-84,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
8,-64,2,-272,42,-132,13,-103,17,-80,23,-83,12,-92,20,-62,4,-62,4,-240,21,-84,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
9,-64,2,-318,44,-132,13,-106,17,-80,23,-83,12,-92,20,-62,4,-62,4,-278,22,-84,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
10,-64,2,-318,44,-132,13,-106,17,-80,23,-83,12,-92,20,-62,4,-62,4,-367,22,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
11,-64,2,-341,47,-132,13,-107,17,-80,31,-83,12,-92,20,-62,4,-62,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
12,-64,2,-341,47,-132,13,-107,17,-170,31,-83,12,-92,20,-62,4,-62,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
13,-64,2,-341,47,-132,13,-107,17,-260,31,-83,12,-92,20,-62,4,-62,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
14,-64,2,-341,47,-132,13,-107,17,-350,31,-83,12,-92,20,-62,4,-62,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
15,-64,2,-378,47,-132,13,-107,17,-403,31,-83,12,-92,20,-62,4,-62,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
16,-64,2,-440,47,-132,13,-107,17,-430,32,-83,12,-92,20,-62,4,-62,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
17,-64,2,-523,49,-132,13,-107,17,-431,32,-83,12,-92,20,-62,4,-66,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
18,-64,2,-528,53,-132,13,-107,17,-431,113,-83,12,-92,20,-62,4,-66,4,-421,23,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-66,5,-67,3
19,-64,2,-528,68,-132,13,-107,17,-431,165,-83,12,-92,20,-62,4,-66,4,-442,24,-85,10,-68,17,-96,15,-66,7,-64,2,-77,3,-67,5,-67,3
20,-64,2,-528,68,-132,13,-111,17,-431,165,-83,12,-92,20,-62,4,-66,4,-526,25,-85,10,-68,17,-96,15,-66,7,-64,2,-77,4,-67,5,-67,3
21,-64,2,-528,68,-132,13,-142,17,-431,165,-83,12,-93,20,-62,5,-66,4,-540,51,-85,10,-85,17,-96,15,-66,7,-64,2,-77,4,-67,5,-67,3
22,-64,2,-528,68,-132,13,-214,17,-431,165,-83,12,-93,20,-62,5,-66,4,-540,56,-85,10,-85,17,-109,15,-66,7,-64,2,-77,4,-67,5,-67,3
23,-64,2,-528,68,-132,13,-294,17,-431,165,-89,12,-93,20,-62,5,-66,4,-540,56,-85,10,-85,17,-112,15,-66,7,-64,2,-78,4,-67,5,-67,3
24,-64,2,-528,68,-132,13,-371,21,-431,165,-95,12,-93,20,-62,5,-66,4,-540,56,-85,10,-85,17,-114,15,-66,7,-64,2,-78,4,-68,5,-67,3
25,-64,2,-528,68,-132,13,-451,21,-431,165,-95,12,-93,20,-62,10,-66,4,-540,56,-85,10,-85,17,-114,15,-66,7,-66,2,-78,4,-68,8,-67,3
26,-64,2,-528,68,-132,13,-451,21,-431,165,-95,12,-93,20,-146,10,-66,4,-540,56,-85,10,-85,17,-114,15,-66,7,-66,2,-78,4,-74,8,-67,3
27,-64,2,-528,68,-132,13,-530,23,-431,165,-95,12,-93,20,-146,10,-66,4,-540,56,-88,10,-86,17,-114,15,-66,7,-66,2,-78,4,-79,8,-67,3
28,-64,2,-528,68,-132,13,-554,42,-431,165,-95,12,-98,20,-146,10,-66,4,-540,56,-89,10,-103,17,-128,15,-75,8,-66,2,-78,4,-79,8,-67,3
29,-64,2,-528,68,-133,13,-554,42,-431,165,-98,12,-110,20,-146,10,-66,4,-540,56,-89,10,-104,17,-191,15,-79,8,-67,3,-78,4,-81,10,-67,3
30,-64,2,-528,68,-133,13,-554,42,-431,165,-98,12,-110,20,-146,10,-66,4,-540,56,-89,10,-104,17,-191,15,-79,8,-74,5,-78,4,-122,13,-104,3
31,-64,2,-528,68,-133,13,-554,42,-431,165,-99,12,-115,20,-146,10,-66,4,-540,56,-89,10,-108,17,-249,15,-81,8,-94,5,-78,4,-122,13,-104,3
32,-64,2,-528,68,-133,13,-554,42,-431,165,-99,12,-115,20,-146,10,-68,4,-540,56,-89,10,-110,17,-331,19,-81,8,-94,5,-78,4,-122,13,-104,3
33,-64,2,-528,68,-133,13,-554,42,-431,165,-99,12,-115,20,-146,10,-68,4,-540,56,-110,10,-110,17,-400,19,-81,8,-94,5,-78,4,-122,13,-104,3
34,-64,2,-528,68,-133,13,-554,42,-431,165,-102,12,-134,20,-146,10,-68,4,-540,56,-110,10,-137,17,-429,19,-91,8,-94,5,-79,5,-122,13,-104,3
35,-64,2,-528,68,-133,13,-554,42,-431,165,-102,12,-134,20,-146,10,-70,4,-540,56,-110,10,-137,17,-479,19,-91,8,-94,5,-116,6,-122,13,-104,3
36,-64,2,-528,68,-133,13,-554,42,-431,165,-107,12,-134,20,-146,10,-70,4,-540,56,-110,10,-139,19,-559,20,-91,8,-94,5,-116,6,-122,13,-104,3
37,-64,2,-528,68,-133,13,-554,42,-431,165,-107,12,-134,20,-146,10,-92,4,-540,56,-110,10,-180,22,-565,31,-97,9,-94,5,-116,6,-122,13,-104,3
38,-66,2,-528,68,-133,13,-554,42,-431,165,-107,12,-221,20,-146,10,-92,4,-540,56,-110,10,-180,22,-565,31,-98,9,-94,5,-116,6,-122,13,-104,3
39,-66,2,-528,68,-133,13,-554,42,-431,165,-121,12,-258,20,-146,10,-92,4,-540,56,-114,10,-214,22,-565,31,-98,9,-94,5,-116,6,-123,13,-104,3
40,-66,2,-528,68,-133,13,-554,42,-431,165,-121,12,-325,20,-146,10,-92,4,-540,56,-114,10,-234,22,-565,31,-98,9,-94,5,-119,6,-123,13,-104,3
41,-68,2,-528,68,-133,13,-554,42,-431,165,-123,13,-342,20,-146,10,-92,4,-540,56,-114,10,-290,22,-565,31,-110,9,-94,5,-119,6,-123,13,-104,3
42,-68,2,-528,68,-133,13,-554,42,-431,165,-123,13,-432,20,-146,10,-92,4,-540,56,-114,10,-290,22,-565,31,-110,9,-94,5,-119,6,-123,13,-104,3
43,-68,2,-528,68,-133,13,-554,42,-431,165,-123,13,-522,20,-146,10,-92,4,-540,56,-114,10,-290,22,-565,31,-110,9,-94,5,-119,6,-123,13,-104,3
