,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-66,3,-65,4,-62,7,-61,15,-62,18,-63,6,-63,6,-64,5,-66,3,-111,19,-63,10,-64,5,-63,13,-65,4,-65,4,-66,3,-65,4,-65,4
1,-66,3,-65,4,-62,7,-61,16,-95,20,-63,6,-63,6,-64,5,-66,3,-132,19,-63,11,-64,5,-94,14,-65,4,-65,4,-66,3,-65,4,-65,4
2,-66,3,-65,4,-62,7,-61,16,-164,26,-63,8,-63,7,-64,5,-66,3,-132,19,-68,13,-64,6,-96,14,-65,4,-65,5,-66,3,-65,4,-66,4
3,-66,3,-65,9,-62,8,-62,19,-186,26,-69,13,-63,10,-64,6,-66,3,-147,19,-91,13,-64,9,-96,14,-65,5,-65,6,-66,3,-65,4,-66,4
4,-66,3,-84,19,-62,8,-110,20,-186,26,-71,13,-64,13,-64,6,-66,3,-147,19,-91,13,-64,9,-96,14,-71,5,-65,6,-66,3,-65,4,-66,4
5,-66,3,-128,40,-62,8,-110,20,-186,26,-71,13,-88,14,-64,6,-66,3,-147,19,-91,13,-64,9,-96,14,-71,5,-65,6,-66,3,-65,4,-66,4
6,-66,3,-205,40,-62,8,-110,20,-199,26,-71,13,-88,14,-64,6,-66,3,-147,19,-91,13,-64,9,-96,14,-71,5,-65,6,-66,3,-65,4,-66,4
7,-66,3,-265,40,-62,8,-110,20,-222,26,-71,13,-89,19,-64,6,-66,3,-147,19,-91,13,-64,9,-96,14,-72,5,-65,6,-66,3,-65,4,-66,4
8,-66,3,-271,40,-62,8,-110,20,-296,26,-71,13,-89,19,-64,6,-66,3,-147,19,-91,13,-73,10,-96,14,-72,5,-65,6,-66,3,-65,4,-66,4
9,-66,3,-308,40,-62,8,-110,20,-349,26,-71,13,-89,19,-64,6,-66,3,-147,19,-91,13,-73,10,-96,14,-72,5,-65,6,-66,3,-65,4,-66,4
10,-66,3,-363,41,-62,8,-110,20,-383,26,-71,13,-89,19,-64,6,-66,3,-147,19,-91,13,-73,10,-96,14,-72,5,-65,6,-66,3,-65,4,-66,4
11,-66,3,-451,43,-62,8,-110,20,-383,26,-71,13,-89,19,-64,6,-66,3,-147,19,-91,13,-73,10,-96,14,-72,5,-65,6,-66,3,-65,4,-66,4
12,-66,3,-486,45,-62,8,-110,20,-432,28,-71,13,-89,19,-64,6,-66,3,-147,19,-91,13,-73,10,-96,14,-72,5,-65,6,-66,3,-65,6,-66,4
