,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17
0,-63,5,-61,9,-64,4,-60,12,-57,13,-63,5,-62,6,-62,6,-66,2,-78,19,-63,7,-63,8,-102,14,-66,2,-64,4,-64,4,-65,3,-65,3
1,-63,5,-63,14,-64,4,-123,13,-60,13,-63,5,-62,6,-62,7,-66,2,-90,19,-63,8,-63,10,-102,14,-66,2,-64,4,-64,4,-65,3,-65,3
2,-63,5,-127,22,-64,4,-124,13,-63,13,-63,5,-69,8,-63,7,-66,2,-90,19,-63,11,-63,11,-102,14,-66,2,-64,4,-64,4,-65,3,-65,3
3,-63,7,-129,22,-64,4,-124,13,-63,14,-63,7,-70,16,-65,7,-66,2,-105,19,-107,12,-72,13,-102,14,-66,2,-64,4,-64,4,-65,4,-65,3
4,-64,8,-129,22,-64,4,-124,13,-78,14,-63,12,-92,17,-70,9,-66,2,-116,25,-107,12,-92,13,-102,14,-66,2,-64,4,-64,4,-65,5,-65,3
5,-70,8,-129,22,-64,4,-124,13,-84,14,-63,12,-92,17,-82,9,-66,2,-175,25,-107,12,-92,13,-102,14,-68,2,-64,4,-64,4,-67,8,-65,3
6,-74,10,-129,22,-64,4,-124,13,-111,18,-63,12,-92,17,-82,9,-66,2,-227,25,-107,12,-92,13,-102,14,-68,2,-64,5,-64,4,-67,8,-65,3
7,-120,19,-129,22,-64,4,-124,13,-138,24,-63,12,-92,17,-82,9,-66,2,-227,25,-107,12,-92,13,-102,14,-68,2,-64,6,-64,4,-67,9,-65,3
8,-120,19,-129,22,-64,4,-124,13,-138,24,-63,12,-92,17,-116,9,-66,2,-227,25,-107,12,-92,13,-102,14,-68,2,-64,6,-64,4,-118,14,-65,3
9,-120,19,-129,22,-64,4,-204,13,-138,24,-65,14,-92,17,-116,9,-66,2,-227,25,-108,12,-93,13,-104,14,-70,2,-64,6,-64,4,-118,14,-65,3
10,-120,19,-130,22,-64,6,-204,13,-138,24,-105,14,-92,17,-116,9,-68,2,-227,25,-108,12,-93,13,-105,14,-70,2,-105,7,-66,4,-118,14,-65,3
11,-120,19,-130,22,-68,8,-285,13,-138,24,-105,14,-92,17,-116,9,-68,2,-229,25,-108,12,-94,13,-105,14,-70,2,-105,7,-66,4,-118,14,-65,3
12,-120,19,-130,22,-68,10,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-281,25,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
13,-120,19,-130,23,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-281,25,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
14,-120,19,-136,35,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-351,27,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
15,-120,19,-226,35,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-351,27,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
16,-120,19,-259,36,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-406,28,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
17,-120,19,-269,36,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-483,31,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
18,-120,19,-321,38,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-519,31,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
19,-120,19,-406,39,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-523,31,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
20,-120,19,-479,42,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-537,31,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
21,-120,19,-528,55,-154,13,-314,13,-138,24,-105,14,-92,17,-116,9,-68,2,-537,59,-108,12,-94,13,-106,14,-70,8,-105,7,-66,4,-118,14,-65,3
22,-120,67,-528,68,-154,13,-338,13,-138,24,-105,14,-93,17,-116,9,-68,2,-537,59,-108,12,-94,13,-106,14,-70,8,-105,7,-70,4,-118,14,-65,3
23,-208,69,-528,68,-154,13,-338,13,-138,24,-105,14,-93,17,-116,9,-68,2,-537,59,-108,12,-94,13,-106,14,-70,8,-105,7,-70,4,-118,14,-65,3
24,-298,69,-528,68,-154,13,-338,13,-138,24,-105,14,-93,17,-116,9,-68,2,-537,59,-108,12,-94,13,-106,14,-70,8,-105,7,-70,4,-118,14,-65,3
25,-388,69,-528,68,-154,13,-338,13,-138,24,-105,14,-93,17,-116,9,-68,2,-537,59,-108,12,-94,13,-106,14,-70,8,-105,7,-70,4,-118,14,-65,3
