,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
31,-75,3,-509,72,-238,36,-70,2,-158,4,-95,8,-175,24,-221,28,-528,52,-442,43,-495,86,-75,4,-181,21,-70,2,-226,19,-93,9,-71,3,-75,5,-168,22
32,-75,3,-509,72,-254,36,-70,2,-158,4,-95,8,-182,24,-221,28,-528,52,-497,44,-495,86,-75,4,-181,21,-70,2,-227,19,-106,9,-71,3,-76,5,-169,22
33,-75,3,-509,72,-254,36,-70,2,-158,4,-95,8,-182,24,-221,28,-528,52,-519,45,-495,86,-75,4,-181,21,-70,2,-227,19,-106,9,-112,3,-78,5,-198,22
34,-75,3,-509,72,-281,36,-87,2,-158,4,-95,8,-191,25,-221,28,-528,52,-535,45,-495,86,-99,5,-181,21,-70,2,-227,19,-106,9,-112,3,-78,5,-198,22
35,-75,3,-509,72,-311,38,-87,2,-158,4,-95,8,-248,27,-223,28,-529,52,-536,45,-495,86,-99,5,-181,21,-70,2,-227,19,-106,9,-112,3,-78,5,-198,22
36,-75,3,-509,72,-404,39,-87,2,-158,4,-95,8,-248,27,-223,28,-529,52,-536,45,-495,86,-99,5,-181,21,-70,2,-227,19,-106,9,-113,3,-78,5,-198,22
37,-77,3,-509,72,-435,39,-87,2,-158,4,-95,8,-275,27,-225,28,-529,52,-536,45,-495,86,-99,5,-193,22,-70,2,-236,19,-113,9,-115,3,-78,5,-200,22
38,-77,3,-509,72,-521,39,-87,2,-158,4,-95,8,-275,27,-225,28,-529,52,-536,45,-495,86,-99,5,-198,22,-70,2,-236,19,-113,9,-119,3,-78,5,-200,22
39,-78,3,-509,72,-540,39,-87,2,-158,4,-108,9,-275,27,-229,28,-529,52,-536,45,-495,86,-108,5,-242,24,-70,2,-237,19,-113,9,-119,3,-79,5,-200,22
40,-78,3,-509,72,-540,39,-87,2,-158,4,-111,10,-275,27,-229,28,-529,52,-536,45,-495,86,-108,5,-246,24,-70,2,-241,19,-113,9,-119,3,-80,5,-282,22
41,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-275,27,-268,32,-529,52,-536,45,-495,86,-110,5,-246,24,-72,2,-257,20,-113,9,-119,3,-81,5,-286,22
42,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-275,27,-301,33,-529,52,-536,45,-495,86,-110,5,-246,24,-72,2,-314,24,-113,9,-119,3,-81,5,-286,22
43,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-275,27,-339,34,-529,52,-536,45,-495,86,-110,5,-289,24,-72,2,-327,24,-113,9,-119,3,-81,5,-286,22
44,-83,3,-509,72,-540,39,-87,2,-158,4,-132,10,-275,27,-406,34,-529,52,-536,45,-495,86,-110,5,-289,24,-72,2,-327,25,-117,9,-119,3,-81,5,-309,22
