,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
0,-182,78,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
1,-271,129,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
2,-381,159,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
3,-480,200,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
4,-574,246,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
5,-676,284,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
6,-770,330,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
7,-856,384,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
8,-948,432,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
9,-1044,476,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
10,-1129,531,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
11,-1226,574,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
12,-1323,617,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
13,-1423,657,-69,51,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
14,-1469,680,-106,85,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
15,-1473,680,-177,150,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
16,-1480,681,-257,202,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
17,-1488,685,-341,246,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
18,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
19,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
20,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
21,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
22,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
23,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
24,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
25,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
26,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
27,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
28,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
29,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
30,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
31,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
32,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
33,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
34,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
35,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
36,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
37,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
38,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
39,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
40,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
41,-1491,685,-430,294,-75,45,-79,41,-86,34,-86,34,-92,28,-92,28,-111,9,-104,16,-95,25,-30,90,-33,87,-117,3
