MASFo n,MASFo p
-104.18333333333334,25.816666666666666
-108.83333333333333,31.166666666666668
-113.39999999999999,36.6
-118.95,41.05
-124.38333333333333,45.61666666666667
-129.78333333333333,50.21666666666666
-135.33333333333334,54.666666666666664
-141.20000000000002,58.79999999999999
-147.5,62.5
-153.01666666666668,66.98333333333333
-160.48333333333335,69.51666666666667
-167.9,72.10000000000001
-176.03333333333333,73.96666666666665
-184.51666666666665,75.48333333333333
-193.1833333333333,76.81666666666666
-201.20000000000002,78.8
-209.58333333333334,80.41666666666667
-217.75,82.25
-225.70000000000002,84.3
-234.06666666666663,85.93333333333334
-242.88333333333335,87.11666666666667
-251.35,88.64999999999999
-259.3333333333333,90.66666666666667
-267.9166666666667,92.08333333333333
-276.6333333333333,93.36666666666666
-285.4666666666667,94.53333333333332
-294.0333333333333,95.96666666666665
-302.55,97.44999999999999
-311.05,98.94999999999999
-320.03333333333336,99.96666666666665
-329.2,100.8
-338.18333333333334,101.81666666666666
-346.95000000000005,103.05
-355.9666666666667,104.03333333333332
-365.26666666666665,104.73333333333333
-374.34999999999997,105.64999999999999
-383.6666666666667,106.33333333333333
-392.51666666666665,107.48333333333333
-401.8,108.19999999999999
-410.9166666666667,109.08333333333333
-419.76666666666665,110.23333333333333
-429.1000000000001,110.89999999999999
-438.4333333333334,111.56666666666666
-447.7833333333333,112.21666666666668
-457.1000000000001,112.89999999999999
-466.3666666666666,113.63333333333333
-475.84999999999997,114.14999999999999
-485.23333333333335,114.76666666666667
-494.4666666666667,115.53333333333332
-503.98333333333335,116.01666666666665
-513.6,116.39999999999999
-523.2166666666667,116.78333333333332
-532.85,117.14999999999999
-542.35,117.64999999999999
-551.9,118.10000000000001
-561.4333333333333,118.56666666666666
-571.0500000000001,118.94999999999999
-580.5,119.5
-590.3166666666666,119.68333333333334
-599.7333333333333,120.26666666666667
-609.1,120.89999999999999
-618.35,121.64999999999999
-627.3000000000001,122.69999999999999
-635.8000000000001,124.19999999999999
-644.0166666666667,125.98333333333333
-651.6,128.4
-658.0500000000001,131.95
-663.9333333333334,136.06666666666666
-668.1999999999999,141.8
-674.05,145.95000000000002
-679.55,150.45000000000002
-685.0166666666668,154.98333333333332
-691.15,158.85
-697.1500000000001,162.85
-704.5333333333333,165.46666666666667
-712.6166666666668,167.38333333333333
-720.9000000000001,169.1
-729.3666666666668,170.6333333333333
-737.5666666666667,172.4333333333333
-746.1999999999999,173.80000000000004
