,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13
43,-272,213,-383,130,-340,153,-390,102,-263,214,-211,281,-368,122,-350,150,-198,294,-360,154,-292,233,-314,170,-305,196,-338,148
44,-274,217,-390,135,-346,157,-399,103,-267,221,-215,283,-373,124,-357,152,-206,302,-366,160,-295,238,-321,173,-312,202,-345,151
45,-277,224,-395,138,-354,158,-407,107,-272,228,-219,288,-378,126,-365,159,-207,306,-371,162,-300,245,-329,174,-317,209,-354,155
46,-282,228,-402,141,-362,160,-415,112,-276,232,-223,294,-387,127,-374,162,-213,314,-374,165,-302,252,-337,174,-321,214,-361,160
47,-290,236,-409,143,-370,161,-426,113,-281,241,-228,299,-398,128,-377,163,-217,321,-385,167,-307,252,-341,177,-326,218,-365,165
48,-299,239,-416,145,-376,170,-435,115,-283,244,-232,305,-408,129,-386,166,-218,326,-394,171,-312,258,-343,180,-335,221,-371,167
49,-306,245,-422,149,-385,173,-442,117,-289,249,-234,312,-416,129,-394,170,-221,331,-401,175,-315,260,-349,186,-345,224,-375,170
50,-307,248,-428,150,-395,177,-451,120,-293,255,-239,315,-429,130,-398,174,-223,341,-411,181,-318,261,-359,190,-349,230,-381,171
51,-313,252,-433,153,-407,180,-453,121,-302,260,-245,320,-438,132,-407,178,-229,342,-414,183,-323,264,-363,193,-357,234,-390,178
52,-319,258,-441,156,-414,181,-465,122,-306,262,-249,326,-447,133,-412,181,-230,348,-421,187,-329,270,-372,195,-364,239,-396,181
53,-326,261,-446,160,-422,183,-474,122,-311,266,-256,332,-454,139,-416,184,-234,355,-426,193,-332,274,-382,197,-371,239,-404,185
54,-332,265,-451,163,-429,183,-486,124,-318,270,-260,342,-468,140,-420,187,-239,357,-433,195,-341,279,-386,200,-380,242,-407,187
55,-339,269,-459,165,-434,185,-490,128,-326,275,-264,348,-476,143,-429,190,-243,363,-440,196,-345,281,-397,206,-386,244,-413,190
56,-345,272,-467,166,-442,187,-497,129,-329,281,-271,352,-484,146,-438,191,-247,368,-447,199,-354,284,-406,211,-390,246,-419,196
57,-351,282,-471,168,-446,190,-501,130,-333,291,-278,355,-491,148,-445,193,-252,375,-457,203,-356,290,-413,214,-399,250,-423,199
58,-360,286,-473,172,-456,197,-507,130,-337,295,-282,359,-497,150,-455,193,-260,381,-460,206,-361,297,-420,218,-404,251,-435,202
59,-366,288,-482,175,-461,202,-520,132,-340,300,-288,364,-502,154,-461,197,-263,390,-464,208,-367,302,-429,222,-408,254,-442,203
60,-372,290,-493,177,-472,204,-528,134,-342,303,-290,367,-508,156,-468,199,-270,395,-467,211,-375,308,-432,226,-418,257,-455,207
61,-378,297,-499,181,-479,206,-541,134,-349,305,-296,371,-515,157,-477,201,-272,398,-472,215,-380,313,-444,230,-421,259,-462,212
62,-382,303,-511,182,-486,208,-546,138,-357,311,-303,379,-523,159,-485,203,-278,401,-476,219,-384,318,-448,235,-423,263,-465,218
63,-393,307,-516,184,-491,211,-554,141,-364,313,-307,385,-537,159,-495,206,-281,404,-484,221,-390,320,-453,240,-430,266,-469,223
