,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5,n6,p6,n7,p7,n8,p8,n9,p9,n10,p10,n11,p11,n12,p12,n13,p13,n14,p14,n15,p15,n16,p16,n17,p17,n18,p18
0,-69,2,-59,15,-67,11,-69,2,-72,7,-65,5,-67,10,-67,13,-62,16,-67,11,-61,16,-68,5,-66,6,-71,2,-77,8,-68,2,-67,4,-68,4,-73,3
1,-73,2,-62,19,-75,11,-69,2,-77,7,-68,5,-69,13,-73,13,-66,19,-79,11,-82,21,-68,5,-67,6,-73,2,-84,8,-68,2,-68,4,-68,4,-74,3
2,-75,3,-67,24,-79,12,-72,2,-86,7,-70,5,-76,14,-85,13,-70,20,-90,11,-85,24,-68,5,-67,7,-73,2,-95,9,-68,2,-74,4,-69,4,-75,3
3,-78,3,-78,27,-85,12,-72,2,-90,7,-74,5,-82,15,-89,14,-76,22,-98,11,-92,27,-71,5,-72,7,-73,2,-104,10,-68,2,-79,4,-70,4,-77,3
4,-80,3,-80,31,-86,14,-72,2,-96,7,-75,5,-86,16,-92,17,-81,29,-113,11,-96,32,-73,5,-74,9,-73,2,-117,12,-68,2,-81,4,-72,4,-82,3
5,-81,3,-83,34,-92,16,-73,2,-102,7,-81,5,-89,16,-97,17,-86,29,-121,11,-108,33,-78,8,-78,9,-73,2,-129,13,-68,2,-82,4,-73,4,-88,3
6,-84,3,-89,35,-94,16,-76,2,-105,7,-82,5,-92,18,-106,18,-91,31,-131,14,-112,37,-83,8,-86,10,-73,2,-139,14,-71,2,-82,4,-76,5,-89,3
7,-86,3,-93,35,-97,17,-78,2,-115,7,-83,5,-98,18,-120,18,-97,32,-131,14,-121,41,-89,8,-88,10,-74,2,-153,14,-71,2,-85,4,-79,5,-91,4
8,-89,3,-96,38,-105,18,-78,2,-119,7,-87,5,-103,19,-134,19,-102,32,-138,16,-127,44,-90,9,-89,10,-74,2,-164,14,-73,2,-91,4,-80,5,-92,5
9,-96,3,-98,41,-109,19,-79,2,-123,7,-91,5,-107,20,-139,21,-111,36,-142,16,-134,46,-93,9,-96,11,-75,2,-176,16,-73,2,-93,4,-82,5,-93,5
10,-102,3,-101,44,-112,19,-79,2,-127,7,-96,6,-111,20,-144,21,-116,37,-158,17,-139,48,-99,9,-106,12,-76,2,-180,17,-73,2,-93,4,-85,5,-96,7
11,-104,3,-107,48,-119,19,-83,2,-129,7,-104,6,-116,21,-155,22,-119,40,-161,17,-144,51,-101,9,-116,13,-79,2,-180,18,-76,3,-93,4,-88,5,-98,8
12,-106,3,-109,50,-119,19,-84,2,-136,7,-106,6,-119,21,-169,22,-121,42,-169,19,-165,54,-103,9,-119,13,-80,2,-185,18,-76,3,-102,4,-90,5,-100,8
13,-108,3,-116,52,-123,20,-85,2,-150,7,-109,7,-123,21,-181,22,-124,43,-174,21,-176,56,-105,9,-121,13,-80,2,-188,18,-77,3,-106,4,-96,5,-101,9
14,-112,3,-124,56,-124,20,-86,2,-155,7,-117,7,-125,21,-187,22,-130,43,-180,21,-179,59,-109,9,-124,13,-83,2,-200,18,-77,3,-115,4,-99,6,-103,10
15,-114,3,-127,56,-129,21,-92,2,-165,7,-121,7,-130,21,-194,22,-141,43,-183,21,-184,60,-115,9,-127,15,-83,2,-206,18,-81,3,-120,4,-101,6,-105,12
16,-117,4,-133,56,-136,23,-94,2,-170,7,-126,7,-131,21,-207,24,-145,43,-192,23,-189,63,-119,9,-134,15,-85,2,-210,18,-82,3,-123,4,-104,6,-105,13
17,-119,4,-137,58,-140,23,-96,2,-178,7,-133,7,-135,21,-221,25,-151,44,-201,23,-197,65,-125,10,-139,15,-87,2,-210,18,-83,3,-128,4,-104,6,-106,13
18,-121,4,-142,59,-141,23,-99,2,-184,7,-144,8,-138,21,-229,25,-158,45,-206,24,-205,65,-137,10,-141,16,-89,2,-217,19,-84,3,-129,4,-106,6,-108,14
19,-123,4,-143,60,-144,23,-100,2,-191,7,-144,8,-139,21,-253,26,-160,45,-218,25,-214,66,-143,11,-149,16,-92,2,-221,19,-87,3,-129,4,-108,6,-110,14
20,-125,4,-148,60,-146,23,-103,2,-193,7,-147,8,-143,22,-261,26,-172,45,-228,27,-227,68,-146,12,-154,16,-93,2,-224,20,-90,3,-131,4,-112,6,-113,14
21,-129,4,-153,62,-147,23,-106,2,-195,7,-153,8,-148,22,-268,26,-174,45,-243,30,-236,68,-150,13,-161,16,-96,2,-232,20,-90,3,-135,4,-115,6,-114,14
22,-131,4,-158,63,-149,23,-108,2,-204,7,-155,8,-152,23,-274,26,-180,45,-249,32,-244,69,-155,13,-166,17,-104,2,-234,20,-91,3,-146,4,-120,6,-114,14
23,-136,4,-161,64,-154,23,-111,2,-222,7,-157,9,-154,23,-281,26,-185,45,-256,33,-249,71,-155,14,-167,17,-110,2,-236,20,-97,3,-152,4,-126,6,-114,14
24,-140,5,-167,64,-155,24,-114,2,-226,7,-160,9,-156,23,-287,26,-186,45,-268,33,-250,71,-159,14,-173,17,-119,2,-243,20,-101,3,-161,4,-132,6,-119,14
25,-145,5,-170,64,-158,24,-115,2,-229,7,-163,9,-158,23,-297,26,-199,46,-277,35,-254,72,-171,15,-179,17,-119,2,-247,20,-102,3,-167,4,-133,6,-123,14
26,-149,5,-172,64,-159,24,-119,2,-233,7,-172,9,-163,23,-303,26,-204,46,-282,37,-260,73,-176,15,-184,17,-120,2,-253,20,-107,3,-175,4,-140,6,-127,14
27,-155,6,-175,65,-164,24,-124,2,-241,7,-177,9,-167,23,-310,26,-210,47,-283,37,-263,74,-181,15,-194,17,-122,2,-256,20,-108,3,-182,4,-146,6,-131,14
28,-161,6,-177,65,-170,24,-129,2,-253,7,-182,9,-172,24,-316,26,-212,47,-288,38,-270,74,-183,16,-201,18,-124,2,-265,20,-110,3,-185,4,-149,6,-133,14
29,-162,6,-180,65,-175,24,-130,2,-260,9,-186,9,-174,24,-326,26,-213,47,-297,39,-270,74,-190,16,-203,19,-130,2,-277,21,-115,3,-191,4,-150,6,-141,14
30,-164,6,-183,65,-176,24,-133,2,-269,9,-190,9,-177,24,-335,27,-218,47,-307,40,-276,74,-195,16,-204,20,-135,3,-281,21,-116,3,-197,4,-157,6,-148,14
31,-164,6,-187,65,-181,24,-138,3,-276,10,-195,9,-178,24,-341,27,-221,47,-317,41,-279,77,-206,16,-208,20,-145,3,-285,21,-118,4,-199,4,-159,6,-151,15
32,-166,7,-191,65,-182,25,-138,3,-289,10,-199,9,-180,24,-350,27,-223,47,-326,42,-279,77,-217,16,-216,20,-146,3,-287,21,-122,4,-209,4,-165,6,-155,15
33,-167,7,-194,65,-186,26,-139,3,-297,10,-207,9,-181,24,-358,27,-224,47,-331,42,-295,78,-220,16,-222,20,-152,3,-292,21,-124,4,-215,4,-171,6,-158,15
34,-172,8,-196,65,-192,27,-142,3,-307,10,-211,9,-187,24,-363,27,-230,47,-343,42,-298,78,-227,16,-224,20,-155,3,-299,21,-124,4,-223,4,-175,6,-158,15
35,-175,8,-202,65,-196,27,-142,3,-317,10,-212,9,-194,24,-374,28,-237,47,-345,42,-306,80,-234,16,-228,20,-160,3,-302,22,-125,4,-229,4,-179,6,-160,15
36,-176,8,-204,65,-203,27,-149,3,-323,10,-220,9,-200,24,-381,28,-240,47,-350,42,-310,80,-242,17,-235,20,-161,3,-313,22,-126,4,-231,4,-183,6,-164,15
37,-180,9,-207,65,-204,27,-154,3,-330,10,-229,9,-205,25,-388,28,-243,47,-354,42,-315,80,-247,18,-237,20,-167,3,-317,22,-128,4,-246,4,-186,6,-166,15
38,-181,9,-209,65,-205,28,-159,3,-335,10,-233,9,-207,26,-393,28,-252,48,-360,42,-320,81,-249,19,-246,20,-173,3,-319,22,-133,4,-257,4,-192,6,-170,15
