,hamming_loss,f_beta,coverage,ranking_loss,average_precision,macro_averaging,micro_averaging,one_error
0,0.051086956521739134,0.6723517333011232,4.555,5.85,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
1,0.051086956521739134,0.6723517333011232,4.425,5.575,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
2,0.051086956521739134,0.6723517333011232,4.64,5.645,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
3,0.051086956521739134,0.6723517333011232,4.585,5.675,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
4,0.051086956521739134,0.6723517333011232,4.345,5.23,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
5,0.051086956521739134,0.6723517333011232,4.39,5.315,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
6,0.051086956521739134,0.6723517333011232,4.44,5.35,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
7,0.051086956521739134,0.6723517333011232,4.35,5.43,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
8,0.051086956521739134,0.6723517333011232,4.51,5.36,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
9,0.051086956521739134,0.6723517333011232,4.515,5.68,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
10,0.051086956521739134,0.6723517333011232,4.25,5.05,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
11,0.051086956521739134,0.6723517333011232,4.29,5.2,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
12,0.051086956521739134,0.6723517333011232,4.42,5.41,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
13,0.051086956521739134,0.6723517333011232,4.285,5.075,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
14,0.051086956521739134,0.6723517333011232,4.57,5.54,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
15,0.051086956521739134,0.6723517333011232,4.25,5.13,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
16,0.051086956521739134,0.6723517333011232,4.355,5.125,0.07717391304347825,0.03864734299516909,0.5765765765765766,0.3
17,0.050869565217391305,0.6740294188570051,4.11,4.85,0.07768115942028983,0.0400728597449909,0.5791366906474821,0.295
18,0.050869565217391305,0.6740294188570051,4.015,4.84,0.07768115942028983,0.0400728597449909,0.5791366906474821,0.295
19,0.050652173913043476,0.6757010470574076,4.31,5.235,0.07818840579710143,0.04145239208352813,0.5816876122082586,0.29
20,0.050652173913043476,0.6751445086705203,4.455,5.27,0.07818840579710143,0.04145239208352813,0.5816876122082586,0.29
21,0.050434782608695654,0.6768121168409664,4.115,4.9,0.07869565217391303,0.04278812974465149,0.5842293906810035,0.285
22,0.050434782608695654,0.6768121168409664,4.1,4.935,0.07869565217391303,0.04278812974465149,0.5842293906810035,0.285
23,0.050434782608695654,0.6768121168409664,4.09,4.89,0.07869565217391303,0.04278812974465149,0.5842293906810035,0.285
24,0.050217391304347825,0.6793711821775062,4.13,4.985,0.08243083003952567,0.050034506556245695,0.5867620751341681,0.285
25,0.050217391304347825,0.6793711821775062,4.205,5.015,0.08243083003952567,0.050034506556245695,0.5867620751341681,0.285
26,0.050217391304347825,0.6793711821775062,4.195,5.04,0.08243083003952567,0.050034506556245695,0.5867620751341681,0.285
27,0.050217391304347825,0.6793711821775062,4.325,5.2,0.08243083003952567,0.050034506556245695,0.5867620751341681,0.285
28,0.05,0.6810312051649927,4.315,5.26,0.08293807641633727,0.051328502415458936,0.5892857142857143,0.28
29,0.050217391304347825,0.6793711821775062,4.21,5.125,0.08243083003952567,0.050034506556245695,0.5867620751341681,0.285
30,0.05,0.6804785261394903,4.205,5.04,0.08293807641633727,0.051328502415458936,0.5892857142857143,0.28
31,0.05,0.6804785261394903,4.235,5.25,0.08293807641633727,0.051328502415458936,0.5892857142857143,0.28
32,0.05,0.6804785261394903,4.315,5.275,0.08293807641633727,0.051328502415458936,0.5892857142857143,0.28
33,0.05,0.6804785261394903,4.195,5.21,0.08293807641633727,0.051328502415458936,0.5892857142857143,0.28
34,0.049782608695652174,0.6804785261394903,4.2,5.23,0.08311286339470739,0.051436155181462204,0.590339892665474,0.28
35,0.049782608695652174,0.6804785261394903,4.24,5.235,0.08311286339470739,0.051436155181462204,0.590339892665474,0.28
36,0.049782608695652174,0.6804785261394903,4.355,5.33,0.08311286339470739,0.051436155181462204,0.590339892665474,0.28
37,0.049565217391304345,0.6795781399808246,4.265,5.275,0.08006148440931048,0.04555221314997852,0.5913978494623656,0.275
38,0.05,0.6795781399808246,4.25,5.245,0.07971014492753623,0.045336306205871424,0.5892857142857143,0.275
39,0.049565217391304345,0.6795781399808246,4.175,5.235,0.08006148440931048,0.04555221314997852,0.5913978494623656,0.275
40,0.04934782608695652,0.6806799138137419,4.155,5.15,0.08056873078612208,0.04676838827919712,0.5939177101967799,0.27
41,0.04934782608695652,0.6806799138137419,4.395,5.4,0.08056873078612208,0.04676838827919712,0.5939177101967799,0.27
42,0.04934782608695652,0.6806799138137419,4.15,5.015,0.08056873078612208,0.04676838827919712,0.5939177101967799,0.27
