,n0,p0,n1,p1,n2,p2,n3,p3,n4,p4,n5,p5
0,-24,10,-22,14,-20,15,-20,12,-25,11,-24,7
1,-25,11,-29,17,-24,18,-21,12,-30,14,-24,9
2,-27,12,-34,21,-27,21,-25,14,-31,15,-27,10
3,-27,14,-40,25,-33,22,-27,17,-31,16,-28,14
4,-29,15,-48,30,-35,27,-29,18,-31,18,-29,15
5,-31,17,-52,33,-36,29,-29,23,-33,20,-32,19
6,-31,20,-57,35,-40,33,-30,25,-35,25,-33,20
7,-33,22,-58,39,-43,36,-34,27,-36,29,-34,23
8,-35,24,-59,42,-47,39,-37,28,-40,31,-35,27
9,-35,25,-63,45,-48,43,-38,30,-44,33,-37,33
10,-40,29,-67,50,-50,46,-39,33,-44,33,-39,34
11,-43,32,-75,52,-54,50,-42,34,-45,34,-39,34
12,-45,36,-77,52,-59,56,-43,37,-47,35,-41,36
13,-46,38,-84,53,-62,64,-43,38,-47,38,-41,40
14,-50,39,-84,53,-67,68,-45,40,-50,40,-46,42
15,-50,41,-90,53,-72,71,-46,45,-51,43,-46,46
16,-52,44,-93,54,-76,78,-48,46,-53,43,-48,49
17,-55,46,-97,55,-78,83,-51,49,-54,45,-49,52
18,-56,49,-101,56,-79,89,-55,51,-58,47,-50,53
19,-59,50,-101,60,-82,98,-56,53,-61,48,-53,53
20,-63,54,-103,63,-84,103,-57,53,-63,49,-58,54
21,-66,55,-104,66,-90,109,-61,57,-63,50,-58,55
22,-67,56,-105,69,-96,112,-64,58,-64,51,-64,58
23,-68,57,-110,70,-100,116,-64,59,-66,55,-66,63
24,-71,58,-112,70,-105,120,-65,60,-68,61,-70,64
25,-77,61,-117,70,-108,126,-66,63,-68,62,-70,66
26,-81,63,-120,73,-110,132,-66,64,-71,63,-72,69
27,-85,66,-121,74,-116,135,-67,68,-73,64,-74,71
28,-90,69,-124,75,-118,138,-71,69,-77,64,-77,72
29,-92,71,-127,79,-119,143,-73,72,-79,66,-79,74
30,-98,72,-132,80,-121,145,-75,73,-82,67,-82,77
31,-103,75,-136,80,-123,145,-79,77,-83,67,-82,84
32,-109,77,-140,80,-127,149,-82,79,-83,67,-84,87
33,-114,80,-143,83,-127,152,-86,81,-83,68,-87,90
34,-118,82,-146,84,-129,155,-88,82,-88,72,-88,92
35,-125,85,-150,85,-130,157,-90,84,-91,73,-90,94
36,-126,85,-153,87,-133,160,-92,85,-92,77,-94,100
37,-128,85,-155,88,-135,160,-94,87,-96,81,-100,105
38,-133,86,-159,89,-135,163,-98,91,-98,83,-104,105
39,-134,87,-163,94,-139,164,-101,94,-102,84,-105,107
40,-138,91,-167,95,-141,164,-102,96,-105,86,-109,110
41,-141,91,-170,96,-144,166,-108,97,-108,87,-115,111
42,-146,92,-172,100,-145,169,-109,100,-111,88,-117,115
43,-152,94,-175,103,-149,173,-109,100,-112,88,-121,118
44,-154,96,-179,105,-155,177,-110,102,-116,89,-123,118
45,-160,98,-182,106,-158,179,-114,103,-116,91,-125,122
46,-165,99,-187,108,-160,179,-118,103,-118,93,-129,125
47,-167,101,-194,108,-164,181,-123,103,-121,95,-131,126
48,-171,101,-201,111,-164,184,-126,105,-123,97,-133,128
49,-171,101,-205,113,-169,188,-131,106,-126,98,-137,129
50,-175,103,-208,113,-175,189,-135,107,-129,99,-140,131
51,-177,104,-215,113,-176,194,-137,107,-132,100,-147,132
52,-183,107,-217,114,-179,195,-141,108,-135,100,-150,135
53,-189,107,-219,115,-182,195,-146,110,-138,100,-157,136
54,-193,108,-224,116,-183,198,-151,111,-142,103,-159,136
55,-200,110,-230,117,-183,200,-153,111,-146,104,-161,139
56,-205,111,-231,118,-187,202,-155,112,-152,105,-167,139
57,-209,112,-235,118,-190,204,-158,113,-157,105,-172,141
58,-211,112,-240,118,-196,206,-159,113,-165,108,-173,143
59,-214,113,-244,121,-200,206,-165,113,-168,109,-178,143
60,-220,113,-248,122,-202,208,-168,114,-173,110,-182,144
61,-225,113,-255,123,-203,210,-169,117,-179,111,-183,146
62,-227,115,-259,124,-205,214,-175,118,-185,111,-185,146
63,-234,118,-260,124,-206,218,-176,119,-191,113,-188,147
64,-238,119,-265,124,-209,219,-181,119,-197,115,-190,148
65,-242,121,-266,126,-212,220,-186,121,-200,116,-196,148
66,-245,123,-268,127,-212,220,-188,122,-204,120,-205,150
67,-248,125,-274,127,-213,222,-195,122,-209,120,-207,152
68,-252,127,-274,127,-220,222,-199,122,-215,120,-211,155
69,-259,128,-276,127,-223,223,-205,122,-217,121,-218,155
70,-264,129,-276,127,-227,224,-208,123,-227,123,-221,155
71,-269,130,-281,129,-230,225,-210,123,-232,125,-225,155
72,-274,131,-285,129,-234,226,-216,123,-237,126,-228,155
73,-281,135,-288,130,-237,226,-217,123,-244,127,-231,155
74,-283,139,-292,133,-237,227,-223,124,-247,129,-234,156
75,-286,142,-295,134,-239,227,-229,124,-252,130,-239,157
76,-291,142,-298,134,-242,227,-236,125,-256,132,-243,158
77,-295,143,-303,134,-243,227,-238,126,-266,133,-246,160
78,-299,145,-308,135,-247,227,-241,126,-273,133,-250,160
79,-304,145,-309,136,-248,228,-252,126,-276,133,-256,161
